"year","e11102","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","East Germany","5.42","5.67","2947","4","4.67","6","6.67","7","5.39","5.45","1","7","5.33333349227905","5.66666650772095"
"2005","Employed","West Germany","5.41","5.33","9913","4","4.67","6","6.67","7","5.39","5.43","1","7","5.33333349227905","5.33333349227905"
"2005","Not Employed","East Germany","5.57","5.67","2104","4.33","5","6.33","7","7","5.53","5.61","1","7","5.66666650772095","5.66666650772095"
"2005","Not Employed","West Germany","5.55","5.67","5783","4","5","6.33","7","7","5.52","5.58","1","7","5.66666650772095","5.66666650772095"
"2006","Employed","East Germany","","","","","","","","","","","","","",""
"2006","Employed","West Germany","","","","","","","","","","","","","",""
"2006","Not Employed","East Germany","","","","","","","","","","","","","",""
"2006","Not Employed","West Germany","","","","","","","","","","","","","",""
"2007","Employed","East Germany","","","","","","","","","","","","","",""
"2007","Employed","West Germany","","","","","","","","","","","","","",""
"2007","Not Employed","East Germany","","","","","","","","","","","","","",""
"2007","Not Employed","West Germany","","","","","","","","","","","","","",""
"2008","Employed","East Germany","","","","","","","","","","","","","",""
"2008","Employed","West Germany","","","","","","","","","","","","","",""
"2008","Not Employed","East Germany","","","","","","","","","","","","","",""
"2008","Not Employed","West Germany","","","","","","","","","","","","","",""
"2009","Employed","East Germany","5.24","5.33","2692","4","4.67","6","6.33","7","5.2","5.28","1.67","7","5.33333349227905","5.33333349227905"
"2009","Employed","West Germany","5.23","5.33","8535","4","4.67","6","6.67","7","5.21","5.25","1","7","5.33333349227905","5.33333349227905"
"2009","Not Employed","East Germany","5.39","5.33","1862","4","4.67","6","6.67","7","5.35","5.43","1.33","7","5.33333349227905","5.66666650772095"
"2009","Not Employed","West Germany","5.43","5.33","4963","4","4.67","6.33","7","7","5.4","5.46","1.33","7","5.33333349227905","5.66666650772095"
"2010","Employed","East Germany","","","","","","","","","","","","","",""
"2010","Employed","West Germany","","","","","","","","","","","","","",""
"2010","Not Employed","East Germany","","","","","","","","","","","","","",""
"2010","Not Employed","West Germany","","","","","","","","","","","","","",""
"2011","Employed","East Germany","","","","","","","","","","","","","",""
"2011","Employed","West Germany","","","","","","","","","","","","","",""
"2011","Not Employed","East Germany","","","","","","","","","","","","","",""
"2011","Not Employed","West Germany","","","","","","","","","","","","","",""
"2012","Employed","East Germany","5.45","5.67","999","4","4.67","6","6.67","7","5.39","5.51","2.33","7","5.33333349227905","5.66666650772095"
"2012","Employed","West Germany","5.39","5.33","4384","4","4.67","6","6.67","7","5.36","5.42","1","7","5.33333349227905","5.33333349227905"
"2012","Not Employed","East Germany","5.44","5.67","339","4","5","6","6.67","7","5.33","5.55","1.33","7","5.33333349227905","5.66666650772095"
"2012","Not Employed","West Germany","5.41","5.33","1408","4","5","6","6.67","7","5.36","5.46","2","7","5.33333349227905","5.66666650772095"
"2013","Employed","East Germany","5.34","5.33","2603","4","4.67","6","6.67","7","5.3","5.38","2","7","5.33333349227905","5.33333349227905"
"2013","Employed","West Germany","5.31","5.33","8971","4","4.67","6","6.67","7","5.29","5.33","1","7","5.33333349227905","5.33333349227905"
"2013","Not Employed","East Germany","5.48","5.67","1868","4","4.67","6.33","6.67","7","5.43","5.53","1","7","5.66666650772095","5.66666650772095"
"2013","Not Employed","West Germany","5.46","5.67","5458","4","4.67","6.33","6.67","7","5.43","5.49","1","7","5.66666650772095","5.66666650772095"
"2014","Employed","East Germany","","","","","","","","","","","","","",""
"2014","Employed","West Germany","","","","","","","","","","","","","",""
"2014","Not Employed","East Germany","","","","","","","","","","","","","",""
"2014","Not Employed","West Germany","","","","","","","","","","","","","",""
"2015","Employed","East Germany","","","","","","","","","","","","","",""
"2015","Employed","West Germany","","","","","","","","","","","","","",""
"2015","Not Employed","East Germany","","","","","","","","","","","","","",""
"2015","Not Employed","West Germany","","","","","","","","","","","","","",""
"2016","Employed","East Germany","","","","","","","","","","","","","",""
"2016","Employed","West Germany","","","","","","","","","","","","","",""
"2016","Not Employed","East Germany","","","","","","","","","","","","","",""
"2016","Not Employed","West Germany","","","","","","","","","","","","","",""
"2017","Employed","East Germany","5.36","5.33","3641","4","4.67","6","6.67","7","5.33","5.39","1.67","7","5.33333349227905","5.66666650772095"
"2017","Employed","West Germany","5.34","5.33","14676","4","4.67","6","6.67","7","5.32","5.36","1.33","7","5.33333349227905","5.33333349227905"
"2017","Not Employed","East Germany","5.49","5.67","2467","4.33","4.67","6.33","6.67","7","5.45","5.53","2","7","5.66666650772095","5.66666650772095"
"2017","Not Employed","West Germany","5.47","5.67","8547","4","4.67","6.33","6.67","7","5.45","5.49","1.33","7","5.66666650772095","6"
"2018","Employed","East Germany","","","","","","","","","","","","","",""
"2018","Employed","West Germany","","","","","","","","","","","","","",""
"2018","Not Employed","East Germany","","","","","","","","","","","","","",""
"2018","Not Employed","West Germany","","","","","","","","","","","","","",""
"2019","Employed","East Germany","5.35","5.33","3609","4","4.67","6","6.67","7","5.32","5.38","1.33","7","5.33333349227905","5.66666650772095"
"2019","Employed","West Germany","5.37","5.33","14066","4","4.67","6","6.67","7","5.35","5.39","1","7","5.33333349227905","5.33333349227905"
"2019","Not Employed","East Germany","5.47","5.67","1965","4","4.67","6.33","6.67","7","5.43","5.51","1","7","5.66666650772095","5.66666650772095"
"2019","Not Employed","West Germany","5.47","5.67","6107","4","4.67","6.33","6.67","7","5.44","5.5","1","7","5.66666650772095","5.66666650772095"
