"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Full Time","college entrance qualification","5.38","5.33","2575","4.33","4.67","6","6.67","7","5.35","5.41","2","7","5.33333349227905","5.33333349227905"
"2005","Full Time","lower secondary degree","5.31","5.33","2010","4","4.67","6","6.67","7","5.26","5.36","1.33","7","5.33333349227905","5.33333349227905"
"2005","Full Time","no degree/no degree yet","5.03","5.33","57","3.67","4.33","5.67","6","7","4.72","5.34","1.67","7","5","5.66666650772095"
"2005","Full Time","Other degree","5.47","5.33","383","4","4.67","6.33","7","7","5.36","5.58","2","7","5.33333349227905","5.66666650772095"
"2005","Full Time","secondary school degree","5.33","5.33","2885","4","4.67","6","6.67","7","5.29","5.37","1","7","5.33333349227905","5.33333349227905"
"2005","Not Working","college entrance qualification","5.43","5.33","1243","4","4.67","6.33","6.67","7","5.38","5.48","2","7","5.33333349227905","5.66666650772095"
"2005","Not Working","lower secondary degree","5.58","5.67","3781","4.33","5","6.33","7","7","5.55","5.61","1","7","5.66666650772095","5.66666650772095"
"2005","Not Working","no degree/no degree yet","5.52","5.67","709","4.33","4.67","6.33","7","7","5.45","5.59","1","7","5.33333349227905","5.66666650772095"
"2005","Not Working","Other degree","5.54","5.67","477","4","4.67","6.67","7","7","5.44","5.64","2","7","5.33333349227905","5.66666650772095"
"2005","Not Working","secondary school degree","5.62","5.67","1530","4.33","5","6.33","7","7","5.57","5.67","1","7","5.66666650772095","5.66666650772095"
"2005","Part Time","college entrance qualification","5.5","5.67","1384","4.33","5","6","6.67","7","5.45","5.55","2.33","7","5.33333349227905","5.66666650772095"
"2005","Part Time","lower secondary degree","5.52","5.67","1313","4.33","5","6.33","7","7","5.47","5.57","1","7","5.33333349227905","5.66666650772095"
"2005","Part Time","no degree/no degree yet","5.3","5.33","138","4","4.67","6","6.67","7","5.14","5.46","1.67","7","5.33333349227905","5.66666650772095"
"2005","Part Time","Other degree","5.61","5.67","260","4","4.67","6.33","7","7","5.49","5.73","3.33","7","5.66666650772095","6"
"2005","Part Time","secondary school degree","5.57","5.67","1614","4.33","5","6.33","6.67","7","5.53","5.61","1.67","7","5.66666650772095","5.66666650772095"
"2006","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"2006","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"2006","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","Full Time","Other degree","","","","","","","","","","","","","",""
"2006","Full Time","secondary school degree","","","","","","","","","","","","","",""
"2006","Not Working","college entrance qualification","","","","","","","","","","","","","",""
