"year","e11103","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Full Time","general elemantary","5.44","5.33","556","4","5","6","6.67","7","5.36","5.52","2","7","5.33333349227905","5.66666650772095"
"2005","Full Time","higher education","5.4","5.33","2240","4","4.67","6","6.67","7","5.36","5.44","2","7","5.33333349227905","5.33333349227905"
"2005","Full Time","higher vocational","5.2","5.33","771","4","4.67","6","6.33","7","5.13","5.27","1","7","5.33333349227905","5.33333349227905"
"2005","Full Time","in school","","","","","","","","","","","","","",""
"2005","Full Time","inadequately","5.18","5.33","52","3.67","4.67","6","6.67","7","4.83","5.53","1.67","7","5.33333349227905","6"
"2005","Full Time","middle vocational","5.32","5.33","3816","4","4.67","6","6.67","7","5.29","5.35","1.33","7","5.33333349227905","5.33333349227905"
"2005","Full Time","vocational + Abi","5.41","5.33","529","4.33","4.67","6","6.67","7","5.33","5.49","2.33","7","5.33333349227905","5.66666650772095"
"2005","Not Working","general elemantary","5.61","5.67","1355","4","5","6.33","7","7","5.55","5.67","1","7","5.66666650772095","5.66666650772095"
"2005","Not Working","higher education","5.51","5.67","1003","4","4.67","6.33","6.67","7","5.45","5.57","2","7","5.33333349227905","5.66666650772095"
"2005","Not Working","higher vocational","5.6","5.67","456","4.33","5","6.33","7","7","5.51","5.69","1","7","5.33333349227905","5.66666650772095"
"2005","Not Working","in school","5.43","5.33","551","4.33","4.67","6","6.67","7","5.35","5.51","1","7","5.33333349227905","5.66666650772095"
"2005","Not Working","inadequately","5.64","5.67","151","4","5","6.67","7","7","5.46","5.82","2","7","5.33333349227905","6"
"2005","Not Working","middle vocational","5.56","5.67","3948","4.33","5","6.33","7","7","5.53","5.59","1","7","5.66666650772095","5.66666650772095"
"2005","Not Working","vocational + Abi","5.45","5.33","285","4","4.67","6.33","7","7","5.33","5.57","2","7","5.33333349227905","5.66666650772095"
"2005","Part Time","general elemantary","5.52","5.67","499","4","5","6.33","7","7","5.43","5.61","2.33","7","5.66666650772095","5.66666650772095"
"2005","Part Time","higher education","5.56","5.67","933","4.33","5","6.33","6.67","7","5.5","5.62","2.67","7","5.66666650772095","5.66666650772095"
"2005","Part Time","higher vocational","5.66","5.67","333","4.33","5","6.33","6.67","7","5.56","5.76","3","7","5.66666650772095","5.66666650772095"
"2005","Part Time","in school","5.34","5.33","96","4","4.67","6","6.67","7","5.15","5.53","1.67","7","5","5.66666650772095"
"2005","Part Time","inadequately","5.22","5","36","4","4.33","5.67","7","7","4.88","5.56","3.33","7","5","6"
"2005","Part Time","middle vocational","5.52","5.67","2509","4.33","5","6.33","6.67","7","5.48","5.56","1","7","5.66666650772095","5.66666650772095"
"2005","Part Time","vocational + Abi","5.58","5.67","322","4.33","4.67","6.33","7","7","5.48","5.68","2.67","7","5.33333349227905","5.66666650772095"
"2006","Full Time","general elemantary","","","","","","","","","","","","","",""
"2006","Full Time","higher education","","","","","","","","","","","","","",""
"2006","Full Time","higher vocational","","","","","","","","","","","","","",""
"2006","Full Time","in school","","","","","","","","","","","","","",""
"2006","Full Time","inadequately","","","","","","","","","","","","","",""
"2006","Full Time","middle vocational","","","","","","","","","","","","","",""
"2006","Full Time","vocational + Abi","","","","","","","","","","","","","",""
"2006","Not Working","general elemantary","","","","","","","","","","","","","",""
"2006","Not Working","higher education","","","","","","","","","","","","","",""
"2006","Not Working","higher vocational","","","","","","","","","","","","","",""
