"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","16-34 y.","general elemantary","5.42","5.67","836","4","4.67","6","6.67","7","5.35","5.49","2","7","5.33333349227905","5.66666650772095"
"2005","16-34 y.","higher education","5.38","5.33","523","4","4.67","6","6.67","7","5.3","5.46","2","7","5.33333349227905","5.66666650772095"
"2005","16-34 y.","higher vocational","5.45","5.33","206","4.33","5","6","6.67","7","5.32","5.58","2","7","5.33333349227905","5.66666650772095"
"2005","16-34 y.","in school","5.41","5.33","650","4","4.67","6","6.67","7","5.34","5.48","1","7","5.33333349227905","5.66666650772095"
"2005","16-34 y.","inadequately","5.28","5.67","59","3.67","4.33","6","7","7","4.99","5.57","2","7","5.33333349227905","5.66666650772095"
"2005","16-34 y.","middle vocational","5.36","5.33","2337","4","4.67","6","6.67","7","5.32","5.4","1.67","7","5.33333349227905","5.33333349227905"
"2005","16-34 y.","vocational + Abi","5.46","5.33","439","4.33","4.67","6","6.67","7","5.38","5.54","2.67","7","5.33333349227905","5.66666650772095"
"2005","35-65 y.","general elemantary","5.52","5.67","827","4","4.67","6.33","7","7","5.45","5.59","1.33","7","5.33333349227905","5.66666650772095"
"2005","35-65 y.","higher education","5.47","5.67","2986","4.33","4.67","6.33","6.67","7","5.44","5.5","2","7","5.33333349227905","5.66666650772095"
"2005","35-65 y.","higher vocational","5.36","5.33","1098","4","4.67","6","6.67","7","5.3","5.42","1","7","5.33333349227905","5.33333349227905"
"2005","35-65 y.","in school","","","","","","","","","","","","","",""
"2005","35-65 y.","inadequately","5.45","5.33","129","4","4.67","6.33","7","7","5.24","5.66","1.67","7","5.33333349227905","6"
"2005","35-65 y.","middle vocational","5.42","5.33","5968","4","4.67","6.33","6.67","7","5.39","5.45","1","7","5.33333349227905","5.66666650772095"
"2005","35-65 y.","vocational + Abi","5.43","5.67","595","4","4.67","6","6.67","7","5.35","5.51","2","7","5.33333349227905","5.66666650772095"
"2005","66 and older","general elemantary","5.71","6","747","4.33","5","6.67","7","7","5.63","5.79","1","7","5.66666650772095","6"
"2005","66 and older","higher education","5.56","5.67","667","4","4.67","6.33","7","7","5.48","5.64","2","7","5.33333349227905","5.66666650772095"
"2005","66 and older","higher vocational","5.59","5.67","256","4.33","5","6.33","7","7","5.46","5.72","1","7","5.33333349227905","6"
"2005","66 and older","in school","","","","","","","","","","","","","",""
"2005","66 and older","inadequately","5.68","5.67","51","4.33","5","6.33","7","7","5.4","5.96","3.33","7","5","6"
"2005","66 and older","middle vocational","5.66","5.67","1968","4.33","5","6.33","7","7","5.62","5.7","1","7","5.66666650772095","5.66666650772095"
"2005","66 and older","vocational + Abi","5.65","5.67","102","4","5","6.67","7","7","5.44","5.86","2.67","7","5.33333349227905","6"
"2006","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2006","16-34 y.","higher education","","","","","","","","","","","","","",""
"2006","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2006","16-34 y.","in school","","","","","","","","","","","","","",""
"2006","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2006","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2006","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2006","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2006","35-65 y.","higher education","","","","","","","","","","","","","",""
"2006","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2006","35-65 y.","in school","","","","","","","","","","","","","",""
"2006","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2006","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2006","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2006","66 and older","general elemantary","","","","","","","","","","","","","",""
"2006","66 and older","higher education","","","","","","","","","","","","","",""
"2006","66 and older","higher vocational","","","","","","","","","","","","","",""
"2006","66 and older","in school","","","","","","","","","","","","","",""
"2006","66 and older","inadequately","","","","","","","","","","","","","",""
"2006","66 and older","middle vocational","","","","","","","","","","","","","",""
"2006","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2007","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2007","16-34 y.","higher education","","","","","","","","","","","","","",""
"2007","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2007","16-34 y.","in school","","","","","","","","","","","","","",""
"2007","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2007","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2007","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2007","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2007","35-65 y.","higher education","","","","","","","","","","","","","",""
"2007","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2007","35-65 y.","in school","","","","","","","","","","","","","",""
"2007","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2007","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2007","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2007","66 and older","general elemantary","","","","","","","","","","","","","",""
"2007","66 and older","higher education","","","","","","","","","","","","","",""
"2007","66 and older","higher vocational","","","","","","","","","","","","","",""
"2007","66 and older","in school","","","","","","","","","","","","","",""
"2007","66 and older","inadequately","","","","","","","","","","","","","",""
"2007","66 and older","middle vocational","","","","","","","","","","","","","",""
"2007","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2008","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2008","16-34 y.","higher education","","","","","","","","","","","","","",""
"2008","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2008","16-34 y.","in school","","","","","","","","","","","","","",""
"2008","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2008","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2008","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2008","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2008","35-65 y.","higher education","","","","","","","","","","","","","",""
"2008","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2008","35-65 y.","in school","","","","","","","","","","","","","",""
"2008","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2008","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2008","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2008","66 and older","general elemantary","","","","","","","","","","","","","",""
"2008","66 and older","higher education","","","","","","","","","","","","","",""
"2008","66 and older","higher vocational","","","","","","","","","","","","","",""
"2008","66 and older","in school","","","","","","","","","","","","","",""
"2008","66 and older","inadequately","","","","","","","","","","","","","",""
"2008","66 and older","middle vocational","","","","","","","","","","","","","",""
"2008","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2009","16-34 y.","general elemantary","5.22","5","549","4","4.67","6","6.67","7","5.13","5.31","2","7","5","5.33333349227905"
"2009","16-34 y.","higher education","5.28","5.33","539","4","4.67","6","6.33","7","5.21","5.35","2.33","7","5.33333349227905","5.66666650772095"
"2009","16-34 y.","higher vocational","5.27","5.33","109","3.67","4.67","6.33","6.33","7","5.08","5.46","2.67","7","5","5.66666650772095"
"2009","16-34 y.","in school","5.32","5.33","312","4","4.67","6","6.33","7","5.22","5.42","2.33","7","5.33333349227905","5.33333349227905"
"2009","16-34 y.","inadequately","4.73","5","41","3.67","3.67","5.67","6.33","7","4.37","5.09","2","7","5","5.66666650772095"
"2009","16-34 y.","middle vocational","5.23","5.33","1797","4","4.67","6","6.33","7","5.19","5.27","1","7","5.33333349227905","5.33333349227905"
"2009","16-34 y.","vocational + Abi","5.36","5.67","338","4","4.67","6","6.67","7","5.26","5.46","2","7","5.33333349227905","5.66666650772095"
"2009","35-65 y.","general elemantary","5.39","5.33","589","4","4.67","6","6.67","7","5.31","5.47","2","7","5.33333349227905","5.66666650772095"
"2009","35-65 y.","higher education","5.26","5.33","2618","4","4.67","6","6.33","7","5.22","5.3","2","7","5.33333349227905","5.33333349227905"
"2009","35-65 y.","higher vocational","5.17","5.33","905","4","4.33","6","6.33","7","5.1","5.24","1","7","5","5.33333349227905"
"2009","35-65 y.","in school","","","","","","","","","","","","","",""
"2009","35-65 y.","inadequately","5.4","5.33","83","4","4.33","6.33","7","7","5.15","5.65","3","7","5","6"
"2009","35-65 y.","middle vocational","5.25","5.33","5103","4","4.67","6","6.67","7","5.22","5.28","1","7","5.33333349227905","5.33333349227905"
"2009","35-65 y.","vocational + Abi","5.15","5.33","567","3.67","4.67","6","6.33","7","5.07","5.23","2.33","7","5.33333349227905","5.33333349227905"
"2009","66 and older","general elemantary","5.63","5.67","664","4.33","5","6.33","7","7","5.56","5.7","2","7","5.66666650772095","5.66666650772095"
"2009","66 and older","higher education","5.33","5.33","878","4","4.67","6","6.67","7","5.27","5.39","1.67","7","5.33333349227905","5.33333349227905"
"2009","66 and older","higher vocational","5.45","5.33","316","4.33","5","6","6.67","7","5.35","5.55","2.5","7","5.33333349227905","5.66666650772095"
"2009","66 and older","in school","","","","","","","","","","","","","",""
"2009","66 and older","inadequately","5.51","5.67","43","3.67","5","6","7","7","5.18","5.84","3.33","7","5","6"
"2009","66 and older","middle vocational","5.48","5.67","2178","4","4.67","6.33","7","7","5.44","5.52","1.33","7","5.33333349227905","5.66666650772095"
"2009","66 and older","vocational + Abi","5.56","5.33","94","4.33","4.67","6.33","6.67","7","5.37","5.75","4","7","5.33333349227905","6"
"2010","16-34 y.","general elemantary","","","","","","","","","","","","","",""
