"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2008","direct migration background","6.61","7","1915","3","5","8","10","6.51","6.71","7","7"
"2008","indirect migration background","7.02","7","773","3","5","9","10","6.86","7.18","7","8"
"2008","no migration background","6.73","7","16712","3","5","8","10","6.7","6.76","7","7"
"2009","direct migration background","6.6","7","1664","3","5","8","10","6.49","6.71","7","7"
"2009","indirect migration background","7.21","8","715","4","6","9","10","7.05","7.37","7","8"
"2009","no migration background","6.7","7","15716","3","5","8","9","6.66","6.74","7","7"
"2010","direct migration background","6.68","7","2906","3","5","8","10","6.59","6.77","7","7"
"2010","indirect migration background","6.95","7","1147","4","5","9","10","6.81","7.09","7","8"
"2010","no migration background","6.69","7","19975","3","5","8","10","6.66","6.72","7","7"
"2011","direct migration background","6.64","7","2912","3","5","8","10","6.55","6.73","7","7"
"2011","indirect migration background","7.08","7.53","1219","4","6","9","10","6.95","7.21","7","8"
"2011","no migration background","6.71","7","21762","3","5","8","10","6.68","6.74","7","7"
"2012","direct migration background","6.74","7","2911","3","5","8","10","6.66","6.82","7","7"
"2012","indirect migration background","6.88","7","1227","4","5","9","10","6.75","7.01","7","7"
"2012","no migration background","6.71","7","22372","3","5","8","10","6.68","6.74","7","7"
"2013","direct migration background","6.6","7","2699","3","5","8","10","6.51","6.69","7","7"
"2013","indirect migration background","6.99","7","1204","4","6","9","10","6.86","7.12","7","7"
"2013","no migration background","6.72","7","21861","3","5","8","10","6.69","6.75","7","7"
"2014","direct migration background","6.73","7","5131","3","5","9","10","6.67","6.79","7","7"
"2014","indirect migration background","6.97","7","1795","4","5","9","10","6.87","7.07","7","7"
"2014","no migration background","6.68","7","20265","3","5","8","10","6.65","6.71","7","7"
"2015","direct migration background","6.72","7","4318","3","5","8","10","6.65","6.79","7","7"
"2015","indirect migration background","7.09","7","1630","4","6","9","10","6.98","7.2","7","7"
"2015","no migration background","6.7","7","19185","3","5","8","9","6.67","6.73","7","7"
"2016","direct migration background","6.8","7","4797","3","5","8","10","6.74","6.86","7","8"
"2016","indirect migration background","6.96","7","1548","4","6","8","10","6.85","7.07","7","7"
"2016","no migration background","6.65","7","17918","3","5","8","9","6.62","6.68","7","7"
"2017","direct migration background","6.65","7","4586","3","5","8","10","6.58","6.72","7","7"
"2017","indirect migration background","6.82","7","1689","4","5","8","10","6.71","6.93","7","7"
"2017","no migration background","6.61","7","20299","3","5","8","9","6.58","6.64","7","7"
"2018","direct migration background","6.49","7","4390","3","5","8","9","6.42","6.56","7","7"
"2018","indirect migration background","6.73","7","1699","3","5","8","10","6.62","6.84","7","7"
"2018","no migration background","6.54","7","19603","3","5","8","9","6.51","6.57","7","7"
"2019","direct migration background","6.63","7","3858","3","5","8","10","6.56","6.7","7","7"
"2019","indirect migration background","6.83","7","1711","4","5","8","10","6.72","6.94","7","7"
"2019","no migration background","6.64","7","20291","3","5","8","9","6.61","6.67","7","7"
