"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2008","general elemantary","Ostdeutschland, neue Bundeslaender","6.6","7","306","3","5","9","10","6.32","6.88","7","8"
"2008","general elemantary","Westdeutschland, alte Bundeslaender","6.5","7","1727","3","5","8","10","6.39","6.61","7","7"
"2008","higher education","Ostdeutschland, neue Bundeslaender","6.68","7","1243","4","5","8","9","6.56","6.8","7","7"
"2008","higher education","Westdeutschland, alte Bundeslaender","7.04","7","2960","4","6","9","10","6.96","7.12","7","8"
"2008","higher vocational","Ostdeutschland, neue Bundeslaender","6.36","7","375","3","5","8","9","6.13","6.59","6","7"
"2008","higher vocational","Westdeutschland, alte Bundeslaender","6.69","7","1045","3","5","8","9","6.55","6.83","7","8"
"2008","in school","Ostdeutschland, neue Bundeslaender","7.14","8","82","4","6","9","10","6.69","7.59","7","8"
"2008","in school","Westdeutschland, alte Bundeslaender","7.76","8","270","5","6","9","10","7.52","8","8","8"
"2008","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","inadequately","Westdeutschland, alte Bundeslaender","6.3","7","168","2","5","8","10","5.92","6.68","7","7"
"2008","middle vocational","Ostdeutschland, neue Bundeslaender","6.44","7","2519","3","5","8","9","6.35","6.53","7","7"
"2008","middle vocational","Westdeutschland, alte Bundeslaender","6.71","7","7253","3","5","8","10","6.66","6.76","7","7"
"2008","vocational + Abi","Ostdeutschland, neue Bundeslaender","6.34","7","165","3","5","8","9","6.03","6.65","7","7"
"2008","vocational + Abi","Westdeutschland, alte Bundeslaender","6.93","7","933","4","6","9","10","6.79","7.07","7","8"
"2009","general elemantary","Ostdeutschland, neue Bundeslaender","6.53","7","264","3","5","8","10","6.25","6.81","6","7"
"2009","general elemantary","Westdeutschland, alte Bundeslaender","6.31","7","1543","3","5","8","9","6.19","6.43","7","7"
"2009","higher education","Ostdeutschland, neue Bundeslaender","6.55","7","1207","3","5","8","9","6.42","6.68","7","7"
"2009","higher education","Westdeutschland, alte Bundeslaender","7.06","7","2837","4","6","9","10","6.98","7.14","7","8"
"2009","higher vocational","Ostdeutschland, neue Bundeslaender","6.45","7","373","3","5","8","9","6.23","6.67","7","7"
"2009","higher vocational","Westdeutschland, alte Bundeslaender","6.68","7","965","3","5","8","9","6.54","6.82","7","7"
"2009","in school","Ostdeutschland, neue Bundeslaender","7.5","8","54","6","6","9","10","6.98","8.02","7","9"
"2009","in school","Westdeutschland, alte Bundeslaender","7.62","8","258","5","7","9","10","7.38","7.86","8","8"
"2009","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","inadequately","Westdeutschland, alte Bundeslaender","6.05","7","150","3","4","8","9","5.65","6.45","6","7"
