"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2008","direct migration background","Ostdeutschland, neue Bundeslaender","6.17","6","81","3","4","8","10","5.61","6.73","5","7"
"2008","direct migration background","Westdeutschland, alte Bundeslaender","6.63","7","1834","3","5","8","10","6.52","6.74","7","7"
"2008","indirect migration background","Ostdeutschland, neue Bundeslaender","6.2","6","43","3","5","8","10","5.42","6.98","5","8"
"2008","indirect migration background","Westdeutschland, alte Bundeslaender","7.05","7","730","4","5","9","10","6.88","7.22","7","8"
"2008","no migration background","Ostdeutschland, neue Bundeslaender","6.54","7","4665","3","5","8","9","6.48","6.6","7","7"
"2008","no migration background","Westdeutschland, alte Bundeslaender","6.79","7","12047","3","5","8","10","6.75","6.83","7","7"
"2009","direct migration background","Ostdeutschland, neue Bundeslaender","5.88","6","75","2","3","8","10","5.27","6.49","5","7"
"2009","direct migration background","Westdeutschland, alte Bundeslaender","6.63","7","1589","3","5","8","9","6.52","6.74","7","7"
"2009","indirect migration background","Ostdeutschland, neue Bundeslaender","6.69","7","41","3","5","8","9","6.05","7.33","6","8"
"2009","indirect migration background","Westdeutschland, alte Bundeslaender","7.22","8","674","4","6","9","10","7.05","7.39","7","8"
"2009","no migration background","Ostdeutschland, neue Bundeslaender","6.58","7","4436","3","5","8","9","6.51","6.65","7","7"
"2009","no migration background","Westdeutschland, alte Bundeslaender","6.73","7","11280","3","5","8","9","6.69","6.77","7","7"
"2010","direct migration background","Ostdeutschland, neue Bundeslaender","6.29","6","128","3","4","8","10","5.89","6.69","6","8"
"2010","direct migration background","Westdeutschland, alte Bundeslaender","6.7","7","2778","3","5","8","10","6.61","6.79","7","7"
"2010","indirect migration background","Ostdeutschland, neue Bundeslaender","6.23","7","76","4","4","8","9","5.68","6.78","5","8"
"2010","indirect migration background","Westdeutschland, alte Bundeslaender","6.99","7","1071","4","5","9","10","6.85","7.13","7","8"
"2010","no migration background","Ostdeutschland, neue Bundeslaender","6.52","7","5279","3","5","8","9","6.46","6.58","7","7"
"2010","no migration background","Westdeutschland, alte Bundeslaender","6.74","7","14696","3","5","8","10","6.7","6.78","7","7"
"2011","direct migration background","Ostdeutschland, neue Bundeslaender","6.05","6","137","3","4","8","10","5.64","6.46","6","7"
"2011","direct migration background","Westdeutschland, alte Bundeslaender","6.66","7","2775","3","5","8","10","6.57","6.75","7","7"
"2011","indirect migration background","Ostdeutschland, neue Bundeslaender","6.85","7","82","4","5","8","10","6.35","7.35","6","8"
"2011","indirect migration background","Westdeutschland, alte Bundeslaender","7.09","8","1137","4","6","9","10","6.96","7.22","7","8"
