"year","e11102","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","Employed","college entrance qualification","3.15","4","5716","1","1","5","5","5","3.1","3.2","1","5","4","4"
"2013","Employed","lower secondary degree","3.46","4","3452","1","2","5","5","5","3.4","3.52","1","5","4","4"
"2013","Employed","no degree/no degree yet","2.48","2","268","1","1","5","5","5","2.27","2.69","1","5","1","2"
"2013","Employed","Other degree","3.42","4","989","1","1","5","5","5","3.31","3.53","1","5","3","4"
"2013","Employed","secondary school degree","3.25","4","5803","1","1","5","5","5","3.2","3.3","1","5","4","4"
"2013","Not Employed","college entrance qualification","3.68","5","1664","1","2","5","5","5","3.6","3.76","1","5","5","5"
"2013","Not Employed","lower secondary degree","4.5","5","3619","2","5","5","5","5","4.45","4.55","1","5","5","5"
"2013","Not Employed","no degree/no degree yet","2.83","2","544","1","1","5","5","5","2.68","2.98","1","5","1","1"
"2013","Not Employed","Other degree","4.23","5","616","1","5","5","5","5","4.09","4.37","1","5","5","5"
"2013","Not Employed","secondary school degree","3.94","5","2058","1","2","5","5","5","3.87","4.01","1","5","5","5"
"2014","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2014","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2014","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","Employed","Other degree","","","","","","","","","","","","","",""
"2014","Employed","secondary school degree","","","","","","","","","","","","","",""
"2014","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2014","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2014","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","Not Employed","Other degree","","","","","","","","","","","","","",""
"2014","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2015","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2015","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2015","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2015","Employed","Other degree","","","","","","","","","","","","","",""
"2015","Employed","secondary school degree","","","","","","","","","","","","","",""
"2015","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2015","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2015","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2015","Not Employed","Other degree","","","","","","","","","","","","","",""
"2015","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2016","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2016","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2016","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2016","Employed","Other degree","","","","","","","","","","","","","",""
"2016","Employed","secondary school degree","","","","","","","","","","","","","",""
"2016","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2016","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2016","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2016","Not Employed","Other degree","","","","","","","","","","","","","",""
"2016","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2017","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2017","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2017","Employed","no degree/no degree yet","2.3","1","55","1","1","4","5","5","1.9","2.7","1","5","1","2"
"2017","Employed","Other degree","1.8","1","159","1","1","2","5","5","1.59","2.01","1","5","1","1"
"2017","Employed","secondary school degree","","","","","","","","","","","","","",""
"2017","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2017","Not Employed","lower secondary degree","1.73","1","33","1","1","1","5","5","1.28","2.18","1","5","1","1"
"2017","Not Employed","no degree/no degree yet","2.42","2","2139","1","1","4","5","5","2.35","2.49","1","5","1","2"
"2017","Not Employed","Other degree","1.77","1","2739","1","1","2","5","5","1.72","1.82","1","5","1","1"
"2017","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2018","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2018","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2018","Employed","no degree/no degree yet","1.74","1","157","1","1","2","5","5","1.52","1.96","1","5","1","1"
"2018","Employed","Other degree","1.52","1","303","1","1","1","3","5","1.41","1.63","1","5","1","1"
"2018","Employed","secondary school degree","","","","","","","","","","","","","",""
"2018","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2018","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2018","Not Employed","no degree/no degree yet","2.07","1","1273","1","1","2","5","5","1.98","2.16","1","5","1","1"
"2018","Not Employed","Other degree","1.58","1","1720","1","1","2","4","5","1.52","1.64","1","5","1","1"
"2018","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2019","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2019","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2019","Employed","no degree/no degree yet","1.68","1","266","1","1","2","4","5","1.55","1.81","1","5","1","1"
"2019","Employed","Other degree","1.35","1","498","1","1","1","2","5","1.26","1.44","1","5","1","1"
"2019","Employed","secondary school degree","","","","","","","","","","","","","",""
"2019","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2019","Not Employed","lower secondary degree","1.28","1","37","1","1","1","2","5","0.99","1.57","1","5","1","1"
"2019","Not Employed","no degree/no degree yet","1.97","1","1061","1","1","2","5","5","1.88","2.06","1","5","1","1"
"2019","Not Employed","Other degree","1.63","1","1287","1","1","2","4","5","1.57","1.69","1","5","1","1"
"2019","Not Employed","secondary school degree","","","","","","","","","","","","","",""
