"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","college entrance qualification","(Married) couple without C.","3.53","5","2059","1","2","5","5","5","3.46","3.6","1","5","5","5"
"2013","college entrance qualification","1-pers.-HH","3.28","4","1025","1","1","5","5","5","3.17","3.39","1","5","3","4"
"2013","college entrance qualification","Couple + C. GT 16 ","2.7","2","760","1","1","5","5","5","2.57","2.83","1","5","2","4"
"2013","college entrance qualification","Couple + C. LE 16","3.4","4","2330","1","2","5","5","5","3.33","3.47","1","5","4","4"
"2013","college entrance qualification","Couple + C. LE and GT 16","3.15","4","516","1","1","5","5","5","2.99","3.31","1","5","4","5"
"2013","college entrance qualification","Single parent","2.77","2","618","1","1","5","5","5","2.63","2.91","1","5","2","4"
"2013","lower secondary degree","(Married) couple without C.","4.31","5","2767","2","5","5","5","5","4.26","4.36","1","5","5","5"
"2013","lower secondary degree","1-pers.-HH","4.34","5","1262","1","5","5","5","5","4.26","4.42","1","5","5","5"
"2013","lower secondary degree","Couple + C. GT 16 ","3.5","4","686","1","2","5","5","5","3.37","3.63","1","5","4","5"
"2013","lower secondary degree","Couple + C. LE 16","3.08","3","1192","1","1","5","5","5","2.98","3.18","1","5","2","4"
"2013","lower secondary degree","Couple + C. LE and GT 16","3.05","3","398","1","1","5","5","5","2.88","3.22","1","5","2","4"
"2013","lower secondary degree","Single parent","3.27","4","606","1","1","5","5","5","3.13","3.41","1","5","2","4"
"2013","no degree/no degree yet","(Married) couple without C.","4.21","5","80","2","5","5","5","5","3.86","4.56","1","5","5","5"
"2013","no degree/no degree yet","1-pers.-HH","4.09","5","65","1","3","5","5","5","3.71","4.47","1","5","5","5"
"2013","no degree/no degree yet","Couple + C. GT 16 ","1.51","1","144","1","1","1","4","5","1.3","1.72","1","5","1","1"
"2013","no degree/no degree yet","Couple + C. LE 16","2.74","2","118","1","1","5","5","5","2.41","3.07","1","5","1","4"
"2013","no degree/no degree yet","Couple + C. LE and GT 16","1.7","1","218","1","1","2","5","5","1.53","1.87","1","5","1","1"
"2013","no degree/no degree yet","Single parent","1.75","1","165","1","1","1","5","5","1.53","1.97","1","5","1","1"
"2013","Other degree","(Married) couple without C.","4.13","5","384","1","4","5","5","5","3.97","4.29","1","5","5","5"
"2013","Other degree","1-pers.-HH","4.13","5","156","1","4","5","5","5","3.89","4.37","1","5","5","5"
"2013","Other degree","Couple + C. GT 16 ","3.74","5","141","1","2","5","5","5","3.47","4.01","1","5","5","5"
"2013","Other degree","Couple + C. LE 16","2.85","2","570","1","1","5","5","5","2.71","2.99","1","5","2","2"
"2013","Other degree","Couple + C. LE and GT 16","3.44","4","191","1","2","5","5","5","3.19","3.69","1","5","3","5"
"2013","Other degree","Single parent","3.11","3","119","1","1","5","5","5","2.79","3.43","1","5","2","4"
"2013","secondary school degree","(Married) couple without C.","3.74","5","2205","1","2","5","5","5","3.67","3.81","1","5","5","5"
"2013","secondary school degree","1-pers.-HH","3.64","5","943","1","2","5","5","5","3.53","3.75","1","5","5","5"
