"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","16-34 y.","college entrance qualification","1.98","1","1784","1","1","2","5","5","1.91","2.05","1","5","1","1"
"2013","16-34 y.","lower secondary degree","2.3","1","887","1","1","4","5","5","2.19","2.41","1","5","1","1"
"2013","16-34 y.","no degree/no degree yet","1.53","1","553","1","1","1","4","5","1.43","1.63","1","5","1","1"
"2013","16-34 y.","Other degree","2.22","1","245","1","1","4","5","5","2.01","2.43","1","5","1","2"
"2013","16-34 y.","secondary school degree","2.02","1","1582","1","1","2","5","5","1.94","2.1","1","5","1","1"
"2013","35-65 y.","college entrance qualification","3.69","5","4637","1","2","5","5","5","3.64","3.74","1","5","5","5"
"2013","35-65 y.","lower secondary degree","3.72","5","3564","1","2","5","5","5","3.66","3.78","1","5","5","5"
"2013","35-65 y.","no degree/no degree yet","3.61","5","189","1","2","5","5","5","3.36","3.86","1","5","4","5"
"2013","35-65 y.","Other degree","3.65","5","1105","1","2","5","5","5","3.55","3.75","1","5","4","5"
"2013","35-65 y.","secondary school degree","3.61","5","5281","1","2","5","5","5","3.56","3.66","1","5","5","5"
"2013","66 and older","college entrance qualification","4.32","5","959","2","5","5","5","5","4.23","4.41","1","5","5","5"
"2013","66 and older","lower secondary degree","4.74","5","2620","4","5","5","5","5","4.71","4.77","1","5","5","5"
"2013","66 and older","no degree/no degree yet","4.74","5","70","5","5","5","5","5","4.54","4.94","1","5","5","5"
"2013","66 and older","Other degree","4.6","5","255","4","5","5","5","5","4.46","4.74","1","5","5","5"
"2013","66 and older","secondary school degree","4.46","5","998","2","5","5","5","5","4.38","4.54","1","5","5","5"
"2014","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2014","16-34 y.","lower secondary degree","","","","","","","","","","","","","",""
"2014","16-34 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","16-34 y.","Other degree","","","","","","","","","","","","","",""
"2014","16-34 y.","secondary school degree","","","","","","","","","","","","","",""
"2014","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2014","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2014","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","35-65 y.","Other degree","","","","","","","","","","","","","",""
"2014","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2014","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2014","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2014","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","66 and older","Other degree","","","","","","","","","","","","","",""
"2014","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2015","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2015","16-34 y.","lower secondary degree","","","","","","","","","","","","","",""
"2015","16-34 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2015","16-34 y.","Other degree","","","","","","","","","","","","","",""
"2015","16-34 y.","secondary school degree","","","","","","","","","","","","","",""
"2015","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2015","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2015","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2015","35-65 y.","Other degree","","","","","","","","","","","","","",""
"2015","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2015","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2015","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2015","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"2015","66 and older","Other degree","","","","","","","","","","","","","",""
"2015","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2016","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2016","16-34 y.","lower secondary degree","","","","","","","","","","","","","",""
"2016","16-34 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2016","16-34 y.","Other degree","","","","","","","","","","","","","",""
"2016","16-34 y.","secondary school degree","","","","","","","","","","","","","",""
"2016","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2016","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2016","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2016","35-65 y.","Other degree","","","","","","","","","","","","","",""
"2016","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2016","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2016","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2016","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"2016","66 and older","Other degree","","","","","","","","","","","","","",""
"2016","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2017","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2017","16-34 y.","lower secondary degree","1.72","1","35","1","1","1","5","5","1.29","2.15","1","5","1","1"
"2017","16-34 y.","no degree/no degree yet","2.25","1","1287","1","1","3","5","5","2.17","2.33","1","5","1","1"
"2017","16-34 y.","Other degree","1.67","1","1692","1","1","2","4","5","1.61","1.73","1","5","1","1"
"2017","16-34 y.","secondary school degree","","","","","","","","","","","","","",""
"2017","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2017","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2017","35-65 y.","no degree/no degree yet","2.73","2","873","1","1","5","5","5","2.62","2.84","1","5","2","2"
"2017","35-65 y.","Other degree","1.96","1","1190","1","1","2","5","5","1.88","2.04","1","5","1","1"
"2017","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2017","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2017","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2017","66 and older","no degree/no degree yet","4.65","5","34","3","5","5","5","5","4.19","5.11","1","5","5","5"
"2017","66 and older","Other degree","","","","","","","","","","","","","",""
"2017","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2018","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2018","16-34 y.","lower secondary degree","1.34","1","38","1","1","1","2","5","1.06","1.62","1","5","1","1"
"2018","16-34 y.","no degree/no degree yet","1.84","1","750","1","1","2","5","5","1.74","1.94","1","5","1","1"
"2018","16-34 y.","Other degree","1.43","1","1047","1","1","1","2","5","1.37","1.49","1","5","1","1"
"2018","16-34 y.","secondary school degree","","","","","","","","","","","","","",""
"2018","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2018","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2018","35-65 y.","no degree/no degree yet","2.34","2","659","1","1","4","5","5","2.22","2.46","1","5","1","2"
"2018","35-65 y.","Other degree","1.86","1","969","1","1","2","5","5","1.78","1.94","1","5","1","1"
"2018","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2018","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2018","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2018","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"2018","66 and older","Other degree","","","","","","","","","","","","","",""
"2018","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2019","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2019","16-34 y.","lower secondary degree","1.33","1","59","1","1","1","2","5","1.05","1.61","1","5","1","1"
"2019","16-34 y.","no degree/no degree yet","1.77","1","610","1","1","2","4","5","1.67","1.87","1","5","1","1"
"2019","16-34 y.","Other degree","1.43","1","852","1","1","1","2","5","1.36","1.5","1","5","1","1"
"2019","16-34 y.","secondary school degree","1.6","1","37","1","1","2","4","4","1.32","1.88","1","5","1","1"
"2019","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2019","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2019","35-65 y.","no degree/no degree yet","2.02","1","696","1","1","2","5","5","1.91","2.13","1","5","1","1"
"2019","35-65 y.","Other degree","1.7","1","923","1","1","2","4","5","1.62","1.78","1","5","1","1"
"2019","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2019","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2019","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2019","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"2019","66 and older","Other degree","","","","","","","","","","","","","",""
"2019","66 and older","secondary school degree","","","","","","","","","","","","","",""
