"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","16-34 y.","2.01","1","5647","1","1","2","5","5","1.97","2.05","1","5","1","1"
"2013","35-65 y.","3.67","5","14890","1","2","5","5","5","3.64","3.7","1","5","5","5"
"2013","66 and older","4.61","5","4932","4","5","5","5","5","4.58","4.64","1","5","5","5"
"2014","16-34 y.","","","","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","","","","",""
"2015","16-34 y.","","","","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","","","","",""
"2016","16-34 y.","","","","","","","","","","","","","",""
"2016","35-65 y.","","","","","","","","","","","","","",""
"2016","66 and older","","","","","","","","","","","","","",""
"2017","16-34 y.","1.91","1","3242","1","1","2","5","5","1.86","1.96","1","5","1","1"
"2017","35-65 y.","2.29","1","2244","1","1","4","5","5","2.22","2.36","1","5","1","1"
"2017","66 and older","4.29","5","53","1","5","5","5","5","3.83","4.75","1","5","5","5"
"2018","16-34 y.","1.62","1","2062","1","1","2","4","5","1.57","1.67","1","5","1","1"
"2018","35-65 y.","2.08","1","1777","1","1","3","5","5","2.01","2.15","1","5","1","1"
"2018","66 and older","3.69","5","31","1","2","5","5","5","3.03","4.35","1","5","2","5"
"2019","16-34 y.","1.56","1","1753","1","1","2","4","5","1.51","1.61","1","5","1","1"
"2019","35-65 y.","1.81","1","1782","1","1","2","5","5","1.75","1.87","1","5","1","1"
"2019","66 and older","4.04","5","34","1","4","5","5","5","3.48","4.6","1","5","4","5"
