"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","direct migration background","3.63","5","2657","1","2","5","5","5","3.56","3.7","1","5","4","4"
"2013","indirect migration background","2.38","1","1187","1","1","4","5","5","2.28","2.48","1","5","1","2"
"2013","no migration background","3.6","5","21625","1","2","5","5","5","3.58","3.62","1","5","5","5"
"2014","direct migration background","","","","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","","","","",""
"2017","direct migration background","2.04","1","5539","1","1","3","5","5","2","2.08","1","5","1","1"
"2017","indirect migration background","","","","","","","","","","","","","",""
"2017","no migration background","","","","","","","","","","","","","",""
"2018","direct migration background","1.77","1","3870","1","1","2","4","5","1.73","1.81","1","5","1","1"
"2018","indirect migration background","","","","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","","","","",""
"2019","direct migration background","1.67","1","3569","1","1","2","4","5","1.63","1.71","1","5","1","1"
"2019","indirect migration background","","","","","","","","","","","","","",""
"2019","no migration background","","","","","","","","","","","","","",""
