"plh0164","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","1-pers.-HH","no migration background","8","","","","0"
"0 Completely dissatisfied","1989","1-pers.-HH","direct migration background","","","","","0"
"0 Completely dissatisfied","1989","1-pers.-HH","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","(Married) couple without C. ","no migration background","11","","","","0"
"0 Completely dissatisfied","1989","(Married) couple without C. ","direct migration background","8","","","","0"
"0 Completely dissatisfied","1989","(Married) couple without C. ","indirect migration background","1","","","","0"
"0 Completely dissatisfied","1989","Single parent ","no migration background","4","","","","0"
"0 Completely dissatisfied","1989","Single parent ","direct migration background","7","","","","0"
"0 Completely dissatisfied","1989","Single parent ","indirect migration background","1","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE 16 ","no migration background","8","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE 16 ","direct migration background","28","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE 16 ","indirect migration background","1","","","","0"
"0 Completely dissatisfied","1989","Couple + C. GT 16 ","no migration background","11","","","","0"
"0 Completely dissatisfied","1989","Couple + C. GT 16 ","direct migration background","17","","","","0"
"0 Completely dissatisfied","1989","Couple + C. GT 16 ","indirect migration background","1","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE and GT 16","no migration background","5","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE and GT 16","direct migration background","12","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE and GT 16","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1989","1-pers.-HH","no migration background","3","","","","1"
"1 on Scale 1 to 10","1989","1-pers.-HH","direct migration background","1","","","","1"
"1 on Scale 1 to 10","1989","(Married) couple without C. ","direct migration background","10","","","","1"
"1 on Scale 1 to 10","1989","(Married) couple without C. ","no migration background","6","","","","1"
"1 on Scale 1 to 10","1989","1-pers.-HH","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","(Married) couple without C. ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Single parent ","no migration background","1","","","","1"
"1 on Scale 1 to 10","1989","Single parent ","direct migration background","2","","","","1"
"1 on Scale 1 to 10","1989","Single parent ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Couple + C. LE 16 ","no migration background","9","","","","1"
"1 on Scale 1 to 10","1989","Couple + C. LE 16 ","direct migration background","15","","","","1"
"1 on Scale 1 to 10","1989","Couple + C. LE 16 ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Couple + C. GT 16 ","no migration background","11","","","","1"
"1 on Scale 1 to 10","1989","Couple + C. GT 16 ","direct migration background","18","","","","1"
"1 on Scale 1 to 10","1989","Couple + C. GT 16 ","indirect migration background","2","","","","1"
"1 on Scale 1 to 10","1989","Couple + C. LE and GT 16","no migration background","2","","","","1"
"1 on Scale 1 to 10","1989","Couple + C. LE and GT 16","direct migration background","18","","","","1"
"1 on Scale 1 to 10","1989","Couple + C. LE and GT 16","indirect migration background","1","","","","1"
"10 Completely satisfied","1989","1-pers.-HH","direct migration background","20","","","","10"
"10 Completely satisfied","1989","1-pers.-HH","no migration background","105","0.145778695799408","0.12099810868507","0.170559282913747","10"
"10 Completely satisfied","1989","1-pers.-HH","indirect migration background","2","","","","10"
"10 Completely satisfied","1989","(Married) couple without C. ","no migration background","274","0.168401952539369","0.150246030651684","0.186557874427054","10"
"10 Completely satisfied","1989","(Married) couple without C. ","direct migration background","40","0.148237932885552","0.110300148560629","0.186175717210476","10"
"10 Completely satisfied","1989","(Married) couple without C. ","indirect migration background","3","","","","10"
"10 Completely satisfied","1989","Single parent ","no migration background","44","0.138694749106651","0.101683457213177","0.175706041000126","10"
"10 Completely satisfied","1989","Single parent ","indirect migration background","2","","","","10"
"10 Completely satisfied","1989","Couple + C. LE 16 ","no migration background","174","0.132161947206134","0.113645012888273","0.150678881523995","10"
"10 Completely satisfied","1989","Couple + C. LE and GT 16","direct migration background","40","0.106942785660225","0.076310803519107","0.137574767801343","10"
"10 Completely satisfied","1989","Couple + C. LE and GT 16","indirect migration background","10","","","","10"
"10 Completely satisfied","1989","Single parent ","direct migration background","6","","","","10"
"10 Completely satisfied","1989","Couple + C. LE 16 ","direct migration background","62","0.118145588559899","0.0930795573648948","0.143211619754903","10"
"10 Completely satisfied","1989","Couple + C. LE 16 ","indirect migration background","3","","","","10"
"10 Completely satisfied","1989","Couple + C. GT 16 ","no migration background","196","0.138274702796136","0.120180048366628","0.156369357225643","10"
"10 Completely satisfied","1989","Couple + C. GT 16 ","direct migration background","35","0.0987874418844586","0.0707802650469547","0.126794618721963","10"
"10 Completely satisfied","1989","Couple + C. GT 16 ","indirect migration background","16","","","","10"
"10 Completely satisfied","1989","Couple + C. LE and GT 16","no migration background","59","0.134873903986619","0.102436434850799","0.167311373122439","10"
"2 on Scale 1 to 10","1989","Single parent ","no migration background","7","","","","2"
"2 on Scale 1 to 10","1989","Single parent ","direct migration background","5","","","","2"
"2 on Scale 1 to 10","1989","1-pers.-HH","no migration background","9","","","","2"
"2 on Scale 1 to 10","1989","1-pers.-HH","direct migration background","11","","","","2"
"2 on Scale 1 to 10","1989","1-pers.-HH","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1989","(Married) couple without C. ","no migration background","22","","","","2"
"2 on Scale 1 to 10","1989","(Married) couple without C. ","direct migration background","17","","","","2"
"2 on Scale 1 to 10","1989","(Married) couple without C. ","indirect migration background","1","","","","2"
"2 on Scale 1 to 10","1989","Single parent ","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1989","Couple + C. LE 16 ","no migration background","26","","","","2"
"2 on Scale 1 to 10","1989","Couple + C. LE 16 ","direct migration background","31","0.0411780366905939","0.0257475302626402","0.0566085431185476","2"
"2 on Scale 1 to 10","1989","Couple + C. LE 16 ","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1989","Couple + C. LE and GT 16","direct migration background","24","","","","2"
"2 on Scale 1 to 10","1989","Couple + C. LE and GT 16","indirect migration background","2","","","","2"
"2 on Scale 1 to 10","1989","Couple + C. GT 16 ","no migration background","24","","","","2"
"2 on Scale 1 to 10","1989","Couple + C. GT 16 ","direct migration background","20","","","","2"
"2 on Scale 1 to 10","1989","Couple + C. GT 16 ","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1989","Couple + C. LE and GT 16","no migration background","7","","","","2"
"3 on Scale 1 to 10","1989","1-pers.-HH","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1989","1-pers.-HH","no migration background","31","0.0391251000255062","0.0255093829961631","0.0527408170548492","3"
"3 on Scale 1 to 10","1989","1-pers.-HH","direct migration background","13","","","","3"
"3 on Scale 1 to 10","1989","Single parent ","no migration background","17","","","","3"
"3 on Scale 1 to 10","1989","Single parent ","direct migration background","7","","","","3"
"3 on Scale 1 to 10","1989","Single parent ","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1989","Couple + C. LE 16 ","no migration background","35","0.0276849978578107","0.0187143818338305","0.036655613881791","3"
"3 on Scale 1 to 10","1989","Couple + C. LE 16 ","direct migration background","50","0.0727452031203329","0.0525764012518331","0.0929140049888328","3"
"3 on Scale 1 to 10","1989","Couple + C. LE 16 ","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1989","(Married) couple without C. ","no migration background","54","0.0345998273867722","0.025732787420392","0.0434668673531524","3"
"3 on Scale 1 to 10","1989","(Married) couple without C. ","direct migration background","20","","","","3"
"3 on Scale 1 to 10","1989","(Married) couple without C. ","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1989","Couple + C. GT 16 ","indirect migration background","4","","","","3"
"3 on Scale 1 to 10","1989","Couple + C. GT 16 ","no migration background","40","0.027450132365995","0.0188852250760387","0.0360150396559514","3"
"3 on Scale 1 to 10","1989","Couple + C. GT 16 ","direct migration background","34","0.0565851148981817","0.0348977238912329","0.0782725059051306","3"
"3 on Scale 1 to 10","1989","Couple + C. LE and GT 16","direct migration background","38","0.0981197180943516","0.0686339595948037","0.1276054765939","3"
