"plh0164","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","West Germany","Male","58","0.00833036043304522","0.00561531614594366","0.0110454047201468","0"
"0 Completely dissatisfied","1989","West Germany","Female","94","0.0127062697226099","0.00937480356379094","0.0160377358814289","0"
"0 Completely dissatisfied","1989","East Germany","Male","","","","","0"
"0 Completely dissatisfied","1989","East Germany","Female","","","","","0"
"1 on Scale 1 to 10","1989","West Germany","Female","65","0.00717016715877591","0.00466056296766274","0.00967977134988909","1"
"1 on Scale 1 to 10","1989","West Germany","Male","45","0.0053038646128703","0.00313414835465185","0.00747358087108874","1"
"1 on Scale 1 to 10","1989","East Germany","Male","","","","","1"
"1 on Scale 1 to 10","1989","East Germany","Female","","","","","1"
"10 Completely satisfied","1989","East Germany","Male","","","","","10"
"10 Completely satisfied","1989","West Germany","Male","580","0.140274814395636","0.129901173993716","0.150648454797557","10"
"10 Completely satisfied","1989","West Germany","Female","570","0.149485035152785","0.138879245237792","0.160090825067777","10"
"10 Completely satisfied","1989","East Germany","Female","","","","","10"
"2 on Scale 1 to 10","1989","West Germany","Male","96","0.0161427971551424","0.0123782135837108","0.019907380726574","2"
"2 on Scale 1 to 10","1989","West Germany","Female","124","0.0193145063236167","0.0152208642918008","0.0234081483554326","2"
"2 on Scale 1 to 10","1989","East Germany","Male","","","","","2"
"2 on Scale 1 to 10","1989","East Germany","Female","","","","","2"
"3 on Scale 1 to 10","1989","West Germany","Female","230","0.0473224537255581","0.0410069241426153","0.053637983308501","3"
"3 on Scale 1 to 10","1989","West Germany","Male","165","0.0279014939799706","0.0229818873284843","0.0328211006314568","3"
"3 on Scale 1 to 10","1989","East Germany","Male","","","","","3"
"3 on Scale 1 to 10","1989","East Germany","Female","","","","","3"
"4 on Scale 1 to 10","1989","West Germany","Male","179","0.0371031657558188","0.0314569577195206","0.0427493737921169","4"
"4 on Scale 1 to 10","1989","West Germany","Female","240","0.048884209544858","0.0424705754996311","0.0552978435900848","4"
"4 on Scale 1 to 10","1989","East Germany","Male","","","","","4"
"4 on Scale 1 to 10","1989","East Germany","Female","","","","","4"
"5 on Scale 1 to 10","1989","West Germany","Male","590","0.134856165238195","0.124652855402711","0.14505947507368","5"
"5 on Scale 1 to 10","1989","East Germany","Female","","","","","5"
"5 on Scale 1 to 10","1989","West Germany","Female","752","0.177259488040297","0.165900507171604","0.18861846890899","5"
"5 on Scale 1 to 10","1989","East Germany","Male","","","","","5"
"6 on Scale 1 to 10","1989","West Germany","Male","452","0.100953116109685","0.0919537369958043","0.109952495223565","6"
"6 on Scale 1 to 10","1989","West Germany","Female","427","0.0949354004494989","0.0862165934544164","0.103654207444581","6"
"6 on Scale 1 to 10","1989","East Germany","Male","","","","","6"
"6 on Scale 1 to 10","1989","East Germany","Female","","","","","6"
"7 on Scale 1 to 10","1989","West Germany","Male","710","0.169835553758119","0.158619040247326","0.181052067268912","7"
"7 on Scale 1 to 10","1989","West Germany","Female","585","0.136099966426109","0.125900817438524","0.146299115413694","7"
"7 on Scale 1 to 10","1989","East Germany","Male","","","","","7"
"7 on Scale 1 to 10","1989","East Germany","Female","","","","","7"
"8 on Scale 1 to 10","1989","West Germany","Female","835","0.207235504814682","0.195179390453829","0.219291619175536","8"
"8 on Scale 1 to 10","1989","East Germany","Male","","","","","8"
"8 on Scale 1 to 10","1989","East Germany","Female","","","","","8"
"8 on Scale 1 to 10","1989","West Germany","Male","933","0.229649568045935","0.217085262340861","0.242213873751009","8"
"9 on Scale 1 to 10","1989","West Germany","Female","420","0.0995869986412097","0.0906801231372894","0.10849387414513","9"
"9 on Scale 1 to 10","1989","East Germany","Female","","","","","9"
"9 on Scale 1 to 10","1989","West Germany","Male","497","0.129649100515583","0.119614653170146","0.139683547861019","9"
"9 on Scale 1 to 10","1989","East Germany","Male","","","","","9"
"0 Completely dissatisfied","1990","West Germany","Male","","","","","0"
"0 Completely dissatisfied","1990","West Germany","Female","","","","","0"
"0 Completely dissatisfied","1990","East Germany","Male","","","","","0"
"0 Completely dissatisfied","1990","East Germany","Female","","","","","0"
"1 on Scale 1 to 10","1990","West Germany","Male","","","","","1"
"1 on Scale 1 to 10","1990","West Germany","Female","","","","","1"
"1 on Scale 1 to 10","1990","East Germany","Male","","","","","1"
"1 on Scale 1 to 10","1990","East Germany","Female","","","","","1"
"10 Completely satisfied","1990","West Germany","Male","","","","","10"
"10 Completely satisfied","1990","East Germany","Male","","","","","10"
"10 Completely satisfied","1990","West Germany","Female","","","","","10"
"10 Completely satisfied","1990","East Germany","Female","","","","","10"
"2 on Scale 1 to 10","1990","West Germany","Male","","","","","2"
"2 on Scale 1 to 10","1990","West Germany","Female","","","","","2"
"2 on Scale 1 to 10","1990","East Germany","Male","","","","","2"
"2 on Scale 1 to 10","1990","East Germany","Female","","","","","2"
"3 on Scale 1 to 10","1990","West Germany","Female","","","","","3"
"3 on Scale 1 to 10","1990","West Germany","Male","","","","","3"
"3 on Scale 1 to 10","1990","East Germany","Male","","","","","3"
"3 on Scale 1 to 10","1990","East Germany","Female","","","","","3"
"4 on Scale 1 to 10","1990","West Germany","Male","","","","","4"
"4 on Scale 1 to 10","1990","West Germany","Female","","","","","4"
"4 on Scale 1 to 10","1990","East Germany","Male","","","","","4"
"4 on Scale 1 to 10","1990","East Germany","Female","","","","","4"
"5 on Scale 1 to 10","1990","West Germany","Male","","","","","5"
"5 on Scale 1 to 10","1990","East Germany","Female","","","","","5"
"5 on Scale 1 to 10","1990","West Germany","Female","","","","","5"
"5 on Scale 1 to 10","1990","East Germany","Male","","","","","5"
"6 on Scale 1 to 10","1990","West Germany","Male","","","","","6"
"6 on Scale 1 to 10","1990","West Germany","Female","","","","","6"
"6 on Scale 1 to 10","1990","East Germany","Male","","","","","6"
"6 on Scale 1 to 10","1990","East Germany","Female","","","","","6"
"7 on Scale 1 to 10","1990","West Germany","Male","","","","","7"
"7 on Scale 1 to 10","1990","East Germany","Female","","","","","7"
"7 on Scale 1 to 10","1990","West Germany","Female","","","","","7"
"7 on Scale 1 to 10","1990","East Germany","Male","","","","","7"
"8 on Scale 1 to 10","1990","West Germany","Female","","","","","8"
"8 on Scale 1 to 10","1990","East Germany","Male","","","","","8"
"8 on Scale 1 to 10","1990","East Germany","Female","","","","","8"
"8 on Scale 1 to 10","1990","West Germany","Male","","","","","8"
"9 on Scale 1 to 10","1990","East Germany","Female","","","","","9"
"9 on Scale 1 to 10","1990","West Germany","Female","","","","","9"
"9 on Scale 1 to 10","1990","West Germany","Male","","","","","9"
"9 on Scale 1 to 10","1990","East Germany","Male","","","","","9"
"0 Completely dissatisfied","1991","West Germany","Male","","","","","0"
"0 Completely dissatisfied","1991","West Germany","Female","","","","","0"
"0 Completely dissatisfied","1991","East Germany","Male","","","","","0"
"0 Completely dissatisfied","1991","East Germany","Female","","","","","0"
"1 on Scale 1 to 10","1991","East Germany","Male","","","","","1"
"1 on Scale 1 to 10","1991","West Germany","Male","","","","","1"
"1 on Scale 1 to 10","1991","East Germany","Female","","","","","1"
"1 on Scale 1 to 10","1991","West Germany","Female","","","","","1"
"10 Completely satisfied","1991","West Germany","Male","","","","","10"
"10 Completely satisfied","1991","East Germany","Male","","","","","10"
"10 Completely satisfied","1991","West Germany","Female","","","","","10"
