"plh0164","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","no migration background","in school","1","","","","0"
"0 Completely dissatisfied","1989","no migration background","inadequately","2","","","","0"
"0 Completely dissatisfied","1989","no migration background","general elemantary","32","0.0203713959433667","0.0129820557565882","0.0277607361301451","0"
"0 Completely dissatisfied","1989","no migration background","middle vocational","13","","","","0"
"0 Completely dissatisfied","1989","no migration background","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1989","no migration background","higher vocational","2","","","","0"
"0 Completely dissatisfied","1989","no migration background","higher education","1","","","","0"
"0 Completely dissatisfied","1989","direct migration background","in school","","","","","0"
"0 Completely dissatisfied","1989","direct migration background","inadequately","43","0.084988637392818","0.0599893390502032","0.109987935735433","0"
"0 Completely dissatisfied","1989","direct migration background","general elemantary","29","","","","0"
"0 Completely dissatisfied","1989","direct migration background","middle vocational","19","","","","0"
"0 Completely dissatisfied","1989","direct migration background","vocational + Abi","3","","","","0"
"0 Completely dissatisfied","1989","direct migration background","higher vocational","","","","","0"
"0 Completely dissatisfied","1989","direct migration background","higher education","","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","in school","","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","inadequately","","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","general elemantary","1","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","middle vocational","3","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","higher vocational","","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","higher education","","","","","0"
"1 on Scale 1 to 10","1989","indirect migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1989","indirect migration background","middle vocational","","","","","1"
"1 on Scale 1 to 10","1989","indirect migration background","higher education","","","","","1"
"1 on Scale 1 to 10","1989","indirect migration background","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1989","no migration background","general elemantary","16","","","","1"
"1 on Scale 1 to 10","1989","no migration background","middle vocational","13","","","","1"
"1 on Scale 1 to 10","1989","no migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1989","direct migration background","general elemantary","26","","","","1"
"1 on Scale 1 to 10","1989","direct migration background","middle vocational","9","","","","1"
"1 on Scale 1 to 10","1989","no migration background","in school","1","","","","1"
"1 on Scale 1 to 10","1989","no migration background","inadequately","4","","","","1"
"1 on Scale 1 to 10","1989","no migration background","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1989","no migration background","higher education","","","","","1"
"1 on Scale 1 to 10","1989","direct migration background","in school","","","","","1"
"1 on Scale 1 to 10","1989","direct migration background","inadequately","36","0.0635788566750464","0.0417049625782649","0.0854527507718279","1"
"1 on Scale 1 to 10","1989","direct migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1989","direct migration background","higher vocational","","","","","1"
"1 on Scale 1 to 10","1989","direct migration background","higher education","","","","","1"
"1 on Scale 1 to 10","1989","indirect migration background","in school","","","","","1"
