"plh0164","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","Schleswig-Holstein","Urban Area","2","","","","0"
"0 Completely dissatisfied","1989","Schleswig-Holstein","Rural Area","1","","","","0"
"0 Completely dissatisfied","1989","Hamburg","Urban Area","3","","","","0"
"0 Completely dissatisfied","1989","Hamburg","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","Lower Saxony","Urban Area","7","","","","0"
"0 Completely dissatisfied","1989","Lower Saxony","Rural Area","1","","","","0"
"0 Completely dissatisfied","1989","Bremen","Urban Area","","","","","0"
"0 Completely dissatisfied","1989","Bremen","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","North Rhine-Westphalia","Urban Area","34","0.00887508568727649","0.00504461982594814","0.0127055515486048","0"
"0 Completely dissatisfied","1989","North Rhine-Westphalia","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","Hesse","Urban Area","17","","","","0"
"0 Completely dissatisfied","1989","Hesse","Rural Area","8","","","","0"
"0 Completely dissatisfied","1989","Rhineland-Palatinate,Saarland","Urban Area","13","","","","0"
"0 Completely dissatisfied","1989","Rhineland-Palatinate,Saarland","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","Baden-Württemberg","Urban Area","24","","","","0"
"0 Completely dissatisfied","1989","Baden-Württemberg","Rural Area","9","","","","0"
"0 Completely dissatisfied","1989","Bavaria","Urban Area","14","","","","0"
"0 Completely dissatisfied","1989","Bavaria","Rural Area","5","","","","0"
"0 Completely dissatisfied","1989","Berlin","Urban Area","14","","","","0"
"0 Completely dissatisfied","1989","Berlin","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","Brandenburg","Urban Area","","","","","0"
"0 Completely dissatisfied","1989","Brandenburg","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"0 Completely dissatisfied","1989","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","Saxony","Urban Area","","","","","0"
"0 Completely dissatisfied","1989","Saxony","Rural Area","","","","","0"
