"plh0164","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","in school","Urban Area","1","","","","0"
"0 Completely dissatisfied","1989","in school","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","inadequately","Urban Area","37","0.0654014132055495","0.0434660764389223","0.0873367499721768","0"
"0 Completely dissatisfied","1989","inadequately","Rural Area","8","","","","0"
"0 Completely dissatisfied","1989","general elemantary","Urban Area","52","0.0250560528373862","0.0177788851238299","0.0323332205509424","0"
"0 Completely dissatisfied","1989","general elemantary","Rural Area","10","","","","0"
"0 Completely dissatisfied","1989","middle vocational","Urban Area","29","","","","0"
"0 Completely dissatisfied","1989","middle vocational","Rural Area","6","","","","0"
"0 Completely dissatisfied","1989","vocational + Abi","Urban Area","4","","","","0"
"0 Completely dissatisfied","1989","vocational + Abi","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","higher vocational","Urban Area","2","","","","0"
"0 Completely dissatisfied","1989","higher vocational","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","higher education","Urban Area","1","","","","0"
"0 Completely dissatisfied","1989","higher education","Rural Area","","","","","0"
"1 on Scale 1 to 10","1989","middle vocational","Urban Area","17","","","","1"
"1 on Scale 1 to 10","1989","higher vocational","Rural Area","","","","","1"
"1 on Scale 1 to 10","1989","higher education","Urban Area","","","","","1"
"1 on Scale 1 to 10","1989","higher vocational","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1989","higher education","Rural Area","","","","","1"
"1 on Scale 1 to 10","1989","in school","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1989","in school","Rural Area","","","","","1"
"1 on Scale 1 to 10","1989","inadequately","Urban Area","39","0.0691106975225509","0.0466066913688407","0.0916147036762611","1"
"1 on Scale 1 to 10","1989","inadequately","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1989","general elemantary","Urban Area","33","0.00867850835309683","0.00435987796851289","0.0129971387376808","1"
"1 on Scale 1 to 10","1989","general elemantary","Rural Area","11","","","","1"
"1 on Scale 1 to 10","1989","middle vocational","Rural Area","5","","","","1"
"1 on Scale 1 to 10","1989","vocational + Abi","Urban Area","","","","","1"
"1 on Scale 1 to 10","1989","vocational + Abi","Rural Area","","","","","1"
"10 Completely satisfied","1989","in school","Urban Area","23","","","","10"
"10 Completely satisfied","1989","in school","Rural Area","6","","","","10"
"10 Completely satisfied","1989","inadequately","Rural Area","5","","","","10"
"10 Completely satisfied","1989","general elemantary","Urban Area","194","0.116893262248489","0.101933745273215","0.131852779223763","10"
"10 Completely satisfied","1989","general elemantary","Rural Area","60","0.117164312839703","0.0879949282968625","0.146333697382544","10"
"10 Completely satisfied","1989","middle vocational","Urban Area","375","0.122406327957854","0.111157134954744","0.133655520960964","10"
"10 Completely satisfied","1989","middle vocational","Rural Area","128","0.142848541821601","0.119872462129357","0.165824621513845","10"
"10 Completely satisfied","1989","vocational + Abi","Urban Area","41","0.174428368532254","0.125386149461898","0.223470587602611","10"
"10 Completely satisfied","1989","vocational + Abi","Rural Area","8","","","","10"
"10 Completely satisfied","1989","higher vocational","Urban Area","65","0.184772942461918","0.145386010272918","0.224159874650918","10"
"10 Completely satisfied","1989","higher vocational","Rural Area","17","","","","10"
"10 Completely satisfied","1989","higher education","Urban Area","162","0.294072641736162","0.256302422540154","0.331842860932169","10"
"10 Completely satisfied","1989","higher education","Rural Area","28","","","","10"
"10 Completely satisfied","1989","inadequately","Urban Area","26","","","","10"
"2 on Scale 1 to 10","1989","higher vocational","Urban Area","2","","","","2"
"2 on Scale 1 to 10","1989","higher education","Rural Area","","","","","2"
"2 on Scale 1 to 10","1989","in school","Urban Area","2","","","","2"
"2 on Scale 1 to 10","1989","general elemantary","Rural Area","15","","","","2"
"2 on Scale 1 to 10","1989","middle vocational","Rural Area","8","","","","2"
"2 on Scale 1 to 10","1989","vocational + Abi","Urban Area","3","","","","2"
"2 on Scale 1 to 10","1989","general elemantary","Urban Area","65","0.0295620369871008","0.0216758458462015","0.0374482281280002","2"
"2 on Scale 1 to 10","1989","higher vocational","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1989","in school","Rural Area","","","","","2"
"2 on Scale 1 to 10","1989","higher education","Urban Area","6","","","","2"
"2 on Scale 1 to 10","1989","inadequately","Urban Area","50","0.102257053751841","0.0753751006830832","0.129139006820598","2"
"2 on Scale 1 to 10","1989","inadequately","Rural Area","7","","","","2"
