"plh0164","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","no migration background","West Germany","54","0.00874019339196484","0.00641729518872664","0.011063091595203","0"
"0 Completely dissatisfied","1989","no migration background","East Germany","","","","","0"
"0 Completely dissatisfied","1989","direct migration background","West Germany","94","0.0262648552004171","0.0196481072313609","0.0328816031694733","0"
"0 Completely dissatisfied","1989","direct migration background","East Germany","","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","West Germany","4","","","","0"
"0 Completely dissatisfied","1989","indirect migration background","East Germany","","","","","0"
"1 on Scale 1 to 10","1989","direct migration background","East Germany","","","","","1"
"1 on Scale 1 to 10","1989","direct migration background","West Germany","71","0.0171462522712915","0.0117751215986826","0.0225173829439003","1"
"1 on Scale 1 to 10","1989","no migration background","West Germany","36","0.00499310698592278","0.00323407235774758","0.00675214161409797","1"
"1 on Scale 1 to 10","1989","no migration background","East Germany","","","","","1"
"1 on Scale 1 to 10","1989","indirect migration background","West Germany","3","","","","1"
"1 on Scale 1 to 10","1989","indirect migration background","East Germany","","","","","1"
"10 Completely satisfied","1989","no migration background","West Germany","898","0.147130366830221","0.138290038539397","0.155970695121045","10"
"10 Completely satisfied","1989","direct migration background","West Germany","215","0.120087130396626","0.106637673942895","0.133536586850356","10"
"10 Completely satisfied","1989","no migration background","East Germany","","","","","10"
"10 Completely satisfied","1989","direct migration background","East Germany","","","","","10"
"10 Completely satisfied","1989","indirect migration background","West Germany","37","0.22651788637495","0.173001035772705","0.280034736977196","10"
"10 Completely satisfied","1989","indirect migration background","East Germany","","","","","10"
"2 on Scale 1 to 10","1989","no migration background","West Germany","95","0.0145582672283156","0.0115691274283447","0.0175474070282866","2"
"2 on Scale 1 to 10","1989","no migration background","East Germany","","","","","2"
"2 on Scale 1 to 10","1989","direct migration background","West Germany","122","0.046512822278346","0.0377995669732546","0.0552260775834374","2"
"2 on Scale 1 to 10","1989","direct migration background","East Germany","","","","","2"
