"plh0164","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","Schleswig-Holstein","no migration background","1","","","","0"
"0 Completely dissatisfied","1989","Schleswig-Holstein","direct migration background","2","","","","0"
"0 Completely dissatisfied","1989","Schleswig-Holstein","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Hamburg","no migration background","1","","","","0"
"0 Completely dissatisfied","1989","Hamburg","direct migration background","2","","","","0"
"0 Completely dissatisfied","1989","Hamburg","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Lower Saxony","no migration background","2","","","","0"
"0 Completely dissatisfied","1989","Lower Saxony","direct migration background","6","","","","0"
"0 Completely dissatisfied","1989","Lower Saxony","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Bremen","no migration background","","","","","0"
"0 Completely dissatisfied","1989","Bremen","direct migration background","","","","","0"
"0 Completely dissatisfied","1989","Bremen","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","North Rhine-Westphalia","no migration background","9","","","","0"
"0 Completely dissatisfied","1989","North Rhine-Westphalia","direct migration background","25","","","","0"
"0 Completely dissatisfied","1989","North Rhine-Westphalia","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Hesse","no migration background","6","","","","0"
"0 Completely dissatisfied","1989","Hesse","direct migration background","19","","","","0"
"0 Completely dissatisfied","1989","Hesse","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Rhineland-Palatinate,Saarland","no migration background","10","","","","0"
"0 Completely dissatisfied","1989","Rhineland-Palatinate,Saarland","direct migration background","3","","","","0"
"0 Completely dissatisfied","1989","Rhineland-Palatinate,Saarland","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Baden-Württemberg","no migration background","11","","","","0"
"0 Completely dissatisfied","1989","Baden-Württemberg","direct migration background","19","","","","0"
"0 Completely dissatisfied","1989","Baden-Württemberg","indirect migration background","3","","","","0"
"0 Completely dissatisfied","1989","Bavaria","no migration background","8","","","","0"
"0 Completely dissatisfied","1989","Bavaria","direct migration background","10","","","","0"
"0 Completely dissatisfied","1989","Bavaria","indirect migration background","1","","","","0"
"0 Completely dissatisfied","1989","Berlin","no migration background","6","","","","0"
"0 Completely dissatisfied","1989","Berlin","direct migration background","8","","","","0"
"0 Completely dissatisfied","1989","Berlin","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Brandenburg","no migration background","","","","","0"
"0 Completely dissatisfied","1989","Brandenburg","direct migration background","","","","","0"
"0 Completely dissatisfied","1989","Brandenburg","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Mecklenburg-Western Pomerania","no migration background","","","","","0"
"0 Completely dissatisfied","1989","Mecklenburg-Western Pomerania","direct migration background","","","","","0"
"0 Completely dissatisfied","1989","Mecklenburg-Western Pomerania","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Saxony","no migration background","","","","","0"
"0 Completely dissatisfied","1989","Saxony","direct migration background","","","","","0"
"0 Completely dissatisfied","1989","Saxony","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Saxony-Anhalt","no migration background","","","","","0"
"0 Completely dissatisfied","1989","Saxony-Anhalt","direct migration background","","","","","0"
"0 Completely dissatisfied","1989","Saxony-Anhalt","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","Thuringia","no migration background","","","","","0"
"0 Completely dissatisfied","1989","Thuringia","direct migration background","","","","","0"
"0 Completely dissatisfied","1989","Thuringia","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1989","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"1 on Scale 1 to 10","1989","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"1 on Scale 1 to 10","1989","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Lower Saxony","direct migration background","1","","","","1"
"1 on Scale 1 to 10","1989","Lower Saxony","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Bremen","no migration background","","","","","1"
"1 on Scale 1 to 10","1989","Bremen","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","North Rhine-Westphalia","no migration background","6","","","","1"
"1 on Scale 1 to 10","1989","North Rhine-Westphalia","indirect migration background","2","","","","1"
"1 on Scale 1 to 10","1989","Baden-Württemberg","indirect migration background","1","","","","1"
"1 on Scale 1 to 10","1989","Bavaria","no migration background","7","","","","1"
"1 on Scale 1 to 10","1989","Bavaria","direct migration background","4","","","","1"
"1 on Scale 1 to 10","1989","Berlin","no migration background","","","","","1"
"1 on Scale 1 to 10","1989","Berlin","direct migration background","3","","","","1"
"1 on Scale 1 to 10","1989","Berlin","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Brandenburg","no migration background","","","","","1"
"1 on Scale 1 to 10","1989","Brandenburg","direct migration background","","","","","1"
"1 on Scale 1 to 10","1989","Brandenburg","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Bavaria","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Schleswig-Holstein","direct migration background","3","","","","1"
"1 on Scale 1 to 10","1989","Schleswig-Holstein","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Hamburg","no migration background","2","","","","1"
"1 on Scale 1 to 10","1989","Hamburg","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Lower Saxony","no migration background","4","","","","1"
"1 on Scale 1 to 10","1989","Bremen","direct migration background","","","","","1"
"1 on Scale 1 to 10","1989","North Rhine-Westphalia","direct migration background","19","","","","1"
"1 on Scale 1 to 10","1989","Schleswig-Holstein","no migration background","","","","","1"
"1 on Scale 1 to 10","1989","Hamburg","direct migration background","2","","","","1"
"1 on Scale 1 to 10","1989","Hesse","no migration background","","","","","1"
"1 on Scale 1 to 10","1989","Hesse","direct migration background","8","","","","1"
"1 on Scale 1 to 10","1989","Hesse","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Rhineland-Palatinate,Saarland","no migration background","11","","","","1"
"1 on Scale 1 to 10","1989","Rhineland-Palatinate,Saarland","direct migration background","4","","","","1"
"1 on Scale 1 to 10","1989","Rhineland-Palatinate,Saarland","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Baden-Württemberg","no migration background","6","","","","1"
"1 on Scale 1 to 10","1989","Baden-Württemberg","direct migration background","27","","","","1"
"1 on Scale 1 to 10","1989","Saxony","no migration background","","","","","1"
"1 on Scale 1 to 10","1989","Saxony","direct migration background","","","","","1"
"1 on Scale 1 to 10","1989","Saxony","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Saxony-Anhalt","no migration background","","","","","1"
"1 on Scale 1 to 10","1989","Saxony-Anhalt","direct migration background","","","","","1"
"1 on Scale 1 to 10","1989","Saxony-Anhalt","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","Thuringia","no migration background","","","","","1"
"1 on Scale 1 to 10","1989","Thuringia","direct migration background","","","","","1"
"1 on Scale 1 to 10","1989","Thuringia","indirect migration background","","","","","1"
"10 Completely satisfied","1989","Schleswig-Holstein","no migration background","55","0.223335822979792","0.169275765981995","0.277395879977589","10"
"10 Completely satisfied","1989","Schleswig-Holstein","direct migration background","2","","","","10"
"10 Completely satisfied","1989","Schleswig-Holstein","indirect migration background","","","","","10"
"10 Completely satisfied","1989","Hamburg","no migration background","27","","","","10"
"10 Completely satisfied","1989","Hamburg","direct migration background","2","","","","10"
"10 Completely satisfied","1989","Hamburg","indirect migration background","2","","","","10"
"10 Completely satisfied","1989","Lower Saxony","no migration background","101","0.135159316425974","0.111135093919668","0.15918353893228","10"
"10 Completely satisfied","1989","Lower Saxony","direct migration background","12","","","","10"
"10 Completely satisfied","1989","Lower Saxony","indirect migration background","1","","","","10"
"10 Completely satisfied","1989","Bremen","no migration background","17","","","","10"
"10 Completely satisfied","1989","Bremen","direct migration background","3","","","","10"
"10 Completely satisfied","1989","Bremen","indirect migration background","","","","","10"
"10 Completely satisfied","1989","North Rhine-Westphalia","no migration background","258","0.14757272911521","0.13075234613613","0.16439311209429","10"
"10 Completely satisfied","1989","North Rhine-Westphalia","direct migration background","48","0.0948341786760885","0.0711528565671699","0.118515500785007","10"
"10 Completely satisfied","1989","North Rhine-Westphalia","indirect migration background","12","","","","10"
"10 Completely satisfied","1989","Hesse","no migration background","98","0.188047196731377","0.156136545017423","0.219957848445331","10"
"10 Completely satisfied","1989","Hesse","direct migration background","47","0.183669817222941","0.142928489545561","0.224411144900322","10"
"10 Completely satisfied","1989","Hesse","indirect migration background","4","","","","10"
"10 Completely satisfied","1989","Rhineland-Palatinate,Saarland","no migration background","64","0.130146997703179","0.10083044890312","0.159463546503238","10"
"10 Completely satisfied","1989","Rhineland-Palatinate,Saarland","direct migration background","16","","","","10"
"10 Completely satisfied","1989","Rhineland-Palatinate,Saarland","indirect migration background","1","","","","10"
"10 Completely satisfied","1989","Baden-Württemberg","no migration background","104","0.122829454736474","0.100891701486362","0.144767207986587","10"
"10 Completely satisfied","1989","Baden-Württemberg","direct migration background","46","0.116810334112522","0.0909149729176864","0.142705695307357","10"
"10 Completely satisfied","1989","Baden-Württemberg","indirect migration background","6","","","","10"
"10 Completely satisfied","1989","Bavaria","no migration background","138","0.128103159953932","0.108171260556469","0.148035059351395","10"
"10 Completely satisfied","1989","Bavaria","direct migration background","31","0.122743648145577","0.0848457938783582","0.160641502412795","10"
"10 Completely satisfied","1989","Bavaria","indirect migration background","8","","","","10"
"10 Completely satisfied","1989","Berlin","no migration background","36","0.155401753858634","0.107087613012604","0.203715894704664","10"
"10 Completely satisfied","1989","Berlin","direct migration background","8","","","","10"
"10 Completely satisfied","1989","Berlin","indirect migration background","3","","","","10"
"10 Completely satisfied","1989","Brandenburg","no migration background","","","","","10"
"10 Completely satisfied","1989","Brandenburg","direct migration background","","","","","10"
"10 Completely satisfied","1989","Brandenburg","indirect migration background","","","","","10"
"10 Completely satisfied","1989","Mecklenburg-Western Pomerania","no migration background","","","","","10"
"10 Completely satisfied","1989","Mecklenburg-Western Pomerania","direct migration background","","","","","10"
"10 Completely satisfied","1989","Mecklenburg-Western Pomerania","indirect migration background","","","","","10"
"10 Completely satisfied","1989","Saxony","no migration background","","","","","10"
"10 Completely satisfied","1989","Saxony","direct migration background","","","","","10"
"10 Completely satisfied","1989","Saxony","indirect migration background","","","","","10"
"10 Completely satisfied","1989","Saxony-Anhalt","no migration background","","","","","10"
"10 Completely satisfied","1989","Saxony-Anhalt","direct migration background","","","","","10"
"10 Completely satisfied","1989","Saxony-Anhalt","indirect migration background","","","","","10"
"10 Completely satisfied","1989","Thuringia","no migration background","","","","","10"
"10 Completely satisfied","1989","Thuringia","direct migration background","","","","","10"
"10 Completely satisfied","1989","Thuringia","indirect migration background","","","","","10"
"2 on Scale 1 to 10","1989","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"2 on Scale 1 to 10","1989","Brandenburg","direct migration background","","","","","2"
"2 on Scale 1 to 10","1989","Brandenburg","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1989","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1989","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"2 on Scale 1 to 10","1989","Saxony-Anhalt","no migration background","","","","","2"
"2 on Scale 1 to 10","1989","Bavaria","no migration background","18","","","","2"
"2 on Scale 1 to 10","1989","Bavaria","direct migration background","11","","","","2"
"2 on Scale 1 to 10","1989","Berlin","direct migration background","7","","","","2"
"2 on Scale 1 to 10","1989","Berlin","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1989","Saxony","no migration background","","","","","2"
"2 on Scale 1 to 10","1989","Saxony","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1989","Saxony-Anhalt","direct migration background","","","","","2"
"2 on Scale 1 to 10","1989","Saxony-Anhalt","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1989","Thuringia","no migration background","","","","","2"
