"plh0164","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","1-pers.-HH","in school","","","","","0"
"0 Completely dissatisfied","1989","1-pers.-HH","inadequately","","","","","0"
"0 Completely dissatisfied","1989","1-pers.-HH","general elemantary","2","","","","0"
"0 Completely dissatisfied","1989","1-pers.-HH","middle vocational","5","","","","0"
"0 Completely dissatisfied","1989","1-pers.-HH","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1989","1-pers.-HH","higher vocational","","","","","0"
"0 Completely dissatisfied","1989","1-pers.-HH","higher education","","","","","0"
"0 Completely dissatisfied","1989","(Married) couple without C. ","in school","","","","","0"
"0 Completely dissatisfied","1989","(Married) couple without C. ","inadequately","1","","","","0"
"0 Completely dissatisfied","1989","(Married) couple without C. ","general elemantary","11","","","","0"
"0 Completely dissatisfied","1989","(Married) couple without C. ","middle vocational","6","","","","0"
"0 Completely dissatisfied","1989","(Married) couple without C. ","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1989","(Married) couple without C. ","higher vocational","1","","","","0"
"0 Completely dissatisfied","1989","(Married) couple without C. ","higher education","","","","","0"
"0 Completely dissatisfied","1989","Single parent ","in school","1","","","","0"
"0 Completely dissatisfied","1989","Single parent ","inadequately","5","","","","0"
"0 Completely dissatisfied","1989","Single parent ","general elemantary","2","","","","0"
"0 Completely dissatisfied","1989","Single parent ","middle vocational","2","","","","0"
"0 Completely dissatisfied","1989","Single parent ","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1989","Single parent ","higher vocational","1","","","","0"
"0 Completely dissatisfied","1989","Single parent ","higher education","","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE 16 ","in school","","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE 16 ","inadequately","10","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE 16 ","general elemantary","12","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE 16 ","middle vocational","12","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE 16 ","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE 16 ","higher vocational","","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE 16 ","higher education","1","","","","0"
"0 Completely dissatisfied","1989","Couple + C. GT 16 ","in school","","","","","0"
"0 Completely dissatisfied","1989","Couple + C. GT 16 ","inadequately","8","","","","0"
"0 Completely dissatisfied","1989","Couple + C. GT 16 ","general elemantary","16","","","","0"
"0 Completely dissatisfied","1989","Couple + C. GT 16 ","middle vocational","5","","","","0"
"0 Completely dissatisfied","1989","Couple + C. GT 16 ","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1989","Couple + C. GT 16 ","higher vocational","","","","","0"
"0 Completely dissatisfied","1989","Couple + C. GT 16 ","higher education","","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE and GT 16","in school","","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE and GT 16","inadequately","7","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE and GT 16","general elemantary","8","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE and GT 16","middle vocational","2","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE and GT 16","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE and GT 16","higher vocational","","","","","0"
"0 Completely dissatisfied","1989","Couple + C. LE and GT 16","higher education","","","","","0"
"1 on Scale 1 to 10","1989","Couple + C. GT 16 ","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1989","(Married) couple without C. ","higher education","","","","","1"
"1 on Scale 1 to 10","1989","Couple + C. GT 16 ","higher education","","","","","1"
