"plh0164","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","16-34 y.","no migration background","21","","","","0"
"0 Completely dissatisfied","1989","16-34 y.","direct migration background","26","","","","0"
"0 Completely dissatisfied","1989","16-34 y.","indirect migration background","4","","","","0"
"0 Completely dissatisfied","1989","35-65 y.","no migration background","26","","","","0"
"0 Completely dissatisfied","1989","35-65 y.","direct migration background","65","0.0315678395215845","0.0222131610529902","0.0409225179901788","0"
"0 Completely dissatisfied","1989","35-65 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1989","66 and older","no migration background","7","","","","0"
"0 Completely dissatisfied","1989","66 and older","direct migration background","3","","","","0"
"0 Completely dissatisfied","1989","66 and older","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1989","66 and older","direct migration background","1","","","","1"
"1 on Scale 1 to 10","1989","66 and older","no migration background","4","","","","1"
"1 on Scale 1 to 10","1989","66 and older","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1989","16-34 y.","no migration background","17","","","","1"
"1 on Scale 1 to 10","1989","16-34 y.","direct migration background","10","","","","1"
"1 on Scale 1 to 10","1989","16-34 y.","indirect migration background","3","","","","1"
"1 on Scale 1 to 10","1989","35-65 y.","no migration background","15","","","","1"
"1 on Scale 1 to 10","1989","35-65 y.","direct migration background","60","0.0247764105123739","0.016459861983814","0.0330929590409339","1"
"1 on Scale 1 to 10","1989","35-65 y.","indirect migration background","","","","","1"
"10 Completely satisfied","1989","16-34 y.","indirect migration background","36","0.26497411059741","0.205707331064103","0.324240890130717","10"
"10 Completely satisfied","1989","35-65 y.","indirect migration background","1","","","","10"
"10 Completely satisfied","1989","16-34 y.","direct migration background","85","0.11508800011336","0.0935708474863298","0.136605152740391","10"
"10 Completely satisfied","1989","35-65 y.","direct migration background","117","0.110902204861468","0.0941019182824524","0.127702491440483","10"
