"plh0164","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","Not Employed","in school","1","","","","0"
"0 Completely dissatisfied","1989","Not Employed","inadequately","28","","","","0"
"0 Completely dissatisfied","1989","Not Employed","general elemantary","20","","","","0"
"0 Completely dissatisfied","1989","Not Employed","middle vocational","15","","","","0"
"0 Completely dissatisfied","1989","Not Employed","vocational + Abi","3","","","","0"
"0 Completely dissatisfied","1989","Not Employed","higher vocational","","","","","0"
"0 Completely dissatisfied","1989","Not Employed","higher education","","","","","0"
"0 Completely dissatisfied","1989","Employed","in school","","","","","0"
"0 Completely dissatisfied","1989","Employed","inadequately","17","","","","0"
"0 Completely dissatisfied","1989","Employed","general elemantary","42","0.0273402805000983","0.0184171609571407","0.0362634000430559","0"
"0 Completely dissatisfied","1989","Employed","middle vocational","20","","","","0"
"0 Completely dissatisfied","1989","Employed","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1989","Employed","higher vocational","2","","","","0"
"0 Completely dissatisfied","1989","Employed","higher education","1","","","","0"
"1 on Scale 1 to 10","1989","Not Employed","higher education","","","","","1"
"1 on Scale 1 to 10","1989","Employed","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1989","Employed","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1989","Employed","middle vocational","17","","","","1"
"1 on Scale 1 to 10","1989","Employed","higher education","","","","","1"
"1 on Scale 1 to 10","1989","Not Employed","in school","1","","","","1"
"1 on Scale 1 to 10","1989","Not Employed","inadequately","22","","","","1"
"1 on Scale 1 to 10","1989","Not Employed","general elemantary","18","","","","1"
"1 on Scale 1 to 10","1989","Not Employed","middle vocational","5","","","","1"
"1 on Scale 1 to 10","1989","Not Employed","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1989","Not Employed","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1989","Employed","in school","","","","","1"
"1 on Scale 1 to 10","1989","Employed","inadequately","18","","","","1"
"1 on Scale 1 to 10","1989","Employed","general elemantary","26","","","","1"
"10 Completely satisfied","1989","Not Employed","in school","27","","","","10"
"10 Completely satisfied","1989","Not Employed","inadequately","9","","","","10"
"10 Completely satisfied","1989","Not Employed","middle vocational","161","0.143201993848259","0.12393739426651","0.162466593430009","10"
"10 Completely satisfied","1989","Not Employed","vocational + Abi","12","","","","10"
"10 Completely satisfied","1989","Not Employed","higher vocational","31","0.271354863802546","0.192772990876034","0.349936736729058","10"
"10 Completely satisfied","1989","Not Employed","higher education","39","0.345779154267094","0.260681211551647","0.430877096982542","10"
"10 Completely satisfied","1989","Employed","in school","2","","","","10"
"10 Completely satisfied","1989","Employed","inadequately","22","","","","10"
"10 Completely satisfied","1989","Employed","general elemantary","121","0.0972287596019858","0.0810173420048559","0.113440177199116","10"
"10 Completely satisfied","1989","Employed","middle vocational","342","0.118095756575144","0.106313486721445","0.129878026428843","10"
"10 Completely satisfied","1989","Employed","vocational + Abi","37","0.182730258650338","0.128490377436263","0.236970139864413","10"
"10 Completely satisfied","1989","Employed","higher vocational","51","0.143174315952041","0.10648050108671","0.179868130817373","10"
"10 Completely satisfied","1989","Employed","higher education","151","0.281143325238618","0.243400458534792","0.318886191942444","10"
"10 Completely satisfied","1989","Not Employed","general elemantary","133","0.134298403674158","0.112684227884124","0.155912579464192","10"
"2 on Scale 1 to 10","1989","Employed","middle vocational","41","0.0158232117068342","0.0112671984281246","0.0203792249855438","2"
"2 on Scale 1 to 10","1989","Employed","higher education","6","","","","2"
"2 on Scale 1 to 10","1989","Not Employed","in school","2","","","","2"
"2 on Scale 1 to 10","1989","Not Employed","higher vocational","1","","","","2"
"2 on Scale 1 to 10","1989","Employed","in school","","","","","2"
"2 on Scale 1 to 10","1989","Employed","inadequately","29","","","","2"
"2 on Scale 1 to 10","1989","Not Employed","vocational + Abi","1","","","","2"
"2 on Scale 1 to 10","1989","Employed","vocational + Abi","2","","","","2"
"2 on Scale 1 to 10","1989","Not Employed","inadequately","28","","","","2"
"2 on Scale 1 to 10","1989","Employed","higher vocational","3","","","","2"
"2 on Scale 1 to 10","1989","Not Employed","general elemantary","28","","","","2"
"2 on Scale 1 to 10","1989","Not Employed","middle vocational","16","","","","2"
"2 on Scale 1 to 10","1989","Not Employed","higher education","","","","","2"
"2 on Scale 1 to 10","1989","Employed","general elemantary","52","0.031154256102288","0.021647753453211","0.040660758751365","2"
"3 on Scale 1 to 10","1989","Not Employed","inadequately","35","0.139611737523451","0.095854713806835","0.183368761240067","3"
"3 on Scale 1 to 10","1989","Employed","inadequately","34","0.117903196599253","0.0818873484287159","0.15391904476979","3"
"3 on Scale 1 to 10","1989","Employed","general elemantary","86","0.0719530732926767","0.0578132362134546","0.0860929103718989","3"
"3 on Scale 1 to 10","1989","Employed","middle vocational","89","0.0258325493893161","0.0200409095844114","0.0316241891942208","3"
"3 on Scale 1 to 10","1989","Not Employed","in school","3","","","","3"
"3 on Scale 1 to 10","1989","Not Employed","general elemantary","74","0.0718396939650911","0.0554710434086118","0.0882083445215704","3"
"3 on Scale 1 to 10","1989","Not Employed","middle vocational","42","0.0336554772050438","0.0237371118575831","0.0435738425525044","3"
"3 on Scale 1 to 10","1989","Not Employed","vocational + Abi","3","","","","3"
