"plh0164","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","in school","West Germany","1","","","","0"
"0 Completely dissatisfied","1989","in school","East Germany","","","","","0"
"0 Completely dissatisfied","1989","inadequately","West Germany","45","0.0580043158452588","0.0384511749519687","0.0775574567385488","0"
"0 Completely dissatisfied","1989","inadequately","East Germany","","","","","0"
"0 Completely dissatisfied","1989","general elemantary","West Germany","62","0.0222843341921218","0.0161703098624844","0.0283983585217593","0"
"0 Completely dissatisfied","1989","general elemantary","East Germany","","","","","0"
"0 Completely dissatisfied","1989","middle vocational","West Germany","35","0.00558634886597595","0.00331926814222617","0.00785342958972573","0"
"0 Completely dissatisfied","1989","middle vocational","East Germany","","","","","0"
"0 Completely dissatisfied","1989","vocational + Abi","West Germany","4","","","","0"
"0 Completely dissatisfied","1989","vocational + Abi","East Germany","","","","","0"
"0 Completely dissatisfied","1989","higher vocational","West Germany","2","","","","0"
"0 Completely dissatisfied","1989","higher vocational","East Germany","","","","","0"
"0 Completely dissatisfied","1989","higher education","West Germany","1","","","","0"
"0 Completely dissatisfied","1989","higher education","East Germany","","","","","0"
"1 on Scale 1 to 10","1989","middle vocational","West Germany","22","","","","1"
"1 on Scale 1 to 10","1989","higher vocational","East Germany","","","","","1"
"1 on Scale 1 to 10","1989","higher education","West Germany","","","","","1"
"1 on Scale 1 to 10","1989","higher vocational","West Germany","2","","","","1"
"1 on Scale 1 to 10","1989","higher education","East Germany","","","","","1"
"1 on Scale 1 to 10","1989","in school","West Germany","1","","","","1"
"1 on Scale 1 to 10","1989","in school","East Germany","","","","","1"
"1 on Scale 1 to 10","1989","inadequately","West Germany","40","0.0628729010130974","0.0425683721455519","0.083177429880643","1"
"1 on Scale 1 to 10","1989","inadequately","East Germany","","","","","1"
"1 on Scale 1 to 10","1989","general elemantary","West Germany","44","0.0110268235274489","0.00670130165299302","0.0153523454019048","1"
"1 on Scale 1 to 10","1989","general elemantary","East Germany","","","","","1"
"1 on Scale 1 to 10","1989","middle vocational","East Germany","","","","","1"
"1 on Scale 1 to 10","1989","vocational + Abi","West Germany","","","","","1"
"1 on Scale 1 to 10","1989","vocational + Abi","East Germany","","","","","1"
"10 Completely satisfied","1989","in school","West Germany","29","","","","10"
"10 Completely satisfied","1989","in school","East Germany","","","","","10"
"10 Completely satisfied","1989","inadequately","East Germany","","","","","10"
"10 Completely satisfied","1989","general elemantary","West Germany","254","0.116961389468518","0.10364973149668","0.130273047440356","10"
"10 Completely satisfied","1989","general elemantary","East Germany","","","","","10"
"10 Completely satisfied","1989","middle vocational","West Germany","503","0.127071652889607","0.116941102139444","0.137202203639769","10"
"10 Completely satisfied","1989","middle vocational","East Germany","","","","","10"
"10 Completely satisfied","1989","vocational + Abi","West Germany","49","0.186401780216033","0.139602702390904","0.233200858041162","10"
"10 Completely satisfied","1989","vocational + Abi","East Germany","","","","","10"
"10 Completely satisfied","1989","higher vocational","West Germany","82","0.181515569994215","0.146779580587534","0.216251559400895","10"
"10 Completely satisfied","1989","higher vocational","East Germany","","","","","10"
"10 Completely satisfied","1989","higher education","West Germany","190","0.295431894037731","0.260756017524086","0.330107770551376","10"
"10 Completely satisfied","1989","higher education","East Germany","","","","","10"
"10 Completely satisfied","1989","inadequately","West Germany","31","0.0755306274302623","0.0534266856091696","0.097634569251355","10"
"2 on Scale 1 to 10","1989","higher vocational","West Germany","4","","","","2"
"2 on Scale 1 to 10","1989","higher education","East Germany","","","","","2"
"2 on Scale 1 to 10","1989","in school","West Germany","2","","","","2"
"2 on Scale 1 to 10","1989","general elemantary","East Germany","","","","","2"
"2 on Scale 1 to 10","1989","middle vocational","East Germany","","","","","2"
"2 on Scale 1 to 10","1989","vocational + Abi","West Germany","3","","","","2"
"2 on Scale 1 to 10","1989","general elemantary","West Germany","80","0.028098851265453","0.021253805207602","0.0349438973233041","2"
"2 on Scale 1 to 10","1989","higher vocational","East Germany","","","","","2"
"2 on Scale 1 to 10","1989","in school","East Germany","","","","","2"
"2 on Scale 1 to 10","1989","higher education","West Germany","6","","","","2"
"2 on Scale 1 to 10","1989","inadequately","West Germany","57","0.097225172154089","0.0724429069761418","0.122007437332036","2"
"2 on Scale 1 to 10","1989","inadequately","East Germany","","","","","2"
"2 on Scale 1 to 10","1989","middle vocational","West Germany","57","0.0134485518742589","0.009944931452746","0.0169521722957719","2"
"2 on Scale 1 to 10","1989","vocational + Abi","East Germany","","","","","2"
"3 on Scale 1 to 10","1989","in school","East Germany","","","","","3"
"3 on Scale 1 to 10","1989","vocational + Abi","West Germany","6","","","","3"
"3 on Scale 1 to 10","1989","vocational + Abi","East Germany","","","","","3"
"3 on Scale 1 to 10","1989","higher vocational","West Germany","10","","","","3"
"3 on Scale 1 to 10","1989","in school","West Germany","4","","","","3"
"3 on Scale 1 to 10","1989","inadequately","West Germany","69","0.12842580769226","0.100439844878341","0.156411770506179","3"
"3 on Scale 1 to 10","1989","inadequately","East Germany","","","","","3"
"3 on Scale 1 to 10","1989","general elemantary","West Germany","160","0.0718927200747875","0.0611932420373839","0.0825921981121912","3"
"3 on Scale 1 to 10","1989","middle vocational","West Germany","131","0.0286293758585971","0.0235569250800701","0.033701826637124","3"
"3 on Scale 1 to 10","1989","middle vocational","East Germany","","","","","3"
"3 on Scale 1 to 10","1989","general elemantary","East Germany","","","","","3"
"3 on Scale 1 to 10","1989","higher vocational","East Germany","","","","","3"
"3 on Scale 1 to 10","1989","higher education","West Germany","6","","","","3"
"3 on Scale 1 to 10","1989","higher education","East Germany","","","","","3"
"4 on Scale 1 to 10","1989","general elemantary","East Germany","","","","","4"
"4 on Scale 1 to 10","1989","higher education","West Germany","7","","","","4"
"4 on Scale 1 to 10","1989","higher vocational","East Germany","","","","","4"
"4 on Scale 1 to 10","1989","inadequately","West Germany","57","0.0829299590322064","0.0598614833995851","0.105998434664828","4"
"4 on Scale 1 to 10","1989","inadequately","East Germany","","","","","4"
"4 on Scale 1 to 10","1989","general elemantary","West Germany","162","0.0695125277935185","0.0589781752052123","0.0800468803818247","4"
"4 on Scale 1 to 10","1989","middle vocational","East Germany","","","","","4"
"4 on Scale 1 to 10","1989","in school","East Germany","","","","","4"
"4 on Scale 1 to 10","1989","higher vocational","West Germany","11","","","","4"
"4 on Scale 1 to 10","1989","middle vocational","West Germany","164","0.0395580887689461","0.033629209311694","0.0454869682261981","4"
"4 on Scale 1 to 10","1989","in school","West Germany","5","","","","4"
"4 on Scale 1 to 10","1989","vocational + Abi","West Germany","5","","","","4"
"4 on Scale 1 to 10","1989","vocational + Abi","East Germany","","","","","4"
"4 on Scale 1 to 10","1989","higher education","East Germany","","","","","4"
"5 on Scale 1 to 10","1989","general elemantary","East Germany","","","","","5"
"5 on Scale 1 to 10","1989","higher education","East Germany","","","","","5"
"5 on Scale 1 to 10","1989","middle vocational","West Germany","657","0.162147910392199","0.150936538073563","0.173359282710835","5"
"5 on Scale 1 to 10","1989","middle vocational","East Germany","","","","","5"
"5 on Scale 1 to 10","1989","higher education","West Germany","29","","","","5"
"5 on Scale 1 to 10","1989","in school","West Germany","13","","","","5"
"5 on Scale 1 to 10","1989","in school","East Germany","","","","","5"
"5 on Scale 1 to 10","1989","inadequately","West Germany","100","0.199601059175382","0.166166423733409","0.233035694617355","5"
