"ple0162","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2012","no migration background","West Germany","386","0.0595578720778996","0.05343218411075","0.0656835600450493","2"
"No","2012","direct migration background","West Germany","57","0.0627134353037219","0.0462787480603365","0.0791481225471073","2"
"No","2012","no migration background","East Germany","125","0.0479175894976296","0.0390366110538821","0.056798567941377","2"
"No","2012","direct migration background","East Germany","","","","","2"
"No","2012","indirect migration background","West Germany","22","","","","2"
"No","2012","indirect migration background","East Germany","4","","","","2"
"Yes","2012","no migration background","West Germany","5348","0.9404421279221","0.934316439954951","0.94656781588925","1"
"Yes","2012","no migration background","East Germany","2097","0.952082410502371","0.943201432058623","0.960963388946118","1"
"Yes","2012","direct migration background","West Germany","779","0.937286564696278","0.920851877452893","0.953721251939663","1"
"Yes","2012","direct migration background","East Germany","58","1","1","1","1"
"Yes","2012","indirect migration background","West Germany","227","0.910056141717449","0.874520164184377","0.94559211925052","1"
"Yes","2012","indirect migration background","East Germany","18","","","","1"
"No","2013","no migration background","West Germany","326","0.0585100181478939","0.0521672594880263","0.0648527768077616","2"
"No","2013","direct migration background","West Germany","118","0.0552254400129389","0.0436544404146958","0.0667964396111819","2"
"No","2013","no migration background","East Germany","108","0.0431123043079678","0.034239573476654","0.0519850351392816","2"
"No","2013","direct migration background","East Germany","6","","","","2"
"No","2013","indirect migration background","West Germany","27","","","","2"
"No","2013","indirect migration background","East Germany","3","","","","2"
"Yes","2013","no migration background","West Germany","4934","0.941489981852106","0.935147223192238","0.947832740511974","1"
"Yes","2013","no migration background","East Germany","1905","0.956887695692032","0.948014964860718","0.965760426523346","1"
"Yes","2013","direct migration background","West Germany","1379","0.944774559987061","0.933203560388818","0.956345559585304","1"
"Yes","2013","direct migration background","East Germany","108","0.972752884796532","0.94286761416253","1.00263815543053","1"
"Yes","2013","indirect migration background","West Germany","312","0.933849195310181","0.907391367717941","0.96030702290242","1"
"Yes","2013","indirect migration background","East Germany","16","","","","1"
"No","2014","no migration background","West Germany","","","","","2"
"No","2014","no migration background","East Germany","","","","","2"
"No","2014","direct migration background","West Germany","","","","","2"
"No","2014","direct migration background","East Germany","","","","","2"
"No","2014","indirect migration background","West Germany","","","","","2"
"No","2014","indirect migration background","East Germany","","","","","2"
"Yes","2014","no migration background","West Germany","","","","","1"
"Yes","2014","direct migration background","West Germany","","","","","1"
"Yes","2014","direct migration background","East Germany","","","","","1"
"Yes","2014","no migration background","East Germany","","","","","1"
"Yes","2014","indirect migration background","West Germany","","","","","1"
"Yes","2014","indirect migration background","East Germany","","","","","1"
"No","2015","no migration background","West Germany","487","0.0944646180017644","0.0863561788203906","0.102573057183138","2"
"No","2015","no migration background","East Germany","158","0.0958234802280283","0.0827723418701148","0.108874618585942","2"
"No","2015","direct migration background","West Germany","125","0.109104677802814","0.0925955993136049","0.125613756292024","2"
"No","2015","direct migration background","East Germany","7","","","","2"
"No","2015","indirect migration background","West Germany","37","0.133483616520165","0.0949344610159237","0.172032772024406","2"
"No","2015","indirect migration background","East Germany","3","","","","2"
"Yes","2015","no migration background","West Germany","4511","0.905535381998236","0.897426942816862","0.913643821179609","1"
"Yes","2015","no migration background","East Germany","1796","0.904176519771972","0.891125381414058","0.917227658129885","1"
"Yes","2015","direct migration background","West Germany","1245","0.890895322197186","0.874386243707976","0.907404400686395","1"
"Yes","2015","direct migration background","East Germany","96","0.887473630207893","0.826444896105531","0.948502364310255","1"
"Yes","2015","indirect migration background","West Germany","262","0.866516383479835","0.827967227975594","0.905065538984076","1"
"Yes","2015","indirect migration background","East Germany","21","","","","1"
"No","2016","no migration background","West Germany","","","","","2"
"No","2016","no migration background","East Germany","","","","","2"
"No","2016","direct migration background","West Germany","159","0.219045296877566","0.189062696844357","0.249027896910775","2"
"No","2016","direct migration background","East Germany","37","0.254338274769197","0.191921104750738","0.316755444787656","2"
"No","2016","indirect migration background","West Germany","","","","","2"
"No","2016","indirect migration background","East Germany","","","","","2"
"Yes","2016","no migration background","West Germany","","","","","1"
"Yes","2016","no migration background","East Germany","","","","","1"
"Yes","2016","direct migration background","West Germany","572","0.780954703122434","0.750972103089225","0.810937303155643","1"
"Yes","2016","direct migration background","East Germany","150","0.745661725230803","0.683244555212344","0.808078895249262","1"
"Yes","2016","indirect migration background","West Germany","","","","","1"
"Yes","2016","indirect migration background","East Germany","","","","","1"
"No","2017","no migration background","West Germany","263","0.046220626907175","0.0404078395133958","0.0520334143009542","2"
"No","2017","no migration background","East Germany","82","0.04165810372987","0.0326785899624364","0.0506376174973035","2"
"No","2017","indirect migration background","West Germany","29","","","","2"
"No","2017","direct migration background","West Germany","161","0.0743545496672507","0.0617531994591377","0.0869558998753637","2"
"No","2017","direct migration background","East Germany","25","","","","2"
"No","2017","indirect migration background","East Germany","2","","","","2"
"Yes","2017","no migration background","West Germany","4749","0.953779373092825","0.947966585699046","0.959592160486604","1"
"Yes","2017","no migration background","East Germany","1820","0.95834189627013","0.949362382502696","0.967321410037564","1"
"Yes","2017","direct migration background","West Germany","1504","0.925645450332749","0.913044100124636","0.938246800540862","1"
"Yes","2017","direct migration background","East Germany","142","0.889778620740207","0.842281885438422","0.937275356041992","1"
"Yes","2017","indirect migration background","West Germany","312","0.920566113798923","0.891864831593368","0.949267396004478","1"
"Yes","2017","indirect migration background","East Germany","17","","","","1"
"No","2018","no migration background","West Germany","","","","","2"
"No","2018","no migration background","East Germany","","","","","2"
"No","2018","direct migration background","West Germany","17","","","","2"
"No","2018","direct migration background","East Germany","4","","","","2"
"No","2018","indirect migration background","West Germany","","","","","2"
"No","2018","indirect migration background","East Germany","","","","","2"
"Yes","2018","no migration background","West Germany","","","","","1"
"Yes","2018","no migration background","East Germany","","","","","1"
"Yes","2018","direct migration background","West Germany","60","0.638922204044277","0.531640142488444","0.74620426560011","1"
"Yes","2018","indirect migration background","West Germany","","","","","1"
"Yes","2018","direct migration background","East Germany","6","","","","1"
"Yes","2018","indirect migration background","East Germany","","","","","1"
