"ple0040","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1984","lower secondary degree","no migration background","731","0.146202001429593","0.136797786210326","0.15560621664886"
"Yes","1984","lower secondary degree","direct migration background","36","0.109776722685614","0.0848253732482412","0.134728072122986"
"Yes","1984","lower secondary degree","indirect migration background","3","","",""
"Yes","1984","secondary school degree","no migration background","135","0.0888966410575497","0.0756681986053407","0.102125083509759"
"Yes","1984","secondary school degree","direct migration background","8","","",""
"Yes","1984","secondary school degree","indirect migration background","","","",""
"Yes","1984","college entrance qualification","no migration background","99","0.0967021579191081","0.0797015069859254","0.113702808852291"
"Yes","1984","college entrance qualification","direct migration background","3","","",""
"Yes","1984","college entrance qualification","indirect migration background","","","",""
"Yes","1984","Other degree","no migration background","11","","",""
"Yes","1984","Other degree","direct migration background","58","0.0488801048066389","0.0375815491031776","0.0601786605101002"
"Yes","1984","Other degree","indirect migration background","1","","",""
"Yes","1984","no degree/no degree yet","no migration background","16","","",""
"Yes","1984","no degree/no degree yet","direct migration background","54","0.0465476632065044","0.0338354755106836","0.0592598509023252"
"Yes","1984","no degree/no degree yet","indirect migration background","1","","",""
"No","1984","lower secondary degree","no migration background","4691","0.853797998570407","0.84439378335114","0.863202213789674"
"No","1984","lower secondary degree","direct migration background","567","0.890223277314386","0.865271927877014","0.915174626751759"
"No","1984","lower secondary degree","indirect migration background","66","0.871015483209456","0.791928451901646","0.950102514517267"
"No","1984","secondary school degree","no migration background","1643","0.91110335894245","0.897874916490241","0.924331801394659"
"No","1984","secondary school degree","direct migration background","137","0.906148858006248","0.858682747672582","0.953614968339913"
"No","1984","secondary school degree","indirect migration background","27","","",""
"No","1984","college entrance qualification","no migration background","1062","0.903297842080892","0.886297191147709","0.920298493014075"
"No","1984","college entrance qualification","direct migration background","117","0.973905142414936","0.945382269757123","1.00242801507275"
"No","1984","college entrance qualification","indirect migration background","8","","",""
"No","1984","Other degree","no migration background","26","","",""
"No","1984","Other degree","direct migration background","1341","0.951119895193361","0.9398213394899","0.962418450896822"
"No","1984","Other degree","indirect migration background","6","","",""
"No","1984","no degree/no degree yet","no migration background","210","0.924701615856211","0.89029931353631","0.959103918176112"
"No","1984","no degree/no degree yet","direct migration background","1001","0.953452336793496","0.940740149097675","0.966164524489316"
"No","1984","no degree/no degree yet","indirect migration background","13","","",""
"Yes","1985","lower secondary degree","no migration background","630","0.142919995589909","0.133009572757424","0.152830418422394"
"Yes","1985","lower secondary degree","direct migration background","38","0.12462606048079","0.0974152726851842","0.151836848276396"
"Yes","1985","lower secondary degree","indirect migration background","2","","",""
"Yes","1985","secondary school degree","no migration background","131","0.0898928675298428","0.076308180318572","0.103477554741114"
"Yes","1985","secondary school degree","direct migration background","9","","",""
"Yes","1985","secondary school degree","indirect migration background","","","",""
"Yes","1985","college entrance qualification","no migration background","91","0.0932973365238826","0.0761871923050811","0.110407480742684"
"Yes","1985","college entrance qualification","direct migration background","3","","",""
"Yes","1985","college entrance qualification","indirect migration background","","","",""
"Yes","1985","Other degree","no migration background","9","","",""
"Yes","1985","Other degree","direct migration background","47","0.0460563649241285","0.0340509871776419","0.058061742670615"
