"plh0206i06","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1-pers.-HH","50","0.0517812108662647","0.0394079799972398","0.0641544417352896"
"1 Strongly disagree","2005","lower secondary degree","(Married) couple without C. ","105","0.0391752022301061","0.0322187866425025","0.0461316178177097"
"1 Strongly disagree","2005","lower secondary degree","Single parent ","17","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE 16 ","35","0.0574503184209251","0.0424785724925223","0.0724220643493279"
"1 Strongly disagree","2005","lower secondary degree","Couple + C. GT 16 ","22","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE and GT 16","13","","",""
"1 Strongly disagree","2005","secondary school degree","1-pers.-HH","14","","",""
"1 Strongly disagree","2005","secondary school degree","(Married) couple without C. ","34","0.0233253306538302","0.0163506974034081","0.0302999639042524"
"1 Strongly disagree","2005","secondary school degree","Single parent ","6","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE 16 ","33","0.0263026194762778","0.0178066750109802","0.0347985639415753"
"1 Strongly disagree","2005","secondary school degree","Couple + C. GT 16 ","25","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE and GT 16","9","","",""
"1 Strongly disagree","2005","college entrance qualification","1-pers.-HH","10","","",""
"1 Strongly disagree","2005","college entrance qualification","(Married) couple without C. ","10","","",""
"1 Strongly disagree","2005","college entrance qualification","Single parent ","4","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE 16 ","9","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. GT 16 ","6","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE and GT 16","2","","",""
"1 Strongly disagree","2005","Other degree","1-pers.-HH","6","","",""
"1 Strongly disagree","2005","Other degree","(Married) couple without C. ","10","","",""
"1 Strongly disagree","2005","Other degree","Single parent ","1","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE 16 ","7","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. GT 16 ","9","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE and GT 16","2","","",""
