"plh0206i06","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","West Germany","289","0.0300222536521713","0.0269782650568761","0.0330662422474665"
"1 Strongly disagree","2005","Urban Area","East Germany","36","0.0254020910141918","0.0180449398096724","0.0327592422187112"
"1 Strongly disagree","2005","Rural Area","West Germany","81","0.0321624355412326","0.0263545817761258","0.0379702893063395"
"1 Strongly disagree","2005","Rural Area","East Germany","96","0.0356449304376974","0.0293009425442446","0.0419889183311502"
"2 on scale 1-7 ","2005","Urban Area","West Germany","343","0.0277448775621782","0.0248151852125046","0.0306745699118517"
"2 on scale 1-7 ","2005","Urban Area","East Germany","56","0.0279687863261272","0.020259057083451","0.0356785155688034"
"2 on scale 1-7 ","2005","Rural Area","West Germany","114","0.030557785791707","0.0248919774966952","0.0362235940867188"
"2 on scale 1-7 ","2005","Rural Area","East Germany","123","0.0438089086113069","0.0368056761971746","0.0508121410254391"
"3 on scale 1-7 ","2005","Urban Area","West Germany","672","0.0552056252906453","0.0511318149448167","0.0592794356364739"
"3 on scale 1-7 ","2005","Urban Area","East Germany","88","0.049116254777386","0.0390112029859726","0.0592213065687994"
"3 on scale 1-7 ","2005","Rural Area","West Germany","204","0.0564510534338441","0.0488537720183971","0.0640483348492911"
"3 on scale 1-7 ","2005","Rural Area","East Germany","190","0.064281492201969","0.0558895871697635","0.0726733972341745"
"4 on scale 1-7","2005","Urban Area","West Germany","1923","0.164949495073987","0.15832927605761","0.171569714090365"
"4 on scale 1-7","2005","Urban Area","East Germany","310","0.178019276811324","0.16013272837848","0.195905825244168"
"4 on scale 1-7","2005","Rural Area","West Germany","591","0.163626580592434","0.151448831836248","0.17580432934862"
"4 on scale 1-7","2005","Rural Area","East Germany","530","0.163084756655384","0.15044343739174","0.175726075919029"
"5 on scale 1-7","2005","Urban Area","West Germany","2713","0.221057269832464","0.213655328204661","0.228459211460268"
"5 on scale 1-7","2005","Urban Area","East Germany","420","0.224543299697503","0.205031782687135","0.244054816707871"
"5 on scale 1-7","2005","Rural Area","West Germany","809","0.218320993846254","0.204722151306089","0.23191983638642"
"5 on scale 1-7","2005","Rural Area","East Germany","679","0.205675471351365","0.191845056305843","0.219505886396888"
"6 on scale 1-7","2005","Urban Area","West Germany","3185","0.253609683690009","0.245848885236988","0.261370482143029"
"6 on scale 1-7","2005","Urban Area","East Germany","435","0.233922058208309","0.214128025784868","0.25371609063175"
"6 on scale 1-7","2005","Rural Area","West Germany","970","0.275829421815986","0.261117117350023","0.290541726281948"
"6 on scale 1-7","2005","Rural Area","East Germany","859","0.23287029045421","0.218408021976675","0.247332558931744"
"7 Strongly agree","2005","Urban Area","West Germany","2948","0.247410794898545","0.239713665186795","0.255107924610296"
"7 Strongly agree","2005","Urban Area","East Germany","412","0.261028233165158","0.240492043098087","0.28156442323223"
"7 Strongly agree","2005","Rural Area","West Germany","776","0.223051728978542","0.209347998118138","0.236755459838947"
"7 Strongly agree","2005","Rural Area","East Germany","804","0.254634150288067","0.239727226003115","0.26954107457302"
"1 Strongly disagree","2006","Urban Area","West Germany","","","",""
"1 Strongly disagree","2006","Urban Area","East Germany","","","",""
"1 Strongly disagree","2006","Rural Area","West Germany","","","",""
"1 Strongly disagree","2006","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2006","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2006","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2006","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2006","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2006","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2006","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2006","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2006","Rural Area","East Germany","","","",""
"4 on scale 1-7","2006","Urban Area","West Germany","","","",""
"4 on scale 1-7","2006","Urban Area","East Germany","","","",""
"4 on scale 1-7","2006","Rural Area","West Germany","","","",""
"4 on scale 1-7","2006","Rural Area","East Germany","","","",""
