"plh0206i06","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","in school","18","","","","1"
"1 Strongly disagree","2005","no migration background","inadequately","15","","","","1"
"1 Strongly disagree","2005","no migration background","general elemantary","84","0.0616484975730171","0.0500222060158901","0.073274789130144","1"
"1 Strongly disagree","2005","no migration background","middle vocational","231","0.0309832908337381","0.0274108474513374","0.0345557342161388","1"
"1 Strongly disagree","2005","no migration background","vocational + Abi","12","","","","1"
"1 Strongly disagree","2005","no migration background","higher vocational","35","0.0337383275133029","0.02422250895698","0.0432541460696259","1"
"1 Strongly disagree","2005","no migration background","higher education","20","","","","1"
"1 Strongly disagree","2005","direct migration background","in school","2","","","","1"
"1 Strongly disagree","2005","direct migration background","inadequately","5","","","","1"
"1 Strongly disagree","2005","direct migration background","general elemantary","11","","","","1"
"1 Strongly disagree","2005","direct migration background","middle vocational","25","","","","1"
"1 Strongly disagree","2005","direct migration background","vocational + Abi","6","","","","1"
"1 Strongly disagree","2005","direct migration background","higher vocational","4","","","","1"
"1 Strongly disagree","2005","direct migration background","higher education","2","","","","1"
"1 Strongly disagree","2005","indirect migration background","in school","2","","","","1"
"1 Strongly disagree","2005","indirect migration background","inadequately","2","","","","1"
"1 Strongly disagree","2005","indirect migration background","general elemantary","6","","","","1"
"1 Strongly disagree","2005","indirect migration background","middle vocational","7","","","","1"
"1 Strongly disagree","2005","indirect migration background","vocational + Abi","2","","","","1"
"1 Strongly disagree","2005","indirect migration background","higher vocational","","","","","1"
"1 Strongly disagree","2005","indirect migration background","higher education","1","","","","1"
"2 on scale 1-7 ","2005","indirect migration background","inadequately","","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","in school","1","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","middle vocational","5","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","general elemantary","6","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","higher education","1","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","vocational + Abi","1","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","higher vocational","","","","","2"
"2 on scale 1-7 ","2005","direct migration background","in school","3","","","","2"
"2 on scale 1-7 ","2005","direct migration background","inadequately","5","","","","2"
"2 on scale 1-7 ","2005","direct migration background","general elemantary","24","","","","2"
"2 on scale 1-7 ","2005","direct migration background","middle vocational","25","","","","2"
"2 on scale 1-7 ","2005","direct migration background","vocational + Abi","3","","","","2"
"2 on scale 1-7 ","2005","no migration background","in school","20","","","","2"
"2 on scale 1-7 ","2005","no migration background","inadequately","3","","","","2"
"2 on scale 1-7 ","2005","no migration background","general elemantary","70","0.0390316738657742","0.0296698533786528","0.0483934943528956","2"
"2 on scale 1-7 ","2005","direct migration background","higher vocational","3","","","","2"
"2 on scale 1-7 ","2005","direct migration background","higher education","11","","","","2"
"2 on scale 1-7 ","2005","no migration background","vocational + Abi","24","","","","2"
"2 on scale 1-7 ","2005","no migration background","higher vocational","36","0.0226570963098328","0.0148144503823855","0.0304997422372801","2"
"2 on scale 1-7 ","2005","no migration background","higher education","69","0.021178299302534","0.0165725712387517","0.0257840273663163","2"
"2 on scale 1-7 ","2005","no migration background","middle vocational","310","0.0316043914027297","0.0279974750450853","0.035211307760374","2"
"3 on scale 1-7 ","2005","indirect migration background","in school","6","","","","3"
"3 on scale 1-7 ","2005","indirect migration background","general elemantary","11","","","","3"
"3 on scale 1-7 ","2005","indirect migration background","inadequately","","","","","3"
"3 on scale 1-7 ","2005","indirect migration background","middle vocational","15","","","","3"
"3 on scale 1-7 ","2005","direct migration background","in school","3","","","","3"
"3 on scale 1-7 ","2005","direct migration background","inadequately","7","","","","3"
"3 on scale 1-7 ","2005","direct migration background","general elemantary","36","0.0535231484943659","0.0348816893977566","0.0721646075909753","3"
"3 on scale 1-7 ","2005","direct migration background","higher education","12","","","","3"
"3 on scale 1-7 ","2005","indirect migration background","vocational + Abi","2","","","","3"
"3 on scale 1-7 ","2005","indirect migration background","higher vocational","1","","","","3"
