"plh0206i06","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","in school","22","","","","1"
"1 Strongly disagree","2005","inadequately","22","","","","1"
"1 Strongly disagree","2005","general elemantary","101","0.0546612574957829","0.0455401744688755","0.0637823405226902","1"
"1 Strongly disagree","2005","middle vocational","263","0.0307509285438597","0.0274074193700778","0.0340944377176416","1"
"1 Strongly disagree","2005","vocational + Abi","20","","","","1"
"1 Strongly disagree","2005","higher vocational","39","0.0313874716563922","0.0227266919418855","0.0400482513708989","1"
"1 Strongly disagree","2005","higher education","23","","","","1"
"2 on scale 1-7 ","2005","higher education","81","0.0213623915683201","0.0169702050763728","0.0257545780602674","2"
"2 on scale 1-7 ","2005","middle vocational","340","0.0309127147057554","0.0275607014613524","0.0342647279501583","2"
"2 on scale 1-7 ","2005","vocational + Abi","28","","","","2"
"2 on scale 1-7 ","2005","higher vocational","39","0.021414496700662","0.0142240295008064","0.0286049639005175","2"
"2 on scale 1-7 ","2005","general elemantary","100","0.0394049840247008","0.0315984435862183","0.0472115244631832","2"
"2 on scale 1-7 ","2005","inadequately","8","","","","2"
"2 on scale 1-7 ","2005","in school","24","","","","2"
"3 on scale 1-7 ","2005","higher education","174","0.0401629613796008","0.0341987022814416","0.04612722047776","3"
"3 on scale 1-7 ","2005","higher vocational","79","0.0467981403334053","0.0363072940663001","0.0572889866005105","3"
"3 on scale 1-7 ","2005","vocational + Abi","58","0.0495265931904613","0.0368707719273949","0.0621824144535277","3"
"3 on scale 1-7 ","2005","middle vocational","600","0.0597068462377222","0.0551180432935239","0.0642956491819205","3"
"3 on scale 1-7 ","2005","in school","51","0.072656485797506","0.05262441957106","0.092688552023952","3"
"3 on scale 1-7 ","2005","inadequately","12","","","","3"
"3 on scale 1-7 ","2005","general elemantary","158","0.0640446261618298","0.0542207746397745","0.0738684776838851","3"
"4 on scale 1-7","2005","middle vocational","1685","0.164852887148924","0.157666915886333","0.172038858411516","4"
"4 on scale 1-7","2005","general elemantary","432","0.180257454511034","0.164833411546281","0.195681497475787","4"
"4 on scale 1-7","2005","vocational + Abi","189","0.172530660428818","0.150490730075776","0.194570590781861","4"
"4 on scale 1-7","2005","higher education","567","0.142222503895355","0.131612479807297","0.152832527983414","4"
"4 on scale 1-7","2005","inadequately","49","0.157442347560306","0.110575613483078","0.204309081637534","4"
"4 on scale 1-7","2005","in school","127","0.19879757597007","0.167997988239973","0.229597163700167","4"
"4 on scale 1-7","2005","higher vocational","250","0.172501465749297","0.153734943581908","0.191267987916686","4"
"5 on scale 1-7","2005","higher education","969","0.226749814445762","0.214030070402246","0.239469558489278","5"
"5 on scale 1-7","2005","middle vocational","2236","0.214814727088546","0.206860942883142","0.22276851129395","5"
"5 on scale 1-7","2005","in school","157","0.233263871820601","0.200626518169948","0.265901225471254","5"
"5 on scale 1-7","2005","inadequately","40","0.167917618202023","0.119818690493468","0.216016545910578","5"
