"plh0206i06","year","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","425","0.0315742776622495","0.0289816546661836","0.0341669006583155"
"1 Strongly disagree","2005","direct migration background","55","0.0267940038297681","0.0202679503578252","0.033320057301711"
"1 Strongly disagree","2005","indirect migration background","22","","",""
"2 on scale 1-7 ","2005","no migration background","545","0.030911866760647","0.0283457066315277","0.0334780268897662"
"2 on scale 1-7 ","2005","direct migration background","76","0.0323105682343226","0.0251644577029525","0.0394566787656927"
"2 on scale 1-7 ","2005","indirect migration background","15","","",""
"3 on scale 1-7 ","2005","no migration background","984","0.0575477786438594","0.0540948830057847","0.061000674281934"
"3 on scale 1-7 ","2005","direct migration background","129","0.0475265373253615","0.0389280122639242","0.0561250623867988"
"3 on scale 1-7 ","2005","indirect migration background","41","0.0546947025345688","0.0392161799946512","0.0701732250744864"
"4 on scale 1-7","2005","no migration background","2832","0.162909906608994","0.157434714684602","0.168385098533385"
"4 on scale 1-7","2005","direct migration background","362","0.173415982817919","0.158115064565818","0.188716901070019"
"4 on scale 1-7","2005","indirect migration background","160","0.190406708809338","0.163680005093395","0.217133412525282"
"5 on scale 1-7","2005","no migration background","3970","0.222614316405558","0.216446459162839","0.228782173648276"
"5 on scale 1-7","2005","direct migration background","470","0.193701779726338","0.177730339206942","0.209673220245733"
"5 on scale 1-7","2005","indirect migration background","181","0.225444419338873","0.196998703712984","0.253890134964762"
"6 on scale 1-7","2005","no migration background","4690","0.259820344434183","0.253318379126916","0.266322309741449"
"6 on scale 1-7","2005","direct migration background","568","0.222457201927475","0.205649249157203","0.239265154697747"
"6 on scale 1-7","2005","indirect migration background","191","0.237846997814038","0.208864170776043","0.266829824852032"
"7 Strongly agree","2005","no migration background","4029","0.23462150948451","0.228338589372817","0.240904429596203"
"7 Strongly agree","2005","direct migration background","692","0.303793926138817","0.285207842826556","0.322380009451077"
"7 Strongly agree","2005","indirect migration background","219","0.256012516231572","0.226303775786954","0.28572125667619"
"1 Strongly disagree","2006","no migration background","","","",""
"1 Strongly disagree","2006","direct migration background","","","",""
"1 Strongly disagree","2006","indirect migration background","","","",""
"2 on scale 1-7 ","2006","no migration background","","","",""
"2 on scale 1-7 ","2006","direct migration background","","","",""
"2 on scale 1-7 ","2006","indirect migration background","","","",""
"3 on scale 1-7 ","2006","no migration background","","","",""
"3 on scale 1-7 ","2006","direct migration background","","","",""
"3 on scale 1-7 ","2006","indirect migration background","","","",""
"4 on scale 1-7","2006","no migration background","","","",""
"4 on scale 1-7","2006","direct migration background","","","",""
"4 on scale 1-7","2006","indirect migration background","","","",""
"5 on scale 1-7","2006","no migration background","","","",""
"5 on scale 1-7","2006","direct migration background","","","",""
"5 on scale 1-7","2006","indirect migration background","","","",""
"6 on scale 1-7","2006","no migration background","","","",""
"6 on scale 1-7","2006","direct migration background","","","",""
"6 on scale 1-7","2006","indirect migration background","","","",""
"7 Strongly agree","2006","no migration background","","","",""
"7 Strongly agree","2006","direct migration background","","","",""
"7 Strongly agree","2006","indirect migration background","","","",""
"1 Strongly disagree","2007","no migration background","","","",""
"1 Strongly disagree","2007","direct migration background","","","",""
"1 Strongly disagree","2007","indirect migration background","","","",""
"2 on scale 1-7 ","2007","no migration background","","","",""
"2 on scale 1-7 ","2007","direct migration background","","","",""
"2 on scale 1-7 ","2007","indirect migration background","","","",""
"3 on scale 1-7 ","2007","no migration background","","","",""
"3 on scale 1-7 ","2007","direct migration background","","","",""
"3 on scale 1-7 ","2007","indirect migration background","","","",""
"4 on scale 1-7","2007","no migration background","","","",""
"4 on scale 1-7","2007","direct migration background","","","",""
"4 on scale 1-7","2007","indirect migration background","","","",""
"5 on scale 1-7","2007","no migration background","","","",""
"5 on scale 1-7","2007","direct migration background","","","",""
"5 on scale 1-7","2007","indirect migration background","","","",""
"6 on scale 1-7","2007","no migration background","","","",""
"6 on scale 1-7","2007","direct migration background","","","",""
"6 on scale 1-7","2007","indirect migration background","","","",""
"7 Strongly agree","2007","no migration background","","","",""
"7 Strongly agree","2007","direct migration background","","","",""
"7 Strongly agree","2007","indirect migration background","","","",""
"1 Strongly disagree","2008","no migration background","","","",""
"1 Strongly disagree","2008","direct migration background","","","",""
"1 Strongly disagree","2008","indirect migration background","","","",""
"2 on scale 1-7 ","2008","no migration background","","","",""
"2 on scale 1-7 ","2008","direct migration background","","","",""
"2 on scale 1-7 ","2008","indirect migration background","","","",""
"3 on scale 1-7 ","2008","no migration background","","","",""
"3 on scale 1-7 ","2008","direct migration background","","","",""
"3 on scale 1-7 ","2008","indirect migration background","","","",""
"4 on scale 1-7","2008","no migration background","","","",""
"4 on scale 1-7","2008","direct migration background","","","",""
"4 on scale 1-7","2008","indirect migration background","","","",""
"5 on scale 1-7","2008","no migration background","","","",""
"5 on scale 1-7","2008","direct migration background","","","",""
"5 on scale 1-7","2008","indirect migration background","","","",""
"6 on scale 1-7","2008","no migration background","","","",""
"6 on scale 1-7","2008","direct migration background","","","",""
