"plh0206i06","year","e11103","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","127","0.0205573723614987","0.0174508847235731","0.0236638599994243"
"1 Strongly disagree","2005","Part Time","104","0.0227932852523853","0.0185756187451751","0.0270109517595955"
"1 Strongly disagree","2005","Not Working","271","0.0447547419270959","0.0401752589092038","0.0493342249449879"
"2 on scale 1-7 ","2005","Full Time","241","0.0293348633511079","0.0256406406042832","0.0330290860979325"
"2 on scale 1-7 ","2005","Part Time","144","0.0288376624122094","0.024108311977922","0.0335670128464969"
"2 on scale 1-7 ","2005","Not Working","251","0.0318038944727115","0.0279173709852646","0.0356904179601583"
"3 on scale 1-7 ","2005","Full Time","429","0.0518824614401728","0.0470269195658675","0.0567380033144781"
"3 on scale 1-7 ","2005","Part Time","272","0.0592835015897724","0.0526097220380948","0.06595728114145"
"3 on scale 1-7 ","2005","Not Working","453","0.0582804454059721","0.0530917078551205","0.0634691829568237"
"4 on scale 1-7","2005","Full Time","1215","0.160908884491541","0.152864535545464","0.168953233437617"
"4 on scale 1-7","2005","Part Time","795","0.169133687502703","0.158539779747904","0.179727595257502"
"4 on scale 1-7","2005","Not Working","1344","0.16732251796007","0.159055381907328","0.175589654012812"
"5 on scale 1-7","2005","Full Time","1842","0.23004701698015","0.220833260414215","0.239260773546085"
"5 on scale 1-7","2005","Part Time","1088","0.221378438569084","0.209645510023923","0.233111367114244"
"5 on scale 1-7","2005","Not Working","1691","0.207263967503806","0.198286255241257","0.216241679766356"
"6 on scale 1-7","2005","Full Time","2248","0.271095287936147","0.261363498783191","0.280827077089104"
"6 on scale 1-7","2005","Part Time","1291","0.252814873798725","0.240532255027009","0.26509749257044"
"6 on scale 1-7","2005","Not Working","1910","0.239025473102742","0.229579501580709","0.248471444624774"
"7 Strongly agree","2005","Full Time","1913","0.236174113439383","0.226875682690544","0.245472544188222"
"7 Strongly agree","2005","Part Time","1116","0.245758550875122","0.233591507137989","0.257925594612255"
"7 Strongly agree","2005","Not Working","1911","0.251548959627603","0.241938759317365","0.261159159937841"
"1 Strongly disagree","2006","Full Time","","","",""
"1 Strongly disagree","2006","Part Time","","","",""
"1 Strongly disagree","2006","Not Working","","","",""
"2 on scale 1-7 ","2006","Full Time","","","",""
"2 on scale 1-7 ","2006","Part Time","","","",""
"2 on scale 1-7 ","2006","Not Working","","","",""
"3 on scale 1-7 ","2006","Full Time","","","",""
"3 on scale 1-7 ","2006","Part Time","","","",""
"3 on scale 1-7 ","2006","Not Working","","","",""
"4 on scale 1-7","2006","Full Time","","","",""
"4 on scale 1-7","2006","Part Time","","","",""
"4 on scale 1-7","2006","Not Working","","","",""
"5 on scale 1-7","2006","Full Time","","","",""
"5 on scale 1-7","2006","Part Time","","","",""
"5 on scale 1-7","2006","Not Working","","","",""
"6 on scale 1-7","2006","Full Time","","","",""
"6 on scale 1-7","2006","Part Time","","","",""
"6 on scale 1-7","2006","Not Working","","","",""
"7 Strongly agree","2006","Full Time","","","",""
"7 Strongly agree","2006","Part Time","","","",""
"7 Strongly agree","2006","Not Working","","","",""
"1 Strongly disagree","2007","Full Time","","","",""
"1 Strongly disagree","2007","Part Time","","","",""
"1 Strongly disagree","2007","Not Working","","","",""
"2 on scale 1-7 ","2007","Full Time","","","",""
"2 on scale 1-7 ","2007","Part Time","","","",""
"2 on scale 1-7 ","2007","Not Working","","","",""
"3 on scale 1-7 ","2007","Full Time","","","",""
"3 on scale 1-7 ","2007","Part Time","","","",""
"3 on scale 1-7 ","2007","Not Working","","","",""
"4 on scale 1-7","2007","Full Time","","","",""
"4 on scale 1-7","2007","Part Time","","","",""
"4 on scale 1-7","2007","Not Working","","","",""
"5 on scale 1-7","2007","Full Time","","","",""
"5 on scale 1-7","2007","Part Time","","","",""
"5 on scale 1-7","2007","Not Working","","","",""
"6 on scale 1-7","2007","Full Time","","","",""
"6 on scale 1-7","2007","Part Time","","","",""
"6 on scale 1-7","2007","Not Working","","","",""
"7 Strongly agree","2007","Full Time","","","",""
"7 Strongly agree","2007","Part Time","","","",""
"7 Strongly agree","2007","Not Working","","","",""
"1 Strongly disagree","2008","Full Time","","","",""
"1 Strongly disagree","2008","Part Time","","","",""
"1 Strongly disagree","2008","Not Working","","","",""
"2 on scale 1-7 ","2008","Full Time","","","",""
"2 on scale 1-7 ","2008","Part Time","","","",""
"2 on scale 1-7 ","2008","Not Working","","","",""
"3 on scale 1-7 ","2008","Full Time","","","",""
"3 on scale 1-7 ","2008","Part Time","","","",""
"3 on scale 1-7 ","2008","Not Working","","","",""
"4 on scale 1-7","2008","Full Time","","","",""
"4 on scale 1-7","2008","Part Time","","","",""
"4 on scale 1-7","2008","Not Working","","","",""
"5 on scale 1-7","2008","Full Time","","","",""
"5 on scale 1-7","2008","Part Time","","","",""
"5 on scale 1-7","2008","Not Working","","","",""
"6 on scale 1-7","2008","Full Time","","","",""
"6 on scale 1-7","2008","Part Time","","","",""
"6 on scale 1-7","2008","Not Working","","","",""
"7 Strongly agree","2008","Full Time","","","",""
"7 Strongly agree","2008","Part Time","","","",""
"7 Strongly agree","2008","Not Working","","","",""
"1 Strongly disagree","2009","Full Time","","","",""
"1 Strongly disagree","2009","Part Time","","","",""
"1 Strongly disagree","2009","Not Working","","","",""
"2 on scale 1-7 ","2009","Full Time","","","",""
"2 on scale 1-7 ","2009","Part Time","","","",""
"2 on scale 1-7 ","2009","Not Working","","","",""
"3 on scale 1-7 ","2009","Full Time","","","",""
"3 on scale 1-7 ","2009","Part Time","","","",""
"3 on scale 1-7 ","2009","Not Working","","","",""
"4 on scale 1-7","2009","Full Time","","","",""
"4 on scale 1-7","2009","Part Time","","","",""
"4 on scale 1-7","2009","Not Working","","","",""
"5 on scale 1-7","2009","Full Time","","","",""
"5 on scale 1-7","2009","Part Time","","","",""
"5 on scale 1-7","2009","Not Working","","","",""
"6 on scale 1-7","2009","Full Time","","","",""
"6 on scale 1-7","2009","Part Time","","","",""
"6 on scale 1-7","2009","Not Working","","","",""
"7 Strongly agree","2009","Full Time","","","",""
"7 Strongly agree","2009","Part Time","","","",""
"7 Strongly agree","2009","Not Working","","","",""
"1 Strongly disagree","2010","Full Time","111","0.0167843544394186","0.013646867918382","0.0199218409604551"
"1 Strongly disagree","2010","Part Time","96","0.0224045902831436","0.0177598239830189","0.0270493565832682"
"1 Strongly disagree","2010","Not Working","218","0.0404973748746213","0.0356313255309579","0.0453634242182846"
"2 on scale 1-7 ","2010","Full Time","200","0.0243008124664177","0.0205400705907196","0.0280615543421157"
"2 on scale 1-7 ","2010","Part Time","132","0.0338346657974522","0.0281602329796095","0.0395090986152949"
"2 on scale 1-7 ","2010","Not Working","238","0.037594136570733","0.0328986654227724","0.0422896077186937"
"3 on scale 1-7 ","2010","Full Time","418","0.0676840263118617","0.0615488109419838","0.0738192416817396"
"3 on scale 1-7 ","2010","Part Time","279","0.0675082838467957","0.059633895804473","0.0753826718891184"
"3 on scale 1-7 ","2010","Not Working","380","0.0652054682185123","0.059110940181478","0.0712999962555467"
"4 on scale 1-7","2010","Full Time","965","0.153123481137338","0.144328475948707","0.16191848632597"
"4 on scale 1-7","2010","Part Time","664","0.183808208632129","0.171652106224456","0.195964311039801"
"4 on scale 1-7","2010","Not Working","1040","0.16590481262946","0.156721966892206","0.175087658366714"
"5 on scale 1-7","2010","Full Time","1534","0.243516376337665","0.233033776459103","0.253998976216226"
"5 on scale 1-7","2010","Part Time","935","0.208080571074541","0.195340494096753","0.220820648052329"
"5 on scale 1-7","2010","Not Working","1394","0.211045434727562","0.200972547620283","0.22111832183484"
"6 on scale 1-7","2010","Full Time","1959","0.289212963553451","0.278139492253672","0.30028643485323"
"6 on scale 1-7","2010","Part Time","1056","0.27012877510435","0.256193218068428","0.284064332140272"
"6 on scale 1-7","2010","Not Working","1633","0.244855949250573","0.234241188212983","0.255470710288164"
"7 Strongly agree","2010","Full Time","1253","0.205377985753848","0.195511502144817","0.215244469362879"
"7 Strongly agree","2010","Part Time","738","0.214234905261589","0.201358125442093","0.227111685081084"
"7 Strongly agree","2010","Not Working","1401","0.234896823728538","0.224431839856188","0.245361807600888"
"1 Strongly disagree","2011","Full Time","","","",""
"1 Strongly disagree","2011","Part Time","","","",""
"1 Strongly disagree","2011","Not Working","","","",""
"2 on scale 1-7 ","2011","Full Time","","","",""
"2 on scale 1-7 ","2011","Part Time","","","",""
"2 on scale 1-7 ","2011","Not Working","","","",""
"3 on scale 1-7 ","2011","Full Time","","","",""
"3 on scale 1-7 ","2011","Part Time","","","",""
"3 on scale 1-7 ","2011","Not Working","","","",""
"4 on scale 1-7","2011","Full Time","","","",""
"4 on scale 1-7","2011","Part Time","","","",""
"4 on scale 1-7","2011","Not Working","","","",""
"5 on scale 1-7","2011","Full Time","","","",""
"5 on scale 1-7","2011","Part Time","","","",""
"5 on scale 1-7","2011","Not Working","","","",""
"6 on scale 1-7","2011","Full Time","","","",""
"6 on scale 1-7","2011","Part Time","","","",""
"6 on scale 1-7","2011","Not Working","","","",""
"7 Strongly agree","2011","Full Time","","","",""
"7 Strongly agree","2011","Part Time","","","",""
"7 Strongly agree","2011","Not Working","","","",""
"1 Strongly disagree","2012","Full Time","","","",""
"1 Strongly disagree","2012","Part Time","","","",""
"1 Strongly disagree","2012","Not Working","","","",""
"2 on scale 1-7 ","2012","Full Time","","","",""
"2 on scale 1-7 ","2012","Part Time","","","",""
"2 on scale 1-7 ","2012","Not Working","","","",""
"3 on scale 1-7 ","2012","Full Time","","","",""
"3 on scale 1-7 ","2012","Part Time","","","",""
"3 on scale 1-7 ","2012","Not Working","","","",""
"4 on scale 1-7","2012","Full Time","","","",""
"4 on scale 1-7","2012","Part Time","","","",""
"4 on scale 1-7","2012","Not Working","","","",""
"5 on scale 1-7","2012","Full Time","","","",""
"5 on scale 1-7","2012","Part Time","","","",""
"5 on scale 1-7","2012","Not Working","","","",""
"6 on scale 1-7","2012","Full Time","","","",""
"6 on scale 1-7","2012","Part Time","","","",""
