"plh0206i06","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","lower secondary degree","12","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","secondary school degree","5","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","college entrance qualification","3","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","Other degree","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","no degree/no degree yet","3","","",""
"1 Strongly disagree","2005","Hamburg","lower secondary degree","","","",""
"1 Strongly disagree","2005","Hamburg","secondary school degree","1","","",""
"1 Strongly disagree","2005","Hamburg","college entrance qualification","","","",""
"1 Strongly disagree","2005","Hamburg","Other degree","","","",""
"1 Strongly disagree","2005","Hamburg","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Lower Saxony","lower secondary degree","28","","",""
"1 Strongly disagree","2005","Lower Saxony","secondary school degree","10","","",""
"1 Strongly disagree","2005","Lower Saxony","college entrance qualification","5","","",""
"1 Strongly disagree","2005","Lower Saxony","Other degree","2","","",""
"1 Strongly disagree","2005","Lower Saxony","no degree/no degree yet","3","","",""
"1 Strongly disagree","2005","Bremen","lower secondary degree","2","","",""
"1 Strongly disagree","2005","Bremen","secondary school degree","2","","",""
"1 Strongly disagree","2005","Bremen","college entrance qualification","1","","",""
"1 Strongly disagree","2005","Bremen","Other degree","","","",""
"1 Strongly disagree","2005","Bremen","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","lower secondary degree","58","0.0442965055203493","0.0340269363471553","0.0545660746935432"
"1 Strongly disagree","2005","North Rhine-Westphalia","secondary school degree","24","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","college entrance qualification","10","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","Other degree","12","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","no degree/no degree yet","7","","",""
"1 Strongly disagree","2005","Hesse","lower secondary degree","25","","",""
"1 Strongly disagree","2005","Hesse","secondary school degree","7","","",""
"1 Strongly disagree","2005","Hesse","college entrance qualification","2","","",""
"1 Strongly disagree","2005","Hesse","Other degree","4","","",""
"1 Strongly disagree","2005","Hesse","no degree/no degree yet","1","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","lower secondary degree","28","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","secondary school degree","3","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","Other degree","2","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","5","","",""
"1 Strongly disagree","2005","Baden-Württemberg","lower secondary degree","17","","",""
"1 Strongly disagree","2005","Baden-Württemberg","secondary school degree","4","","",""
"1 Strongly disagree","2005","Baden-Württemberg","college entrance qualification","2","","",""
"1 Strongly disagree","2005","Baden-Württemberg","Other degree","5","","",""
"1 Strongly disagree","2005","Baden-Württemberg","no degree/no degree yet","5","","",""
"1 Strongly disagree","2005","Bavaria","lower secondary degree","27","","",""
"1 Strongly disagree","2005","Bavaria","secondary school degree","8","","",""
"1 Strongly disagree","2005","Bavaria","college entrance qualification","3","","",""
"1 Strongly disagree","2005","Bavaria","Other degree","10","","",""
"1 Strongly disagree","2005","Bavaria","no degree/no degree yet","5","","",""
"1 Strongly disagree","2005","Berlin","lower secondary degree","6","","",""
"1 Strongly disagree","2005","Berlin","secondary school degree","8","","",""
"1 Strongly disagree","2005","Berlin","college entrance qualification","2","","",""
"1 Strongly disagree","2005","Berlin","Other degree","2","","",""
"1 Strongly disagree","2005","Berlin","no degree/no degree yet","1","","",""
"1 Strongly disagree","2005","Brandenburg","lower secondary degree","8","","",""
"1 Strongly disagree","2005","Brandenburg","secondary school degree","15","","",""
