"plh0206i06","year","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Male","205","0.0270329937489311","0.0238350873544507","0.0302309001434116"
"1 Strongly disagree","2005","Female","297","0.0343503695516541","0.0309116655358179","0.0377890735674904"
"2 on scale 1-7 ","2005","Male","260","0.0255579677484526","0.0224461741571977","0.0286697613397075"
"2 on scale 1-7 ","2005","Female","376","0.0346155072369549","0.0311640316268203","0.0380669828470895"
"3 on scale 1-7 ","2005","Male","527","0.0528062697035586","0.04839633894227","0.0572162004648472"
"3 on scale 1-7 ","2005","Female","627","0.0592560517468703","0.0547982436190637","0.0637138598746768"
"4 on scale 1-7","2005","Male","1561","0.162357353838571","0.15508566995324","0.169629037723902"
"4 on scale 1-7","2005","Female","1793","0.168159960057661","0.161098402425739","0.175221517689583"
"5 on scale 1-7","2005","Male","2332","0.229753089985757","0.221458111163119","0.238048068808395"
"5 on scale 1-7","2005","Female","2289","0.208705611219327","0.201032784232399","0.216378438206256"
"6 on scale 1-7","2005","Male","2626","0.261004278239329","0.252344347993613","0.269664208485046"
"6 on scale 1-7","2005","Female","2823","0.247532150007353","0.239383623528107","0.255680676486599"
"7 Strongly agree","2005","Male","2369","0.241488046735401","0.233048897776116","0.249927195694685"
"7 Strongly agree","2005","Female","2571","0.247380350180179","0.239233501006237","0.255527199354121"
"1 Strongly disagree","2006","Male","","","",""
"1 Strongly disagree","2006","Female","","","",""
"2 on scale 1-7 ","2006","Male","","","",""
"2 on scale 1-7 ","2006","Female","","","",""
"3 on scale 1-7 ","2006","Male","","","",""
"3 on scale 1-7 ","2006","Female","","","",""
"4 on scale 1-7","2006","Male","","","",""
"4 on scale 1-7","2006","Female","","","",""
"5 on scale 1-7","2006","Male","","","",""
"5 on scale 1-7","2006","Female","","","",""
"6 on scale 1-7","2006","Male","","","",""
"6 on scale 1-7","2006","Female","","","",""
"7 Strongly agree","2006","Male","","","",""
"7 Strongly agree","2006","Female","","","",""
"1 Strongly disagree","2007","Male","","","",""
"1 Strongly disagree","2007","Female","","","",""
"2 on scale 1-7 ","2007","Male","","","",""
"2 on scale 1-7 ","2007","Female","","","",""
"3 on scale 1-7 ","2007","Male","","","",""
"3 on scale 1-7 ","2007","Female","","","",""
"4 on scale 1-7","2007","Male","","","",""
"4 on scale 1-7","2007","Female","","","",""
"5 on scale 1-7","2007","Male","","","",""
"5 on scale 1-7","2007","Female","","","",""
