"plh0206i06","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Urban Area","79","0.0250651166163273","0.0199235505036261","0.0302066827290284","1"
"1 Strongly disagree","2005","16-34 y.","Rural Area","48","0.0304120190898634","0.0223918291827918","0.038432208996935","1"
"1 Strongly disagree","2005","35-65 y.","Urban Area","162","0.0260896864143402","0.0225456061532194","0.0296337666754609","1"
"1 Strongly disagree","2005","35-65 y.","Rural Area","90","0.0334631891908447","0.0277541304845327","0.0391722478971568","1"
"1 Strongly disagree","2005","66 and older","Urban Area","84","0.043143046674568","0.0351912871280132","0.0510948062211228","1"
"1 Strongly disagree","2005","66 and older","Rural Area","39","0.0373170697235395","0.0268224197517887","0.0478117196952903","1"
"2 on scale 1-7 ","2005","35-65 y.","Urban Area","234","0.0296931157339394","0.0259192010460576","0.0334670304218212","2"
"2 on scale 1-7 ","2005","16-34 y.","Urban Area","107","0.0278923691320246","0.0224764442384386","0.0333082940256107","2"
"2 on scale 1-7 ","2005","66 and older","Rural Area","39","0.032662672073029","0.0228205808904205","0.0425047632556375","2"
"2 on scale 1-7 ","2005","16-34 y.","Rural Area","82","0.0425803735439497","0.0331500995863657","0.0520106475015337","2"
"2 on scale 1-7 ","2005","35-65 y.","Rural Area","116","0.033463925766202","0.0277548064031265","0.0391730451292774","2"
"2 on scale 1-7 ","2005","66 and older","Urban Area","58","0.0229975483965938","0.0171311315057873","0.0288639652874002","2"
"3 on scale 1-7 ","2005","66 and older","Urban Area","131","0.052645198353739","0.0439050251635894","0.0613853715438886","3"
"3 on scale 1-7 ","2005","16-34 y.","Urban Area","224","0.0682401363316889","0.0599465055533882","0.0765337671099897","3"
"3 on scale 1-7 ","2005","35-65 y.","Rural Area","207","0.0570219019148682","0.0496607920898356","0.0643830117399008","3"
"3 on scale 1-7 ","2005","35-65 y.","Urban Area","405","0.0489053752045422","0.0441102516968728","0.0537004987122116","3"
"3 on scale 1-7 ","2005","16-34 y.","Rural Area","122","0.0606842352778911","0.0495332777824575","0.0718351927733248","3"
"3 on scale 1-7 ","2005","66 and older","Rural Area","65","0.0639667582463042","0.0504181288767292","0.0775153876158793","3"
"4 on scale 1-7","2005","66 and older","Rural Area","198","0.151162054764957","0.131328235949503","0.170995873580411","4"
"4 on scale 1-7","2005","16-34 y.","Rural Area","314","0.175835423153944","0.158055553587495","0.193615292720393","4"
"4 on scale 1-7","2005","35-65 y.","Urban Area","1177","0.153623825867461","0.145606664233454","0.161640987501468","4"
"4 on scale 1-7","2005","66 and older","Urban Area","433","0.176555192100877","0.161632684129162","0.191477700072591","4"
"4 on scale 1-7","2005","16-34 y.","Urban Area","623","0.183450546288556","0.170720689851875","0.196180402725237","4"
"4 on scale 1-7","2005","35-65 y.","Rural Area","609","0.162312964723428","0.15060748688019","0.174018442566667","4"
"5 on scale 1-7","2005","66 and older","Rural Area","254","0.204831029953794","0.18248501206944","0.227177047838148","5"
"5 on scale 1-7","2005","35-65 y.","Rural Area","804","0.202751345983119","0.189988415157646","0.215514276808593","5"
"5 on scale 1-7","2005","66 and older","Urban Area","506","0.199666795263301","0.184021899771072","0.21531169075553","5"
"5 on scale 1-7","2005","16-34 y.","Urban Area","846","0.230442116774099","0.216591333670199","0.244292899877999","5"
"5 on scale 1-7","2005","16-34 y.","Rural Area","430","0.242404702645484","0.222389611664979","0.262419793625989","5"
"5 on scale 1-7","2005","35-65 y.","Urban Area","1781","0.226103787898852","0.216803317473419","0.235404258324285","5"
"6 on scale 1-7","2005","66 and older","Rural Area","345","0.259520178842497","0.235247666228621","0.283792691456374","6"
"6 on scale 1-7","2005","35-65 y.","Urban Area","2121","0.262228126041883","0.252448768614163","0.272007483469603","6"
"6 on scale 1-7","2005","66 and older","Urban Area","602","0.223536277867977","0.207231348670842","0.239841207065113","6"
"6 on scale 1-7","2005","16-34 y.","Urban Area","897","0.254267212969093","0.239945018869799","0.268589407068387","6"
"6 on scale 1-7","2005","35-65 y.","Rural Area","1023","0.257055074379727","0.243182308848941","0.270927839910514","6"
"6 on scale 1-7","2005","16-34 y.","Rural Area","461","0.263749061295904","0.243167571640692","0.284330550951115","6"
"7 Strongly agree","2005","66 and older","Rural Area","313","0.250540236395879","0.226547186463389","0.27453328632837","7"
"7 Strongly agree","2005","66 and older","Urban Area","694","0.281455941342944","0.263855796712092","0.299056085973796","7"
"7 Strongly agree","2005","35-65 y.","Urban Area","1891","0.253356082838982","0.243685958238161","0.263026207439803","7"
"7 Strongly agree","2005","35-65 y.","Rural Area","963","0.25393159804181","0.24011442039487","0.26774877568875","7"
"7 Strongly agree","2005","16-34 y.","Urban Area","775","0.210642501888211","0.197230839066826","0.224054164709596","7"
"7 Strongly agree","2005","16-34 y.","Rural Area","304","0.184334184992964","0.166223808236786","0.202444561749142","7"
"1 Strongly disagree","2006","16-34 y.","Rural Area","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Urban Area","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Rural Area","","","","","1"
"1 Strongly disagree","2006","66 and older","Urban Area","","","","","1"
"1 Strongly disagree","2006","66 and older","Rural Area","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Urban Area","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Urban Area","","","","","2"
"3 on scale 1-7 ","2006","66 and older","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Urban Area","","","","","3"
"4 on scale 1-7","2006","16-34 y.","Rural Area","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Urban Area","","","","","4"
"4 on scale 1-7","2006","66 and older","Rural Area","","","","","4"
"4 on scale 1-7","2006","66 and older","Urban Area","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Rural Area","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Urban Area","","","","","4"
"5 on scale 1-7","2006","66 and older","Rural Area","","","","","5"
"5 on scale 1-7","2006","66 and older","Urban Area","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Urban Area","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Rural Area","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Urban Area","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Rural Area","","","","","5"
"6 on scale 1-7","2006","66 and older","Rural Area","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Urban Area","","","","","6"
"6 on scale 1-7","2006","66 and older","Urban Area","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Rural Area","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Rural Area","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Urban Area","","","","","6"
"7 Strongly agree","2006","66 and older","Rural Area","","","","","7"
"7 Strongly agree","2006","35-65 y.","Urban Area","","","","","7"
"7 Strongly agree","2006","35-65 y.","Rural Area","","","","","7"
"7 Strongly agree","2006","66 and older","Urban Area","","","","","7"
"7 Strongly agree","2006","16-34 y.","Urban Area","","","","","7"
"7 Strongly agree","2006","16-34 y.","Rural Area","","","","","7"
"1 Strongly disagree","2007","16-34 y.","Urban Area","","","","","1"
"1 Strongly disagree","2007","16-34 y.","Rural Area","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Urban Area","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Rural Area","","","","","1"
"1 Strongly disagree","2007","66 and older","Urban Area","","","","","1"
"1 Strongly disagree","2007","66 and older","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","66 and older","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","66 and older","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Rural Area","","","","","2"
"3 on scale 1-7 ","2007","35-65 y.","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Urban Area","","","","","3"
"4 on scale 1-7","2007","16-34 y.","Urban Area","","","","","4"
"4 on scale 1-7","2007","16-34 y.","Rural Area","","","","","4"
"4 on scale 1-7","2007","66 and older","Rural Area","","","","","4"
"4 on scale 1-7","2007","66 and older","Urban Area","","","","","4"
"4 on scale 1-7","2007","35-65 y.","Urban Area","","","","","4"
"4 on scale 1-7","2007","35-65 y.","Rural Area","","","","","4"
"5 on scale 1-7","2007","66 and older","Rural Area","","","","","5"
"5 on scale 1-7","2007","66 and older","Urban Area","","","","","5"
"5 on scale 1-7","2007","35-65 y.","Urban Area","","","","","5"
"5 on scale 1-7","2007","35-65 y.","Rural Area","","","","","5"
"5 on scale 1-7","2007","16-34 y.","Urban Area","","","","","5"
"5 on scale 1-7","2007","16-34 y.","Rural Area","","","","","5"
"6 on scale 1-7","2007","66 and older","Rural Area","","","","","6"
"6 on scale 1-7","2007","66 and older","Urban Area","","","","","6"
"6 on scale 1-7","2007","35-65 y.","Rural Area","","","","","6"
"6 on scale 1-7","2007","16-34 y.","Urban Area","","","","","6"
"6 on scale 1-7","2007","35-65 y.","Urban Area","","","","","6"
"6 on scale 1-7","2007","16-34 y.","Rural Area","","","","","6"
"7 Strongly agree","2007","66 and older","Rural Area","","","","","7"
"7 Strongly agree","2007","16-34 y.","Urban Area","","","","","7"
"7 Strongly agree","2007","16-34 y.","Rural Area","","","","","7"
"7 Strongly agree","2007","35-65 y.","Urban Area","","","","","7"
"7 Strongly agree","2007","35-65 y.","Rural Area","","","","","7"
"7 Strongly agree","2007","66 and older","Urban Area","","","","","7"
"1 Strongly disagree","2008","16-34 y.","Rural Area","","","","","1"
"1 Strongly disagree","2008","35-65 y.","Urban Area","","","","","1"
"1 Strongly disagree","2008","35-65 y.","Rural Area","","","","","1"
"1 Strongly disagree","2008","66 and older","Urban Area","","","","","1"
"1 Strongly disagree","2008","66 and older","Rural Area","","","","","1"
"1 Strongly disagree","2008","16-34 y.","Urban Area","","","","","1"
"2 on scale 1-7 ","2008","35-65 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","66 and older","Rural Area","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2008","66 and older","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","35-65 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2008","16-34 y.","Urban Area","","","","","2"
