"plh0206i06","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","Male","144","0.0260886127449853","0.0224717270323824","0.0297054984575882"
"1 Strongly disagree","2005","West Germany","Female","226","0.0346905068904721","0.0307193095285999","0.0386617042523443"
"1 Strongly disagree","2005","East Germany","Male","61","0.0311049039108098","0.0241868655197032","0.0380229423019164"
"1 Strongly disagree","2005","East Germany","Female","71","0.0328372300079615","0.0260120614012929","0.03966239861463"
"2 on scale 1-7 ","2005","West Germany","Male","178","0.0233603595654848","0.0199330249562824","0.0267876941746871"
"2 on scale 1-7 ","2005","West Germany","Female","279","0.0331429032681208","0.029258187224858","0.0370276193113835"
"2 on scale 1-7 ","2005","East Germany","Male","82","0.0350334475120926","0.0277064216361164","0.0423604733880689"
"2 on scale 1-7 ","2005","East Germany","Female","97","0.0411665530738666","0.0335576126865594","0.0487754934611738"
"3 on scale 1-7 ","2005","West Germany","Male","403","0.0536321035604639","0.0485200901282044","0.0587441169927233"
"3 on scale 1-7 ","2005","West Germany","Female","473","0.0572503439781594","0.0522087240628533","0.0622919638934656"
"3 on scale 1-7 ","2005","East Germany","Male","124","0.0492455021109176","0.0406227155509798","0.0578682886708555"
"3 on scale 1-7 ","2005","East Germany","Female","154","0.0681786703234567","0.0585254786638163","0.0778318619830971"
"4 on scale 1-7","2005","West Germany","Male","1169","0.161600997747801","0.153248873115488","0.169953122380115"
"4 on scale 1-7","2005","West Germany","Female","1345","0.167490863533172","0.159387358150901","0.175594368915443"
"4 on scale 1-7","2005","East Germany","Male","392","0.165618552485234","0.150804735715543","0.180432369254924"
"4 on scale 1-7","2005","East Germany","Female","448","0.171136511862501","0.156712263742858","0.185560759982145"
"5 on scale 1-7","2005","West Germany","Male","1760","0.228886245342534","0.219353485687985","0.238419004997083"
"5 on scale 1-7","2005","West Germany","Female","1762","0.212460080302849","0.203583252015135","0.221336908590563"
"5 on scale 1-7","2005","East Germany","Male","572","0.233490684766636","0.216632001367549","0.250349368165723"
"5 on scale 1-7","2005","East Germany","Female","527","0.192003429519457","0.176918628233199","0.207088230805715"
"6 on scale 1-7","2005","West Germany","Male","2020","0.266511152030021","0.256478770916977","0.276543533143065"
"6 on scale 1-7","2005","West Germany","Female","2135","0.251617589932604","0.242200534114416","0.261034645750791"
"6 on scale 1-7","2005","East Germany","Male","606","0.237260158805741","0.220307774808488","0.254212542802994"
"6 on scale 1-7","2005","East Germany","Female","688","0.22935760696612","0.213256217163135","0.245458996769104"
"7 Strongly agree","2005","West Germany","Male","1787","0.23992052900871","0.230230774425759","0.24961028359166"
"7 Strongly agree","2005","West Germany","Female","1937","0.243347712094623","0.234035675620444","0.252659748568802"
"7 Strongly agree","2005","East Germany","Male","582","0.248246750408569","0.231031648418926","0.265461852398212"
"7 Strongly agree","2005","East Germany","Female","634","0.265319998246637","0.248411133748451","0.282228862744823"
"1 Strongly disagree","2006","West Germany","Male","","","",""
"1 Strongly disagree","2006","West Germany","Female","","","",""
"1 Strongly disagree","2006","East Germany","Male","","","",""
"1 Strongly disagree","2006","East Germany","Female","","","",""
"2 on scale 1-7 ","2006","West Germany","Male","","","",""
"2 on scale 1-7 ","2006","West Germany","Female","","","",""
"2 on scale 1-7 ","2006","East Germany","Male","","","",""
"2 on scale 1-7 ","2006","East Germany","Female","","","",""
"3 on scale 1-7 ","2006","West Germany","Male","","","",""
"3 on scale 1-7 ","2006","West Germany","Female","","","",""
"3 on scale 1-7 ","2006","East Germany","Male","","","",""
"3 on scale 1-7 ","2006","East Germany","Female","","","",""
"4 on scale 1-7","2006","West Germany","Male","","","",""
"4 on scale 1-7","2006","West Germany","Female","","","",""
"4 on scale 1-7","2006","East Germany","Male","","","",""
"4 on scale 1-7","2006","East Germany","Female","","","",""
"5 on scale 1-7","2006","West Germany","Male","","","",""
"5 on scale 1-7","2006","West Germany","Female","","","",""
"5 on scale 1-7","2006","East Germany","Male","","","",""
"5 on scale 1-7","2006","East Germany","Female","","","",""
"6 on scale 1-7","2006","West Germany","Male","","","",""
"6 on scale 1-7","2006","West Germany","Female","","","",""
"6 on scale 1-7","2006","East Germany","Male","","","",""
"6 on scale 1-7","2006","East Germany","Female","","","",""
"7 Strongly agree","2006","West Germany","Male","","","",""
"7 Strongly agree","2006","West Germany","Female","","","",""
"7 Strongly agree","2006","East Germany","Male","","","",""
