"plh0206i06","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","Male","178","0.0281496559784429","0.024605609174398","0.0316937027824877","1"
"1 Strongly disagree","2005","no migration background","Female","247","0.0348268099303234","0.0310615405476017","0.0385920793130451","1"
"1 Strongly disagree","2005","direct migration background","Male","23","","","","1"
"1 Strongly disagree","2005","direct migration background","Female","32","0.0303187418272272","0.0207790951790522","0.0398583884754022","1"
"1 Strongly disagree","2005","indirect migration background","Male","4","","","","1"
"1 Strongly disagree","2005","indirect migration background","Female","18","","","","1"
"2 on scale 1-7 ","2005","direct migration background","Male","31","0.0290647305218102","0.0191867230459421","0.0389427379976783","2"
"2 on scale 1-7 ","2005","no migration background","Male","224","0.026029772999423","0.0226180698411263","0.0294414761577197","2"
"2 on scale 1-7 ","2005","indirect migration background","Female","10","","","","2"
"2 on scale 1-7 ","2005","no migration background","Female","321","0.0355486322081204","0.0317459660971835","0.0393512983190573","2"
"2 on scale 1-7 ","2005","direct migration background","Female","45","0.0352345519935973","0.0249766759240559","0.0454924280631387","2"
"2 on scale 1-7 ","2005","indirect migration background","Male","5","","","","2"
"3 on scale 1-7 ","2005","indirect migration background","Male","23","","","","3"
"3 on scale 1-7 ","2005","no migration background","Male","447","0.0545625390476181","0.0496959251096361","0.0594291529856001","3"
"3 on scale 1-7 ","2005","direct migration background","Female","72","0.0528386378008951","0.0403920589892797","0.0652852166125105","3"
"3 on scale 1-7 ","2005","direct migration background","Male","57","0.0416297138558567","0.0298845401415218","0.0533748875701915","3"
"3 on scale 1-7 ","2005","no migration background","Female","537","0.0603830080534664","0.0554912002772985","0.0652748158296342","3"
"3 on scale 1-7 ","2005","indirect migration background","Female","18","","","","3"
"4 on scale 1-7","2005","indirect migration background","Female","77","0.188200991087753","0.151126997971173","0.225274984204333","4"
"4 on scale 1-7","2005","no migration background","Female","1530","0.168638296794559","0.160948591585649","0.176328002003468","4"
"4 on scale 1-7","2005","direct migration background","Male","176","0.188752682227185","0.165742806962095","0.211762557492276","4"
"4 on scale 1-7","2005","indirect migration background","Male","83","0.19265312332284","0.154100567351694","0.231205679293985","4"
