"plh0206i06","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","Male","125","0.0241409260143376","0.020437425150268","0.0278444268784073","1"
"1 Strongly disagree","2005","Urban Area","Female","200","0.0347207197639885","0.0305014262875937","0.0389400132403834","1"
"1 Strongly disagree","2005","Rural Area","Male","80","0.0334690367893603","0.0273157338710723","0.0396223397076483","1"
"1 Strongly disagree","2005","Rural Area","Female","97","0.0335311305006688","0.0276043442156742","0.0394579167856633","1"
"2 on scale 1-7 ","2005","Urban Area","Female","243","0.0321227265547577","0.0280588993916834","0.036186553717832","2"
"2 on scale 1-7 ","2005","Rural Area","Male","104","0.0308893843421884","0.0249700877084722","0.0368086809759045","2"
"2 on scale 1-7 ","2005","Rural Area","Female","133","0.0401297022134495","0.033668096119424","0.046591308307475","2"
"2 on scale 1-7 ","2005","Urban Area","Male","156","0.0231622693645911","0.0195327952582288","0.0267917434709534","2"
"3 on scale 1-7 ","2005","Urban Area","Female","413","0.0583129989330563","0.0529122391807148","0.0637137586853979","3"
"3 on scale 1-7 ","2005","Rural Area","Male","180","0.0574606335367674","0.049498787836271","0.0654224792372639","3"
"3 on scale 1-7 ","2005","Rural Area","Female","214","0.0613421466551147","0.0534420140980779","0.0692422792121515","3"
"3 on scale 1-7 ","2005","Urban Area","Male","347","0.0507148083223146","0.0454205188565924","0.0560090977880367","3"
"4 on scale 1-7","2005","Rural Area","Female","603","0.172886423010661","0.160436569145563","0.185336276875758","4"
"4 on scale 1-7","2005","Urban Area","Female","1190","0.166023286328389","0.15744737370338","0.174599198953398","4"
"4 on scale 1-7","2005","Rural Area","Male","518","0.153351035061081","0.141023568039742","0.165678502082419","4"
"4 on scale 1-7","2005","Urban Area","Male","1043","0.166404387672904","0.15741765067242","0.175391124673388","4"
"5 on scale 1-7","2005","Rural Area","Male","757","0.226572026456251","0.212250415071881","0.240893637840622","5"
"5 on scale 1-7","2005","Urban Area","Female","1558","0.212130757368391","0.202708655902452","0.221552858834331","5"
"5 on scale 1-7","2005","Urban Area","Male","1575","0.231182516597354","0.221009937992398","0.241355095202311","5"
"5 on scale 1-7","2005","Rural Area","Female","731","0.201128962449617","0.18793191192909","0.214326012970143","5"
"6 on scale 1-7","2005","Rural Area","Male","871","0.262081674455053","0.24703635969464","0.277126989215467","6"
"6 on scale 1-7","2005","Rural Area","Female","958","0.256716489002564","0.242334949917373","0.271098028087755","6"
"6 on scale 1-7","2005","Urban Area","Female","1865","0.243380221589224","0.233490128752643","0.253270314425805","6"
"6 on scale 1-7","2005","Urban Area","Male","1755","0.260520144927402","0.249929418136498","0.271110871718307","6"
"7 Strongly agree","2005","Rural Area","Female","808","0.234265146167925","0.220320924382125","0.248209367953726","7"
"7 Strongly agree","2005","Urban Area","Female","1763","0.253309289462193","0.243285895165221","0.263332683759165","7"
"7 Strongly agree","2005","Rural Area","Male","772","0.236176209359298","0.221645277468538","0.250707141250059","7"
"7 Strongly agree","2005","Urban Area","Male","1597","0.243874947101096","0.233513453969113","0.254236440233079","7"
"1 Strongly disagree","2006","Urban Area","Male","","","","","1"
"1 Strongly disagree","2006","Urban Area","Female","","","","","1"
"1 Strongly disagree","2006","Rural Area","Male","","","","","1"
"1 Strongly disagree","2006","Rural Area","Female","","","","","1"
"2 on scale 1-7 ","2006","Rural Area","Male","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","Female","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","Female","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","Male","","","","","2"
"3 on scale 1-7 ","2006","Urban Area","Female","","","","","3"
"3 on scale 1-7 ","2006","Rural Area","Female","","","","","3"
"3 on scale 1-7 ","2006","Urban Area","Male","","","","","3"
"3 on scale 1-7 ","2006","Rural Area","Male","","","","","3"
"4 on scale 1-7","2006","Urban Area","Female","","","","","4"
"4 on scale 1-7","2006","Rural Area","Male","","","","","4"
"4 on scale 1-7","2006","Rural Area","Female","","","","","4"
"4 on scale 1-7","2006","Urban Area","Male","","","","","4"
"5 on scale 1-7","2006","Rural Area","Male","","","","","5"
"5 on scale 1-7","2006","Urban Area","Female","","","","","5"
"5 on scale 1-7","2006","Rural Area","Female","","","","","5"
"5 on scale 1-7","2006","Urban Area","Male","","","","","5"
"6 on scale 1-7","2006","Rural Area","Male","","","","","6"
"6 on scale 1-7","2006","Urban Area","Female","","","","","6"
"6 on scale 1-7","2006","Rural Area","Female","","","","","6"
"6 on scale 1-7","2006","Urban Area","Male","","","","","6"
"7 Strongly agree","2006","Urban Area","Female","","","","","7"
"7 Strongly agree","2006","Rural Area","Male","","","","","7"
"7 Strongly agree","2006","Rural Area","Female","","","","","7"
"7 Strongly agree","2006","Urban Area","Male","","","","","7"
"1 Strongly disagree","2007","Urban Area","Male","","","","","1"
"1 Strongly disagree","2007","Urban Area","Female","","","","","1"
"1 Strongly disagree","2007","Rural Area","Male","","","","","1"
"1 Strongly disagree","2007","Rural Area","Female","","","","","1"
"2 on scale 1-7 ","2007","Urban Area","Female","","","","","2"
"2 on scale 1-7 ","2007","Urban Area","Male","","","","","2"
"2 on scale 1-7 ","2007","Rural Area","Male","","","","","2"
"2 on scale 1-7 ","2007","Rural Area","Female","","","","","2"
"3 on scale 1-7 ","2007","Urban Area","Male","","","","","3"
"3 on scale 1-7 ","2007","Urban Area","Female","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","Male","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","Female","","","","","3"
"4 on scale 1-7","2007","Urban Area","Male","","","","","4"
"4 on scale 1-7","2007","Urban Area","Female","","","","","4"
"4 on scale 1-7","2007","Rural Area","Male","","","","","4"
"4 on scale 1-7","2007","Rural Area","Female","","","","","4"
"5 on scale 1-7","2007","Urban Area","Male","","","","","5"
"5 on scale 1-7","2007","Urban Area","Female","","","","","5"
"5 on scale 1-7","2007","Rural Area","Male","","","","","5"
"5 on scale 1-7","2007","Rural Area","Female","","","","","5"
"6 on scale 1-7","2007","Rural Area","Male","","","","","6"
"6 on scale 1-7","2007","Urban Area","Male","","","","","6"
"6 on scale 1-7","2007","Urban Area","Female","","","","","6"
"6 on scale 1-7","2007","Rural Area","Female","","","","","6"
"7 Strongly agree","2007","Urban Area","Male","","","","","7"
"7 Strongly agree","2007","Urban Area","Female","","","","","7"
"7 Strongly agree","2007","Rural Area","Male","","","","","7"
"7 Strongly agree","2007","Rural Area","Female","","","","","7"
"1 Strongly disagree","2008","Urban Area","Female","","","","","1"
"1 Strongly disagree","2008","Rural Area","Male","","","","","1"
"1 Strongly disagree","2008","Urban Area","Male","","","","","1"
"1 Strongly disagree","2008","Rural Area","Female","","","","","1"
"2 on scale 1-7 ","2008","Urban Area","Female","","","","","2"
"2 on scale 1-7 ","2008","Urban Area","Male","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","Male","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","Female","","","","","2"
"3 on scale 1-7 ","2008","Urban Area","Male","","","","","3"
"3 on scale 1-7 ","2008","Urban Area","Female","","","","","3"
"3 on scale 1-7 ","2008","Rural Area","Male","","","","","3"
"3 on scale 1-7 ","2008","Rural Area","Female","","","","","3"
"4 on scale 1-7","2008","Urban Area","Female","","","","","4"
"4 on scale 1-7","2008","Rural Area","Male","","","","","4"
"4 on scale 1-7","2008","Urban Area","Male","","","","","4"
"4 on scale 1-7","2008","Rural Area","Female","","","","","4"
"5 on scale 1-7","2008","Rural Area","Male","","","","","5"
"5 on scale 1-7","2008","Urban Area","Male","","","","","5"
"5 on scale 1-7","2008","Urban Area","Female","","","","","5"
"5 on scale 1-7","2008","Rural Area","Female","","","","","5"
"6 on scale 1-7","2008","Urban Area","Female","","","","","6"
"6 on scale 1-7","2008","Rural Area","Female","","","","","6"
"6 on scale 1-7","2008","Urban Area","Male","","","","","6"
"6 on scale 1-7","2008","Rural Area","Male","","","","","6"
"7 Strongly agree","2008","Urban Area","Male","","","","","7"
"7 Strongly agree","2008","Urban Area","Female","","","","","7"
"7 Strongly agree","2008","Rural Area","Male","","","","","7"
"7 Strongly agree","2008","Rural Area","Female","","","","","7"
"1 Strongly disagree","2009","Urban Area","Female","","","","","1"
"1 Strongly disagree","2009","Rural Area","Male","","","","","1"
"1 Strongly disagree","2009","Rural Area","Female","","","","","1"
"1 Strongly disagree","2009","Urban Area","Male","","","","","1"
"2 on scale 1-7 ","2009","Urban Area","Female","","","","","2"
"2 on scale 1-7 ","2009","Rural Area","Male","","","","","2"
"2 on scale 1-7 ","2009","Rural Area","Female","","","","","2"
"2 on scale 1-7 ","2009","Urban Area","Male","","","","","2"
"3 on scale 1-7 ","2009","Urban Area","Male","","","","","3"
"3 on scale 1-7 ","2009","Urban Area","Female","","","","","3"
"3 on scale 1-7 ","2009","Rural Area","Male","","","","","3"
"3 on scale 1-7 ","2009","Rural Area","Female","","","","","3"
"4 on scale 1-7","2009","Urban Area","Female","","","","","4"
"4 on scale 1-7","2009","Rural Area","Male","","","","","4"
"4 on scale 1-7","2009","Urban Area","Male","","","","","4"
"4 on scale 1-7","2009","Rural Area","Female","","","","","4"
"5 on scale 1-7","2009","Urban Area","Male","","","","","5"
"5 on scale 1-7","2009","Rural Area","Male","","","","","5"
"5 on scale 1-7","2009","Urban Area","Female","","","","","5"
"5 on scale 1-7","2009","Rural Area","Female","","","","","5"
"6 on scale 1-7","2009","Urban Area","Female","","","","","6"
"6 on scale 1-7","2009","Urban Area","Male","","","","","6"
"6 on scale 1-7","2009","Rural Area","Male","","","","","6"
"6 on scale 1-7","2009","Rural Area","Female","","","","","6"
"7 Strongly agree","2009","Urban Area","Male","","","","","7"
"7 Strongly agree","2009","Urban Area","Female","","","","","7"
"7 Strongly agree","2009","Rural Area","Male","","","","","7"
"7 Strongly agree","2009","Rural Area","Female","","","","","7"
"1 Strongly disagree","2010","Urban Area","Male","107","0.0231876173619466","0.019098655237112","0.0272765794867812","1"
"1 Strongly disagree","2010","Urban Area","Female","178","0.0323256813016667","0.0277728150538068","0.0368785475495267","1"
"1 Strongly disagree","2010","Rural Area","Male","60","0.0272463499642318","0.0211360698250655","0.0333566301033982","1"
"1 Strongly disagree","2010","Rural Area","Female","80","0.0248793241427366","0.0192260141140121","0.0305326341714611","1"
"2 on scale 1-7 ","2010","Urban Area","Male","165","0.0282707923765306","0.0237675941359928","0.0327739906170684","2"
"2 on scale 1-7 ","2010","Urban Area","Female","221","0.0362035451652036","0.0313949894424116","0.0410121008879955","2"
"2 on scale 1-7 ","2010","Rural Area","Male","82","0.0261870875538175","0.0201934995480914","0.0321806755595436","2"
"2 on scale 1-7 ","2010","Rural Area","Female","102","0.0337971538103898","0.0272382909315796","0.0403560166892001","2"
"3 on scale 1-7 ","2010","Urban Area","Male","323","0.0625114516872672","0.0559342338632906","0.0690886695112439","3"
"3 on scale 1-7 ","2010","Urban Area","Female","383","0.0725669518905697","0.0658887865815863","0.0792451171995531","3"
"3 on scale 1-7 ","2010","Rural Area","Female","206","0.0681869870867998","0.0590380747280605","0.0773358994455391","3"
"3 on scale 1-7 ","2010","Rural Area","Male","165","0.0610212058505956","0.0520371217863331","0.0700052899148582","3"
"4 on scale 1-7","2010","Urban Area","Female","945","0.172734391839444","0.163003372551478","0.18246541112741","4"
"4 on scale 1-7","2010","Rural Area","Male","437","0.172449233504585","0.158270629316033","0.186627837693137","4"
"4 on scale 1-7","2010","Urban Area","Male","759","0.142740954821328","0.133236881373007","0.152245028269649","4"
"4 on scale 1-7","2010","Rural Area","Female","528","0.187877739049602","0.17370013963442","0.202055338464784","4"
"5 on scale 1-7","2010","Urban Area","Male","1247","0.240770738228686","0.229154439598382","0.252387036858991","5"
"5 on scale 1-7","2010","Rural Area","Male","672","0.2416371107787","0.225570440711592","0.257703780845808","5"
"5 on scale 1-7","2010","Urban Area","Female","1264","0.198029103621799","0.187770452614672","0.208287754628925","5"
"5 on scale 1-7","2010","Rural Area","Female","680","0.222000867601189","0.206916704370728","0.23708503083165","5"
"6 on scale 1-7","2010","Urban Area","Male","1519","0.27918479044233","0.266996654333777","0.291372926550883","6"
"6 on scale 1-7","2010","Urban Area","Female","1572","0.263568930828383","0.25222771541197","0.274910146244796","6"
"6 on scale 1-7","2010","Rural Area","Male","796","0.270861817140538","0.254182266866883","0.287541367414194","6"
"6 on scale 1-7","2010","Rural Area","Female","761","0.248987717287772","0.23329251877756","0.264682915797983","6"
"7 Strongly agree","2010","Urban Area","Male","1084","0.223333655081911","0.212018154348824","0.234649155814999","7"
"7 Strongly agree","2010","Urban Area","Female","1234","0.224571395352934","0.213829162345018","0.235313628360851","7"
"7 Strongly agree","2010","Rural Area","Male","515","0.200597195207532","0.18556747886898","0.215626911546083","7"
"7 Strongly agree","2010","Rural Area","Female","559","0.214270211021511","0.199377565954771","0.229162856088251","7"
"1 Strongly disagree","2011","Urban Area","Male","","","","","1"
"1 Strongly disagree","2011","Urban Area","Female","","","","","1"
"1 Strongly disagree","2011","Rural Area","Male","","","","","1"
"1 Strongly disagree","2011","Rural Area","Female","","","","","1"
"2 on scale 1-7 ","2011","Urban Area","Male","","","","","2"
"2 on scale 1-7 ","2011","Urban Area","Female","","","","","2"
"2 on scale 1-7 ","2011","Rural Area","Male","","","","","2"
"2 on scale 1-7 ","2011","Rural Area","Female","","","","","2"
"3 on scale 1-7 ","2011","Urban Area","Male","","","","","3"
"3 on scale 1-7 ","2011","Rural Area","Male","","","","","3"
"3 on scale 1-7 ","2011","Urban Area","Female","","","","","3"
"3 on scale 1-7 ","2011","Rural Area","Female","","","","","3"
"4 on scale 1-7","2011","Urban Area","Male","","","","","4"
"4 on scale 1-7","2011","Urban Area","Female","","","","","4"
"4 on scale 1-7","2011","Rural Area","Male","","","","","4"
"4 on scale 1-7","2011","Rural Area","Female","","","","","4"
"5 on scale 1-7","2011","Rural Area","Male","","","","","5"
"5 on scale 1-7","2011","Urban Area","Female","","","","","5"
"5 on scale 1-7","2011","Urban Area","Male","","","","","5"
"5 on scale 1-7","2011","Rural Area","Female","","","","","5"
"6 on scale 1-7","2011","Urban Area","Male","","","","","6"
"6 on scale 1-7","2011","Urban Area","Female","","","","","6"
"6 on scale 1-7","2011","Rural Area","Male","","","","","6"
"6 on scale 1-7","2011","Rural Area","Female","","","","","6"
"7 Strongly agree","2011","Urban Area","Male","","","","","7"
"7 Strongly agree","2011","Urban Area","Female","","","","","7"
"7 Strongly agree","2011","Rural Area","Male","","","","","7"
"7 Strongly agree","2011","Rural Area","Female","","","","","7"
"1 Strongly disagree","2012","Urban Area","Male","","","","","1"
"1 Strongly disagree","2012","Urban Area","Female","","","","","1"
"1 Strongly disagree","2012","Rural Area","Male","","","","","1"
"1 Strongly disagree","2012","Rural Area","Female","","","","","1"
"2 on scale 1-7 ","2012","Urban Area","Male","","","","","2"
"2 on scale 1-7 ","2012","Urban Area","Female","","","","","2"
"2 on scale 1-7 ","2012","Rural Area","Male","","","","","2"
"2 on scale 1-7 ","2012","Rural Area","Female","","","","","2"
"3 on scale 1-7 ","2012","Urban Area","Male","","","","","3"
"3 on scale 1-7 ","2012","Urban Area","Female","","","","","3"
"3 on scale 1-7 ","2012","Rural Area","Male","","","","","3"
"3 on scale 1-7 ","2012","Rural Area","Female","","","","","3"
"4 on scale 1-7","2012","Urban Area","Male","","","","","4"
"4 on scale 1-7","2012","Urban Area","Female","","","","","4"
"4 on scale 1-7","2012","Rural Area","Male","","","","","4"
"4 on scale 1-7","2012","Rural Area","Female","","","","","4"
"5 on scale 1-7","2012","Urban Area","Male","","","","","5"
"5 on scale 1-7","2012","Urban Area","Female","","","","","5"
"5 on scale 1-7","2012","Rural Area","Male","","","","","5"
"5 on scale 1-7","2012","Rural Area","Female","","","","","5"
"6 on scale 1-7","2012","Urban Area","Male","","","","","6"
"6 on scale 1-7","2012","Urban Area","Female","","","","","6"
"6 on scale 1-7","2012","Rural Area","Male","","","","","6"
"6 on scale 1-7","2012","Rural Area","Female","","","","","6"
"7 Strongly agree","2012","Urban Area","Male","","","","","7"
"7 Strongly agree","2012","Urban Area","Female","","","","","7"
"7 Strongly agree","2012","Rural Area","Male","","","","","7"
"7 Strongly agree","2012","Rural Area","Female","","","","","7"
"1 Strongly disagree","2013","Urban Area","Male","","","","","1"
"1 Strongly disagree","2013","Urban Area","Female","","","","","1"
"1 Strongly disagree","2013","Rural Area","Male","","","","","1"
"1 Strongly disagree","2013","Rural Area","Female","","","","","1"
"2 on scale 1-7 ","2013","Urban Area","Male","","","","","2"
"2 on scale 1-7 ","2013","Urban Area","Female","","","","","2"
"2 on scale 1-7 ","2013","Rural Area","Male","","","","","2"
"2 on scale 1-7 ","2013","Rural Area","Female","","","","","2"
"3 on scale 1-7 ","2013","Urban Area","Male","","","","","3"
"3 on scale 1-7 ","2013","Rural Area","Female","","","","","3"
"3 on scale 1-7 ","2013","Rural Area","Male","","","","","3"
"3 on scale 1-7 ","2013","Urban Area","Female","","","","","3"
"4 on scale 1-7","2013","Urban Area","Male","","","","","4"
"4 on scale 1-7","2013","Urban Area","Female","","","","","4"
"4 on scale 1-7","2013","Rural Area","Male","","","","","4"
"4 on scale 1-7","2013","Rural Area","Female","","","","","4"
"5 on scale 1-7","2013","Urban Area","Male","","","","","5"
"5 on scale 1-7","2013","Rural Area","Male","","","","","5"
"5 on scale 1-7","2013","Urban Area","Female","","","","","5"
"5 on scale 1-7","2013","Rural Area","Female","","","","","5"
"6 on scale 1-7","2013","Urban Area","Male","","","","","6"
"6 on scale 1-7","2013","Urban Area","Female","","","","","6"
"6 on scale 1-7","2013","Rural Area","Male","","","","","6"
"6 on scale 1-7","2013","Rural Area","Female","","","","","6"
"7 Strongly agree","2013","Urban Area","Male","","","","","7"
"7 Strongly agree","2013","Urban Area","Female","","","","","7"
"7 Strongly agree","2013","Rural Area","Male","","","","","7"
"7 Strongly agree","2013","Rural Area","Female","","","","","7"
"1 Strongly disagree","2014","Urban Area","Male","","","","","1"
"1 Strongly disagree","2014","Urban Area","Female","","","","","1"
"1 Strongly disagree","2014","Rural Area","Male","","","","","1"
"1 Strongly disagree","2014","Rural Area","Female","","","","","1"
"2 on scale 1-7 ","2014","Urban Area","Male","","","","","2"
"2 on scale 1-7 ","2014","Urban Area","Female","","","","","2"
"2 on scale 1-7 ","2014","Rural Area","Male","","","","","2"
"2 on scale 1-7 ","2014","Rural Area","Female","","","","","2"
"3 on scale 1-7 ","2014","Urban Area","Male","","","","","3"
"3 on scale 1-7 ","2014","Rural Area","Male","","","","","3"
"3 on scale 1-7 ","2014","Urban Area","Female","","","","","3"
"3 on scale 1-7 ","2014","Rural Area","Female","","","","","3"
"4 on scale 1-7","2014","Urban Area","Male","","","","","4"
"4 on scale 1-7","2014","Rural Area","Female","","","","","4"
"4 on scale 1-7","2014","Urban Area","Female","","","","","4"
"4 on scale 1-7","2014","Rural Area","Male","","","","","4"
"5 on scale 1-7","2014","Urban Area","Female","","","","","5"
"5 on scale 1-7","2014","Urban Area","Male","","","","","5"
"5 on scale 1-7","2014","Rural Area","Male","","","","","5"
"5 on scale 1-7","2014","Rural Area","Female","","","","","5"
"6 on scale 1-7","2014","Urban Area","Male","","","","","6"
"6 on scale 1-7","2014","Urban Area","Female","","","","","6"
"6 on scale 1-7","2014","Rural Area","Male","","","","","6"
"6 on scale 1-7","2014","Rural Area","Female","","","","","6"
