"plh0206i06","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","(0) in school","","","",""
"1 Strongly disagree","2005","no migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","no migration background","(1b) general elementary school","78","0.07587198734137","0.0610012930940172","0.0907426815887228"
"1 Strongly disagree","2005","no migration background","(1c) basic vocational qualification","156","0.0409777795043991","0.0354226599198773","0.0465328990889209"
"1 Strongly disagree","2005","no migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","no migration background","(2a) intermediate vocational","97","0.022784391192329","0.0184357987269251","0.0271329836577328"
"1 Strongly disagree","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","no migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","no migration background","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","direct migration background","(0) in school","","","",""
"1 Strongly disagree","2005","direct migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","direct migration background","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","direct migration background","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","direct migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","direct migration background","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","direct migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","direct migration background","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","indirect migration background","(0) in school","","","",""
"1 Strongly disagree","2005","indirect migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","indirect migration background","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","indirect migration background","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","indirect migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","indirect migration background","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2005","no migration background","(0) in school","","","",""
"2 on scale 1-7 ","2005","no migration background","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","no migration background","(1b) general elementary school","42","0.0329237677626912","0.0229028022714527","0.0429447332539297"
"2 on scale 1-7 ","2005","no migration background","(1c) basic vocational qualification","157","0.0274628034834372","0.0228831732709759","0.0320424336958984"
"2 on scale 1-7 ","2005","no migration background","(2b) intermediate general qualification","","","",""
