"plh0206i06","year","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","325","0.0295771728509165","0.0267536205762994","0.0324007251255335"
"1 Strongly disagree","2005","Rural Area","177","0.0335010358846891","0.0292323444415498","0.0377697273278284"
"2 on scale 1-7 ","2005","Urban Area","399","0.0277664476885731","0.0250281386232854","0.0305047567538608"
"2 on scale 1-7 ","2005","Rural Area","237","0.0356512484053944","0.0312525986600476","0.0400498981507412"
"3 on scale 1-7 ","2005","Urban Area","760","0.0546190091648623","0.0508318605985224","0.0584061577312022"
"3 on scale 1-7 ","2005","Rural Area","394","0.0594609151381836","0.0538508336780732","0.0650709965982939"
"4 on scale 1-7","2005","Urban Area","2233","0.166208565237462","0.160004270571266","0.172412859903657"
"4 on scale 1-7","2005","Rural Area","1121","0.163418314470073","0.154646902910638","0.172189726029508"
"5 on scale 1-7","2005","Urban Area","3133","0.221393094583042","0.214473539642633","0.228312649523452"
"5 on scale 1-7","2005","Rural Area","1488","0.213460311703682","0.203739918355824","0.22318070505154"
"6 on scale 1-7","2005","Urban Area","3620","0.251713087225597","0.24447999547779","0.258946178973403"
"6 on scale 1-7","2005","Rural Area","1829","0.259316803792097","0.248920079550657","0.269713528033536"
"7 Strongly agree","2005","Urban Area","3360","0.248722623249547","0.241518273285608","0.255926973213487"
"7 Strongly agree","2005","Rural Area","1580","0.235191370605881","0.225130118523266","0.245252622688496"
"1 Strongly disagree","2006","Urban Area","","","",""
"1 Strongly disagree","2006","Rural Area","","","",""
"2 on scale 1-7 ","2006","Urban Area","","","",""
"2 on scale 1-7 ","2006","Rural Area","","","",""
"3 on scale 1-7 ","2006","Urban Area","","","",""
"3 on scale 1-7 ","2006","Rural Area","","","",""
"4 on scale 1-7","2006","Urban Area","","","",""
"4 on scale 1-7","2006","Rural Area","","","",""
"5 on scale 1-7","2006","Urban Area","","","",""
"5 on scale 1-7","2006","Rural Area","","","",""
"6 on scale 1-7","2006","Urban Area","","","",""
"6 on scale 1-7","2006","Rural Area","","","",""
"7 Strongly agree","2006","Urban Area","","","",""
"7 Strongly agree","2006","Rural Area","","","",""
"1 Strongly disagree","2007","Urban Area","","","",""
"1 Strongly disagree","2007","Rural Area","","","",""
"2 on scale 1-7 ","2007","Urban Area","","","",""
"2 on scale 1-7 ","2007","Rural Area","","","",""
"3 on scale 1-7 ","2007","Urban Area","","","",""
"3 on scale 1-7 ","2007","Rural Area","","","",""
"4 on scale 1-7","2007","Urban Area","","","",""
"4 on scale 1-7","2007","Rural Area","","","",""
"5 on scale 1-7","2007","Urban Area","","","",""
"5 on scale 1-7","2007","Rural Area","","","",""
"6 on scale 1-7","2007","Urban Area","","","",""
"6 on scale 1-7","2007","Rural Area","","","",""
"7 Strongly agree","2007","Urban Area","","","",""
"7 Strongly agree","2007","Rural Area","","","",""
"1 Strongly disagree","2008","Urban Area","","","",""
"1 Strongly disagree","2008","Rural Area","","","",""
"2 on scale 1-7 ","2008","Urban Area","","","",""
"2 on scale 1-7 ","2008","Rural Area","","","",""
"3 on scale 1-7 ","2008","Urban Area","","","",""
"3 on scale 1-7 ","2008","Rural Area","","","",""
"4 on scale 1-7","2008","Urban Area","","","",""
"4 on scale 1-7","2008","Rural Area","","","",""
"5 on scale 1-7","2008","Urban Area","","","",""
"5 on scale 1-7","2008","Rural Area","","","",""
"6 on scale 1-7","2008","Urban Area","","","",""
"6 on scale 1-7","2008","Rural Area","","","",""
"7 Strongly agree","2008","Urban Area","","","",""
"7 Strongly agree","2008","Rural Area","","","",""
"1 Strongly disagree","2009","Urban Area","","","",""
"1 Strongly disagree","2009","Rural Area","","","",""
"2 on scale 1-7 ","2009","Urban Area","","","",""
"2 on scale 1-7 ","2009","Rural Area","","","",""
"3 on scale 1-7 ","2009","Urban Area","","","",""
"3 on scale 1-7 ","2009","Rural Area","","","",""
"4 on scale 1-7","2009","Urban Area","","","",""
"4 on scale 1-7","2009","Rural Area","","","",""
"5 on scale 1-7","2009","Urban Area","","","",""
"5 on scale 1-7","2009","Rural Area","","","",""
"6 on scale 1-7","2009","Urban Area","","","",""
"6 on scale 1-7","2009","Rural Area","","","",""
"7 Strongly agree","2009","Urban Area","","","",""
"7 Strongly agree","2009","Rural Area","","","",""
"1 Strongly disagree","2010","Urban Area","285","0.0278144011171071","0.0247415504357887","0.0308872517984254"
"1 Strongly disagree","2010","Rural Area","140","0.0260529497621768","0.0218968191232969","0.0302090804010568"
"2 on scale 1-7 ","2010","Urban Area","386","0.0322873030924164","0.0289842077194553","0.0355903984653776"
"2 on scale 1-7 ","2010","Rural Area","184","0.0300239086504748","0.0255713751503538","0.0344764421505957"
"3 on scale 1-7 ","2010","Urban Area","706","0.0676027516932155","0.0629112196474699","0.072294283738961"
"3 on scale 1-7 ","2010","Rural Area","371","0.0646340286164098","0.0582187656653274","0.0710492915674922"
"4 on scale 1-7","2010","Urban Area","1704","0.157927229296126","0.151112708380539","0.164741750211714"
"4 on scale 1-7","2010","Rural Area","965","0.180227932607749","0.170199093257985","0.190256771957512"
"5 on scale 1-7","2010","Urban Area","2511","0.219129797437216","0.211399928102187","0.226859666772246"
"5 on scale 1-7","2010","Rural Area","1352","0.231736966740204","0.22072802196294","0.242745911517468"
"6 on scale 1-7","2010","Urban Area","3091","0.27127816973347","0.262969713778015","0.279586625688926"
"6 on scale 1-7","2010","Rural Area","1557","0.259833397024879","0.248391308743878","0.27127548530588"
"7 Strongly agree","2010","Urban Area","2318","0.223960347630448","0.216169951681392","0.231750743579505"
"7 Strongly agree","2010","Rural Area","1074","0.207490816598107","0.19691059759114","0.218071035605075"
"1 Strongly disagree","2011","Urban Area","","","",""
"1 Strongly disagree","2011","Rural Area","","","",""
"2 on scale 1-7 ","2011","Urban Area","","","",""
"2 on scale 1-7 ","2011","Rural Area","","","",""
"3 on scale 1-7 ","2011","Urban Area","","","",""
"3 on scale 1-7 ","2011","Rural Area","","","",""
"4 on scale 1-7","2011","Urban Area","","","",""
"4 on scale 1-7","2011","Rural Area","","","",""
"5 on scale 1-7","2011","Urban Area","","","",""
"5 on scale 1-7","2011","Rural Area","","","",""
"6 on scale 1-7","2011","Urban Area","","","",""
"6 on scale 1-7","2011","Rural Area","","","",""
"7 Strongly agree","2011","Urban Area","","","",""
"7 Strongly agree","2011","Rural Area","","","",""
"1 Strongly disagree","2012","Urban Area","","","",""
"1 Strongly disagree","2012","Rural Area","","","",""
"2 on scale 1-7 ","2012","Urban Area","","","",""
