"plh0206i06","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","in school","","","",""
"1 Strongly disagree","2005","1-pers.-HH","inadequately","4","","",""
"1 Strongly disagree","2005","1-pers.-HH","general elemantary","21","","",""
"1 Strongly disagree","2005","1-pers.-HH","middle vocational","42","0.0270342049256925","0.0189287851728936","0.0351396246784915"
"1 Strongly disagree","2005","1-pers.-HH","vocational + Abi","5","","",""
"1 Strongly disagree","2005","1-pers.-HH","higher vocational","9","","",""
"1 Strongly disagree","2005","1-pers.-HH","higher education","1","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","in school","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","inadequately","4","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","general elemantary","33","0.0534684494247573","0.0366583526282742","0.0702785462212405"
"1 Strongly disagree","2005","(Married) couple without C. ","middle vocational","101","0.0332489158926731","0.0274318064066768","0.0390660253786694"
"1 Strongly disagree","2005","(Married) couple without C. ","vocational + Abi","4","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","higher vocational","10","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","higher education","11","","",""
"1 Strongly disagree","2005","Single parent ","in school","5","","",""
"1 Strongly disagree","2005","Single parent ","inadequately","1","","",""
"1 Strongly disagree","2005","Single parent ","general elemantary","8","","",""
"1 Strongly disagree","2005","Single parent ","middle vocational","14","","",""
"1 Strongly disagree","2005","Single parent ","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Single parent ","higher vocational","3","","",""
"1 Strongly disagree","2005","Single parent ","higher education","2","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","in school","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","inadequately","5","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","general elemantary","14","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","middle vocational","46","0.0369101031270145","0.0282906168949175","0.0455295893591116"
"1 Strongly disagree","2005","Couple + C. LE 16 ","vocational + Abi","6","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher vocational","11","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher education","5","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","in school","5","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","inadequately","6","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","general elemantary","14","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","middle vocational","33","0.0188923408148196","0.0125498086740051","0.025234872955634"
"1 Strongly disagree","2005","Couple + C. GT 16 ","vocational + Abi","","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher vocational","6","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher education","4","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","in school","11","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","inadequately","1","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","general elemantary","4","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","middle vocational","19","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher vocational","","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher education","","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","in school","","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","inadequately","1","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","general elemantary","14","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","middle vocational","45","0.0260661923965653","0.0181032524163849","0.0340291323767458"
"2 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","6","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","higher vocational","4","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","higher education","13","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","3","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","25","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","93","0.0259109967841632","0.0207563069313404","0.031065686636986"
"2 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","8","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","14","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher education","32","0.0267895319796456","0.019010330119767","0.0345687338395242"
"2 on scale 1-7 ","2005","Single parent ","in school","6","","",""
"2 on scale 1-7 ","2005","Single parent ","inadequately","","","",""
"2 on scale 1-7 ","2005","Single parent ","general elemantary","12","","",""
"2 on scale 1-7 ","2005","Single parent ","middle vocational","23","","",""
"2 on scale 1-7 ","2005","Single parent ","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Single parent ","higher vocational","1","","",""
"2 on scale 1-7 ","2005","Single parent ","higher education","1","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","3","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","15","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","88","0.0379687151731585","0.029231301743383","0.046706128602934"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","8","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","15","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","20","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","12","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","22","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","59","0.0336905776661372","0.0252848794502828","0.0420962758819916"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","5","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","2","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","8","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","5","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","1","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","9","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","21","","",""
