"plh0206i06","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","1-pers.-HH","12","","",""
"1 Strongly disagree","2005","16-34 y.","(Married) couple without C. ","19","","",""
"1 Strongly disagree","2005","16-34 y.","Single parent ","17","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE 16 ","28","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. GT 16 ","26","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE and GT 16","20","","",""
"1 Strongly disagree","2005","35-65 y.","1-pers.-HH","34","0.0307202195729002","0.0209160380239007","0.0405244011218998"
"1 Strongly disagree","2005","35-65 y.","(Married) couple without C. ","73","0.0266684073965215","0.0214889917912156","0.0318478230018274"
"1 Strongly disagree","2005","35-65 y.","Single parent ","16","","",""
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE 16 ","59","0.0270505080089338","0.0208254427002662","0.0332755733176014"
"1 Strongly disagree","2005","35-65 y.","Couple + C. GT 16 ","42","0.0238163345517988","0.0173501112818732","0.0302825578217244"
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE and GT 16","23","","",""
"1 Strongly disagree","2005","66 and older","1-pers.-HH","37","0.0423649245507479","0.030290610171751","0.0544392389297447"
"1 Strongly disagree","2005","66 and older","(Married) couple without C. ","73","0.0375797817216861","0.0298775932554251","0.0452819701879472"
"1 Strongly disagree","2005","66 and older","Single parent ","2","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. GT 16 ","3","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","16","","",""
"2 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","28","","",""
"2 on scale 1-7 ","2005","16-34 y.","Single parent ","21","","",""
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","45","0.0309701875573708","0.0206811527103465","0.0412592224043951"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","54","0.0321917201460472","0.0227339927341265","0.0416494475579678"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","20","","",""
"2 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","36","0.0271903880050519","0.0179498716646918","0.0364309043454119"
"2 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","93","0.0289578033516017","0.0235669977739473","0.0343486089292561"
"2 on scale 1-7 ","2005","35-65 y.","Single parent ","21","","",""
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","106","0.03570126341427","0.0285816134357749","0.042820913392765"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","56","0.0322285131964412","0.0247389927046916","0.0397180336881908"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","27","","",""
"2 on scale 1-7 ","2005","66 and older","1-pers.-HH","32","0.0305645600909255","0.0202457942029945","0.0408833259788565"
"2 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","56","0.0237845027329241","0.01761323294887","0.0299557725169781"
"2 on scale 1-7 ","2005","66 and older","Single parent ","3","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","3","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","45","0.0577667465181612","0.0404217643946111","0.0751117286417114"
"3 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","49","0.0514057688771994","0.0373488515193786","0.0654626862350202"
"3 on scale 1-7 ","2005","16-34 y.","Single parent ","35","0.070154918284988","0.046890512936186","0.0934193236337899"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","66","0.0674887573488456","0.052589078582223","0.0823884361154682"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","92","0.0746057103209475","0.0605267859251951","0.0886846347166998"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","52","0.0834473261584049","0.0619200843483498","0.10497456796846"
"3 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","51","0.0478857605466799","0.0357540417476531","0.0600174793457067"
"3 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","193","0.048529880775545","0.0416218542007996","0.0554379073502904"
"3 on scale 1-7 ","2005","35-65 y.","Single parent ","36","0.0543087171242641","0.0357366800662784","0.0728807541822498"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","142","0.0485372350459773","0.0402912134775468","0.0567832566144078"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","115","0.0575255233942986","0.0476510815782623","0.067399965210335"
