"plh0206i06","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Male","51","0.0232726830602256","0.0174117034226698","0.0291336626977813"
"1 Strongly disagree","2005","16-34 y.","Female","76","0.0303529262674233","0.0239641844823613","0.0367416680524854"
"1 Strongly disagree","2005","35-65 y.","Male","103","0.0246447415858499","0.0205891385817794","0.0287003445899204"
"1 Strongly disagree","2005","35-65 y.","Female","149","0.0321380995210069","0.0276639129044057","0.036612286137608"
"1 Strongly disagree","2005","66 and older","Male","51","0.0392368318683922","0.0300717869072819","0.0484018768295026"
"1 Strongly disagree","2005","66 and older","Female","72","0.0429014455424244","0.0341017657406961","0.0517011253441526"
"2 on scale 1-7 ","2005","16-34 y.","Male","79","0.0280022116406694","0.0215887998906465","0.0344156233906922"
"2 on scale 1-7 ","2005","16-34 y.","Female","110","0.0372096541671777","0.0301610700535712","0.0442582382807843"
"2 on scale 1-7 ","2005","35-65 y.","Male","148","0.0265937167053648","0.0223850117767398","0.0308024216339899"
"2 on scale 1-7 ","2005","35-65 y.","Female","202","0.0351634025399964","0.0304906838947509","0.039836121185242"
"2 on scale 1-7 ","2005","66 and older","Male","33","0.0191155853285562","0.0126518706472222","0.0255793000098902"
"2 on scale 1-7 ","2005","66 and older","Female","64","0.03090939399843","0.0233935109498284","0.0384252770470315"
"3 on scale 1-7 ","2005","16-34 y.","Male","161","0.0575527295727573","0.0484991189733364","0.0666063401721782"
"3 on scale 1-7 ","2005","16-34 y.","Female","185","0.0744469611226792","0.0646716103694582","0.0842223118759002"
"3 on scale 1-7 ","2005","35-65 y.","Male","278","0.0499537480220049","0.0442551463553393","0.0556523496886704"
"3 on scale 1-7 ","2005","35-65 y.","Female","334","0.0529057190067275","0.0472270674757148","0.0585843705377402"
"3 on scale 1-7 ","2005","66 and older","Male","88","0.0543255463965294","0.0436263209095388","0.0650247718835199"
"3 on scale 1-7 ","2005","66 and older","Female","108","0.0573989410170971","0.0472978454930446","0.0675000365411497"
"4 on scale 1-7","2005","16-34 y.","Male","442","0.178637043854163","0.163746394547111","0.193527693161216"
"4 on scale 1-7","2005","16-34 y.","Female","495","0.183541566132515","0.169125642836522","0.197957489428508"
"4 on scale 1-7","2005","35-65 y.","Male","853","0.157580303883554","0.148049553179791","0.167111054587316"
"4 on scale 1-7","2005","35-65 y.","Female","933","0.155052226266885","0.145869931341391","0.164234521192379"
"4 on scale 1-7","2005","66 and older","Male","266","0.153126478358417","0.136127849773139","0.170125106943694"
"4 on scale 1-7","2005","66 and older","Female","365","0.180143379571779","0.163454365396566","0.196832393746993"
"5 on scale 1-7","2005","16-34 y.","Male","664","0.243808401186379","0.227116701006106","0.260500101366651"
"5 on scale 1-7","2005","16-34 y.","Female","612","0.224292898250062","0.208759558132608","0.239826238367517"
"5 on scale 1-7","2005","35-65 y.","Male","1314","0.230370535892875","0.219356000164992","0.241385071620758"
"5 on scale 1-7","2005","35-65 y.","Female","1271","0.207259693348018","0.196976684787083","0.217542701908952"
"5 on scale 1-7","2005","66 and older","Male","354","0.208105843365546","0.188943211039038","0.227268475692054"
"5 on scale 1-7","2005","66 and older","Female","406","0.196273746030539","0.179025785103361","0.213521706957717"
"6 on scale 1-7","2005","16-34 y.","Male","622","0.259686199077714","0.242641369016965","0.276731029138464"
"6 on scale 1-7","2005","16-34 y.","Female","736","0.254748289274187","0.238522144915851","0.270974433632523"
"6 on scale 1-7","2005","35-65 y.","Male","1549","0.264576745257554","0.253038058040935","0.276115432474173"
"6 on scale 1-7","2005","35-65 y.","Female","1595","0.256640407737022","0.245559909350875","0.267720906123169"
"6 on scale 1-7","2005","66 and older","Male","455","0.252562541489263","0.232053216855851","0.273071866122674"
"6 on scale 1-7","2005","66 and older","Female","492","0.221476996790679","0.203444634921391","0.239509358659967"
"7 Strongly agree","2005","16-34 y.","Male","523","0.209040731608091","0.193233608488329","0.224847854727854"
"7 Strongly agree","2005","16-34 y.","Female","556","0.195407704785956","0.180641564741285","0.210173844830626"
"7 Strongly agree","2005","35-65 y.","Male","1369","0.246280208652798","0.23501000917577","0.257550408129825"
"7 Strongly agree","2005","35-65 y.","Female","1485","0.260840451580345","0.249701254981204","0.271979648179485"
"7 Strongly agree","2005","66 and older","Male","477","0.273527173193297","0.252485058371222","0.294569288015372"
"7 Strongly agree","2005","66 and older","Female","530","0.270896097049052","0.251596481316205","0.290195712781898"
"1 Strongly disagree","2006","16-34 y.","Male","","","",""
"1 Strongly disagree","2006","16-34 y.","Female","","","",""
"1 Strongly disagree","2006","35-65 y.","Male","","","",""
"1 Strongly disagree","2006","35-65 y.","Female","","","",""
"1 Strongly disagree","2006","66 and older","Male","","","",""
"1 Strongly disagree","2006","66 and older","Female","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2006","66 and older","Male","","","",""
"2 on scale 1-7 ","2006","66 and older","Female","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2006","66 and older","Male","","","",""
"3 on scale 1-7 ","2006","66 and older","Female","","","",""
"4 on scale 1-7","2006","16-34 y.","Male","","","",""
"4 on scale 1-7","2006","16-34 y.","Female","","","",""
"4 on scale 1-7","2006","35-65 y.","Male","","","",""
"4 on scale 1-7","2006","35-65 y.","Female","","","",""
"4 on scale 1-7","2006","66 and older","Male","","","",""
"4 on scale 1-7","2006","66 and older","Female","","","",""
"5 on scale 1-7","2006","16-34 y.","Male","","","",""
"5 on scale 1-7","2006","16-34 y.","Female","","","",""
"5 on scale 1-7","2006","35-65 y.","Male","","","",""
"5 on scale 1-7","2006","35-65 y.","Female","","","",""
"5 on scale 1-7","2006","66 and older","Male","","","",""
"5 on scale 1-7","2006","66 and older","Female","","","",""
"6 on scale 1-7","2006","16-34 y.","Male","","","",""
"6 on scale 1-7","2006","16-34 y.","Female","","","",""
"6 on scale 1-7","2006","35-65 y.","Male","","","",""
"6 on scale 1-7","2006","35-65 y.","Female","","","",""
"6 on scale 1-7","2006","66 and older","Male","","","",""
"6 on scale 1-7","2006","66 and older","Female","","","",""
"7 Strongly agree","2006","16-34 y.","Male","","","",""
"7 Strongly agree","2006","16-34 y.","Female","","","",""
"7 Strongly agree","2006","35-65 y.","Male","","","",""
"7 Strongly agree","2006","35-65 y.","Female","","","",""
"7 Strongly agree","2006","66 and older","Male","","","",""
"7 Strongly agree","2006","66 and older","Female","","","",""
"1 Strongly disagree","2007","16-34 y.","Male","","","",""
"1 Strongly disagree","2007","16-34 y.","Female","","","",""
"1 Strongly disagree","2007","35-65 y.","Male","","","",""
"1 Strongly disagree","2007","35-65 y.","Female","","","",""
"1 Strongly disagree","2007","66 and older","Male","","","",""
"1 Strongly disagree","2007","66 and older","Female","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2007","66 and older","Male","","","",""
"2 on scale 1-7 ","2007","66 and older","Female","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2007","66 and older","Male","","","",""
"3 on scale 1-7 ","2007","66 and older","Female","","","",""
"4 on scale 1-7","2007","16-34 y.","Male","","","",""
"4 on scale 1-7","2007","16-34 y.","Female","","","",""
"4 on scale 1-7","2007","35-65 y.","Male","","","",""
"4 on scale 1-7","2007","35-65 y.","Female","","","",""
"4 on scale 1-7","2007","66 and older","Male","","","",""
"4 on scale 1-7","2007","66 and older","Female","","","",""
"5 on scale 1-7","2007","16-34 y.","Male","","","",""
"5 on scale 1-7","2007","16-34 y.","Female","","","",""
"5 on scale 1-7","2007","35-65 y.","Male","","","",""
"5 on scale 1-7","2007","35-65 y.","Female","","","",""
"5 on scale 1-7","2007","66 and older","Male","","","",""
"5 on scale 1-7","2007","66 and older","Female","","","",""
"6 on scale 1-7","2007","16-34 y.","Male","","","",""
"6 on scale 1-7","2007","16-34 y.","Female","","","",""
"6 on scale 1-7","2007","35-65 y.","Male","","","",""
"6 on scale 1-7","2007","35-65 y.","Female","","","",""
"6 on scale 1-7","2007","66 and older","Male","","","",""
"6 on scale 1-7","2007","66 and older","Female","","","",""
"7 Strongly agree","2007","16-34 y.","Male","","","",""
"7 Strongly agree","2007","16-34 y.","Female","","","",""
"7 Strongly agree","2007","35-65 y.","Male","","","",""
"7 Strongly agree","2007","35-65 y.","Female","","","",""
"7 Strongly agree","2007","66 and older","Male","","","",""
"7 Strongly agree","2007","66 and older","Female","","","",""
"1 Strongly disagree","2008","16-34 y.","Male","","","",""
"1 Strongly disagree","2008","16-34 y.","Female","","","",""
"1 Strongly disagree","2008","35-65 y.","Male","","","",""
"1 Strongly disagree","2008","35-65 y.","Female","","","",""
"1 Strongly disagree","2008","66 and older","Male","","","",""
"1 Strongly disagree","2008","66 and older","Female","","","",""
"2 on scale 1-7 ","2008","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2008","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2008","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2008","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2008","66 and older","Male","","","",""
"2 on scale 1-7 ","2008","66 and older","Female","","","",""
"3 on scale 1-7 ","2008","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2008","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2008","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2008","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2008","66 and older","Male","","","",""
"3 on scale 1-7 ","2008","66 and older","Female","","","",""
"4 on scale 1-7","2008","16-34 y.","Male","","","",""
"4 on scale 1-7","2008","16-34 y.","Female","","","",""
"4 on scale 1-7","2008","35-65 y.","Male","","","",""
"4 on scale 1-7","2008","35-65 y.","Female","","","",""
"4 on scale 1-7","2008","66 and older","Male","","","",""
"4 on scale 1-7","2008","66 and older","Female","","","",""
"5 on scale 1-7","2008","16-34 y.","Male","","","",""
"5 on scale 1-7","2008","16-34 y.","Female","","","",""
"5 on scale 1-7","2008","35-65 y.","Male","","","",""
"5 on scale 1-7","2008","35-65 y.","Female","","","",""
"5 on scale 1-7","2008","66 and older","Male","","","",""
"5 on scale 1-7","2008","66 and older","Female","","","",""
"6 on scale 1-7","2008","16-34 y.","Male","","","",""
"6 on scale 1-7","2008","16-34 y.","Female","","","",""
"6 on scale 1-7","2008","35-65 y.","Male","","","",""
"6 on scale 1-7","2008","35-65 y.","Female","","","",""
"6 on scale 1-7","2008","66 and older","Male","","","",""
"6 on scale 1-7","2008","66 and older","Female","","","",""
"7 Strongly agree","2008","16-34 y.","Male","","","",""
"7 Strongly agree","2008","16-34 y.","Female","","","",""
"7 Strongly agree","2008","35-65 y.","Male","","","",""
"7 Strongly agree","2008","35-65 y.","Female","","","",""
"7 Strongly agree","2008","66 and older","Male","","","",""
"7 Strongly agree","2008","66 and older","Female","","","",""
"1 Strongly disagree","2009","16-34 y.","Male","","","",""
"1 Strongly disagree","2009","16-34 y.","Female","","","",""
"1 Strongly disagree","2009","35-65 y.","Male","","","",""
"1 Strongly disagree","2009","35-65 y.","Female","","","",""
"1 Strongly disagree","2009","66 and older","Male","","","",""
"1 Strongly disagree","2009","66 and older","Female","","","",""
"2 on scale 1-7 ","2009","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2009","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2009","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2009","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2009","66 and older","Male","","","",""
"2 on scale 1-7 ","2009","66 and older","Female","","","",""
"3 on scale 1-7 ","2009","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2009","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2009","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2009","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2009","66 and older","Male","","","",""
"3 on scale 1-7 ","2009","66 and older","Female","","","",""
"4 on scale 1-7","2009","16-34 y.","Male","","","",""
"4 on scale 1-7","2009","16-34 y.","Female","","","",""
"4 on scale 1-7","2009","35-65 y.","Male","","","",""
"4 on scale 1-7","2009","35-65 y.","Female","","","",""
"4 on scale 1-7","2009","66 and older","Male","","","",""
"4 on scale 1-7","2009","66 and older","Female","","","",""
"5 on scale 1-7","2009","16-34 y.","Male","","","",""
"5 on scale 1-7","2009","16-34 y.","Female","","","",""
"5 on scale 1-7","2009","35-65 y.","Male","","","",""
"5 on scale 1-7","2009","35-65 y.","Female","","","",""
"5 on scale 1-7","2009","66 and older","Male","","","",""
"5 on scale 1-7","2009","66 and older","Female","","","",""
"6 on scale 1-7","2009","16-34 y.","Male","","","",""
"6 on scale 1-7","2009","16-34 y.","Female","","","",""
"6 on scale 1-7","2009","35-65 y.","Male","","","",""
"6 on scale 1-7","2009","35-65 y.","Female","","","",""
"6 on scale 1-7","2009","66 and older","Male","","","",""
"6 on scale 1-7","2009","66 and older","Female","","","",""
"7 Strongly agree","2009","16-34 y.","Male","","","",""
"7 Strongly agree","2009","16-34 y.","Female","","","",""
"7 Strongly agree","2009","35-65 y.","Male","","","",""
"7 Strongly agree","2009","35-65 y.","Female","","","",""
"7 Strongly agree","2009","66 and older","Male","","","",""
"7 Strongly agree","2009","66 and older","Female","","","",""
"1 Strongly disagree","2010","16-34 y.","Male","34","0.0231745284900193","0.0160640666705828","0.0302849903094558"
