"plh0206i06","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","83","0.0316785965426738","0.025362691707513","0.0379945013778347"
"1 Strongly disagree","2005","(Married) couple without C. ","165","0.0295579582170407","0.0255924025642402","0.0335235138698412"
"1 Strongly disagree","2005","Single parent ","35","0.0406852352555328","0.0289891158298588","0.0523813546812067"
"1 Strongly disagree","2005","Couple + C. LE 16 ","87","0.0334012002178448","0.0276131266034832","0.0391892738322063"
"1 Strongly disagree","2005","Couple + C. GT 16 ","71","0.0241927000279863","0.0191999370953666","0.0291854629606061"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","43","0.0297111078607308","0.0216494706791105","0.0377727450423512"
"2 on scale 1-7 ","2005","1-pers.-HH","84","0.0261676848258172","0.0204110645020919","0.0319243051495425"
"2 on scale 1-7 ","2005","(Married) couple without C. ","177","0.0270004784318903","0.0232053709908132","0.0307955858729673"
"2 on scale 1-7 ","2005","Single parent ","45","0.0440871090151067","0.0319334293990422","0.0562407886311712"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","151","0.0341521537534596","0.028301649624716","0.0400026578822032"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","113","0.0313317619162219","0.0256707159347512","0.0369928078976927"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","47","0.0353174495268945","0.0265534938223229","0.0440814052314661"
"3 on scale 1-7 ","2005","1-pers.-HH","147","0.0513982096275606","0.0434355379091353","0.0593608813459859"
"3 on scale 1-7 ","2005","(Married) couple without C. ","369","0.0529192996487279","0.0476774740238082","0.0581611252736477"
"3 on scale 1-7 ","2005","Single parent ","73","0.0595351272048425","0.0455263332909447","0.0735439211187402"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","208","0.0545274618655474","0.0472133434942248","0.0618415802368699"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","218","0.0651322889650752","0.0571138469269145","0.073150731003236"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","115","0.0757992944508147","0.0632323693911131","0.0883662195105163"
"4 on scale 1-7","2005","1-pers.-HH","477","0.167084925408966","0.153632151566676","0.180537699251256"
