"plh0206i06","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","in school","22","","",""
"1 Strongly disagree","2005","16-34 y.","inadequately","6","","",""
"1 Strongly disagree","2005","16-34 y.","general elemantary","23","","",""
"1 Strongly disagree","2005","16-34 y.","middle vocational","51","0.0268929085740663","0.0203299921822826","0.0334558249658501"
"1 Strongly disagree","2005","16-34 y.","vocational + Abi","7","","",""
"1 Strongly disagree","2005","16-34 y.","higher vocational","4","","",""
"1 Strongly disagree","2005","16-34 y.","higher education","3","","",""
"1 Strongly disagree","2005","35-65 y.","in school","","","",""
"1 Strongly disagree","2005","35-65 y.","inadequately","13","","",""
"1 Strongly disagree","2005","35-65 y.","general elemantary","39","0.0655147769763715","0.0485586253377991","0.082470928614944"
"1 Strongly disagree","2005","35-65 y.","middle vocational","150","0.0296135793793017","0.0253091493891434","0.0339180093694601"
"1 Strongly disagree","2005","35-65 y.","vocational + Abi","12","","",""
"1 Strongly disagree","2005","35-65 y.","higher vocational","24","","",""
"1 Strongly disagree","2005","35-65 y.","higher education","13","","",""
"1 Strongly disagree","2005","66 and older","in school","","","",""
"1 Strongly disagree","2005","66 and older","inadequately","3","","",""
"1 Strongly disagree","2005","66 and older","general elemantary","39","0.0697291769150938","0.0513290358199483","0.0881293180102394"
"1 Strongly disagree","2005","66 and older","middle vocational","62","0.0373992281541715","0.0289778104733879","0.045820645834955"
"1 Strongly disagree","2005","66 and older","vocational + Abi","1","","",""
"1 Strongly disagree","2005","66 and older","higher vocational","11","","",""
"1 Strongly disagree","2005","66 and older","higher education","7","","",""
"2 on scale 1-7 ","2005","16-34 y.","in school","24","","",""
"2 on scale 1-7 ","2005","16-34 y.","inadequately","3","","",""
"2 on scale 1-7 ","2005","16-34 y.","general elemantary","48","0.0516587617006795","0.0366190073882364","0.0666985160131225"
"2 on scale 1-7 ","2005","16-34 y.","middle vocational","80","0.0280117331873269","0.0213175411495561","0.0347059252250977"
"2 on scale 1-7 ","2005","16-34 y.","vocational + Abi","11","","",""
