"plh0206i06","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","West Germany","17","","",""
"1 Strongly disagree","2005","in school","East Germany","5","","",""
"1 Strongly disagree","2005","inadequately","West Germany","20","","",""
"1 Strongly disagree","2005","inadequately","East Germany","2","","",""
"1 Strongly disagree","2005","general elemantary","West Germany","87","0.0561125686173296","0.0461404955351546","0.0660846416995046"
"1 Strongly disagree","2005","general elemantary","East Germany","14","","",""
"1 Strongly disagree","2005","middle vocational","West Germany","181","0.0295530145124678","0.0257493698489502","0.0333566591759854"
"1 Strongly disagree","2005","middle vocational","East Germany","82","0.0355769962306645","0.0284936825633072","0.0426603098980217"
"1 Strongly disagree","2005","vocational + Abi","West Germany","16","","",""
"1 Strongly disagree","2005","vocational + Abi","East Germany","4","","",""
"1 Strongly disagree","2005","higher vocational","West Germany","26","","",""
"1 Strongly disagree","2005","higher vocational","East Germany","13","","",""
"1 Strongly disagree","2005","higher education","West Germany","15","","",""
"1 Strongly disagree","2005","higher education","East Germany","8","","",""
"2 on scale 1-7 ","2005","in school","West Germany","17","","",""
"2 on scale 1-7 ","2005","in school","East Germany","7","","",""
"2 on scale 1-7 ","2005","inadequately","West Germany","8","","",""
"2 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"2 on scale 1-7 ","2005","general elemantary","West Germany","83","0.0377232296496148","0.0294676093350761","0.0459788499641534"
"2 on scale 1-7 ","2005","general elemantary","East Germany","17","","",""
"2 on scale 1-7 ","2005","middle vocational","West Germany","244","0.0293102290367207","0.0255217667370014","0.0330986913364401"
"2 on scale 1-7 ","2005","middle vocational","East Germany","96","0.0373686907634941","0.0301159527961422","0.044621428730846"
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","19","","",""
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","9","","",""
"2 on scale 1-7 ","2005","higher vocational","West Germany","22","","",""
"2 on scale 1-7 ","2005","higher vocational","East Germany","17","","",""
"2 on scale 1-7 ","2005","higher education","West Germany","53","0.0194106749487485","0.0143997683848657","0.0244215815126313"
"2 on scale 1-7 ","2005","higher education","East Germany","28","","",""
"3 on scale 1-7 ","2005","in school","West Germany","38","0.075080454853838","0.0519591018574803","0.0982018078501957"
"3 on scale 1-7 ","2005","in school","East Germany","13","","",""
"3 on scale 1-7 ","2005","inadequately","West Germany","9","","",""
"3 on scale 1-7 ","2005","inadequately","East Germany","3","","",""
"3 on scale 1-7 ","2005","general elemantary","West Germany","132","0.0625177471466353","0.0520276752767417","0.0730078190165288"
"3 on scale 1-7 ","2005","general elemantary","East Germany","26","","",""
"3 on scale 1-7 ","2005","middle vocational","West Germany","454","0.0588884682652729","0.0536009873388994","0.0641759491916463"
