"plh0206i06","year","education","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","no migration background","229","0.0475946678764824","0.0423023281253182","0.0528870076276467"
"1 Strongly disagree","2005","lower secondary degree","direct migration background","","","",""
"1 Strongly disagree","2005","lower secondary degree","indirect migration background","","","",""
"1 Strongly disagree","2005","secondary school degree","no migration background","115","0.0212021278779905","0.0174203079857638","0.0249839477702173"
"1 Strongly disagree","2005","secondary school degree","direct migration background","","","",""
"1 Strongly disagree","2005","secondary school degree","indirect migration background","","","",""
"1 Strongly disagree","2005","college entrance qualification","no migration background","35","0.00867633146920302","0.00603111690609257","0.0113215460323135"
"1 Strongly disagree","2005","college entrance qualification","direct migration background","","","",""
"1 Strongly disagree","2005","college entrance qualification","indirect migration background","","","",""
"1 Strongly disagree","2005","Other degree","no migration background","","","",""
"1 Strongly disagree","2005","Other degree","direct migration background","","","",""
"1 Strongly disagree","2005","Other degree","indirect migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","no migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","direct migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","indirect migration background","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","no migration background","201","0.0287039382701959","0.0245534019850092","0.0328544745553825"
"2 on scale 1-7 ","2005","lower secondary degree","direct migration background","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","secondary school degree","no migration background","205","0.0366573639458216","0.0317240856509311","0.041590642240712"
"2 on scale 1-7 ","2005","secondary school degree","direct migration background","","","",""
"2 on scale 1-7 ","2005","secondary school degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","no migration background","93","0.0217529281952533","0.0175922105845079","0.0259136458059987"
"2 on scale 1-7 ","2005","college entrance qualification","direct migration background","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","no migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","direct migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","no migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","no migration background","379","0.0626728612206252","0.0566480559553035","0.0686976664859469"
"3 on scale 1-7 ","2005","lower secondary degree","direct migration background","34","0.0587040434451603","0.0397841864792129","0.0776239004111078"
"3 on scale 1-7 ","2005","lower secondary degree","indirect migration background","","","",""
"3 on scale 1-7 ","2005","secondary school degree","no migration background","325","0.0594188764261395","0.0532126880176965","0.0656250648345825"
"3 on scale 1-7 ","2005","secondary school degree","direct migration background","","","",""
"3 on scale 1-7 ","2005","secondary school degree","indirect migration background","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","no migration background","210","0.0444778784437151","0.0385978760288532","0.0503578808585771"
"3 on scale 1-7 ","2005","college entrance qualification","direct migration background","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","indirect migration background","","","",""
"3 on scale 1-7 ","2005","Other degree","no migration background","","","",""
"3 on scale 1-7 ","2005","Other degree","direct migration background","45","0.0393518425075194","0.0272220261035869","0.0514816589114519"
"3 on scale 1-7 ","2005","Other degree","indirect migration background","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","no migration background","50","0.0782748513460945","0.0564150637102598","0.100134638981929"
"3 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","","","",""
"4 on scale 1-7","2005","lower secondary degree","no migration background","1035","0.165112126060946","0.155882986383763","0.17434126573813"
"4 on scale 1-7","2005","lower secondary degree","direct migration background","95","0.184808405790004","0.153568375154172","0.216048436425837"
"4 on scale 1-7","2005","lower secondary degree","indirect migration background","48","0.16982701164575","0.123467857466664","0.216186165824835"
"4 on scale 1-7","2005","secondary school degree","no migration background","941","0.168908905747467","0.159072981001584","0.17874483049335"
"4 on scale 1-7","2005","secondary school degree","direct migration background","36","0.177181587953619","0.128975613621744","0.225387562285494"
"4 on scale 1-7","2005","secondary school degree","indirect migration background","35","0.166136272987025","0.114935107716049","0.217337438258"
"4 on scale 1-7","2005","college entrance qualification","no migration background","680","0.146976174550138","0.13687692391935","0.157075425180926"
"4 on scale 1-7","2005","college entrance qualification","direct migration background","","","",""
"4 on scale 1-7","2005","college entrance qualification","indirect migration background","33","0.193710201348023","0.138523198736689","0.248897203959358"
"4 on scale 1-7","2005","Other degree","no migration background","","","",""
"4 on scale 1-7","2005","Other degree","direct migration background","152","0.181817084647384","0.157755065785013","0.205879103509755"
"4 on scale 1-7","2005","Other degree","indirect migration background","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","no migration background","111","0.188782936351394","0.156934801657015","0.220631071045772"
"4 on scale 1-7","2005","no degree/no degree yet","direct migration background","46","0.171341250596513","0.120974064624342","0.221708436568684"
"4 on scale 1-7","2005","no degree/no degree yet","indirect migration background","","","",""
"5 on scale 1-7","2005","lower secondary degree","no migration background","1337","0.216197043744773","0.205964444123228","0.226429643366319"
"5 on scale 1-7","2005","lower secondary degree","direct migration background","121","0.18981070156489","0.158247987369894","0.221373415759887"
"5 on scale 1-7","2005","lower secondary degree","indirect migration background","45","0.234406460818322","0.182102841852841","0.286710079783803"
"5 on scale 1-7","2005","secondary school degree","no migration background","1205","0.209596263880172","0.198911107820989","0.220281419939355"
"5 on scale 1-7","2005","secondary school degree","direct migration background","43","0.162149712011135","0.115614588363534","0.208684835658736"
"5 on scale 1-7","2005","secondary school degree","indirect migration background","44","0.191641953205461","0.137498338160435","0.245785568250487"
"5 on scale 1-7","2005","college entrance qualification","no migration background","1214","0.255980279499676","0.24353282413756","0.268427734861792"
"5 on scale 1-7","2005","college entrance qualification","direct migration background","48","0.173269795142877","0.127700901190512","0.218838689095242"
"5 on scale 1-7","2005","college entrance qualification","indirect migration background","48","0.221237098160713","0.163274668479939","0.279199527841487"
"5 on scale 1-7","2005","Other degree","no migration background","","","",""
