"plh0206i06","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Not Employed","58","0.0414133360861234","0.03168091361529","0.0511457585569567"
"1 Strongly disagree","2005","16-34 y.","Employed","69","0.0213390264996601","0.0166838803510153","0.025994172648305"
"1 Strongly disagree","2005","35-65 y.","Not Employed","94","0.0492198409717493","0.0410373392716477","0.0574023426718509"
"1 Strongly disagree","2005","35-65 y.","Employed","158","0.0217128289532872","0.0186845681511882","0.0247410897553862"
"1 Strongly disagree","2005","66 and older","Not Employed","119","0.0431004887871373","0.0364067890526967","0.049794188521578"
"1 Strongly disagree","2005","66 and older","Employed","4","","",""
"2 on scale 1-7 ","2005","16-34 y.","Not Employed","68","0.0478493887717784","0.0374231857946867","0.0582755917488701"
"2 on scale 1-7 ","2005","16-34 y.","Employed","121","0.0268699193335725","0.0216609894225502","0.0320788492445948"
"2 on scale 1-7 ","2005","35-65 y.","Not Employed","89","0.0312158710432737","0.024638123778659","0.0377936183078885"
"2 on scale 1-7 ","2005","35-65 y.","Employed","261","0.0307507801067941","0.0271636453726634","0.0343379148409248"
"2 on scale 1-7 ","2005","66 and older","Not Employed","94","0.0268139929361803","0.021489593410551","0.0321383924618097"
"2 on scale 1-7 ","2005","66 and older","Employed","3","","",""
"3 on scale 1-7 ","2005","16-34 y.","Not Employed","127","0.0849389194215531","0.071320912173422","0.0985569266696843"
"3 on scale 1-7 ","2005","16-34 y.","Employed","219","0.0588094941680124","0.0512308350270149","0.0663881533090099"
"3 on scale 1-7 ","2005","35-65 y.","Not Employed","144","0.0491014090855361","0.0409282486192199","0.0572745695518522"
"3 on scale 1-7 ","2005","35-65 y.","Employed","468","0.0521675047022779","0.0475472308348664","0.0567877785696893"
"3 on scale 1-7 ","2005","66 and older","Not Employed","182","0.0550771306423077","0.0475578586236477","0.0625964026609676"
"3 on scale 1-7 ","2005","66 and older","Employed","14","","",""
"4 on scale 1-7","2005","16-34 y.","Not Employed","306","0.187515275003169","0.16844920948889","0.206581340517449"
"4 on scale 1-7","2005","16-34 y.","Employed","631","0.178659306312288","0.166319612719653","0.190998999904923"
"4 on scale 1-7","2005","35-65 y.","Not Employed","436","0.149138816990618","0.135664689616223","0.162612944365014"
"4 on scale 1-7","2005","35-65 y.","Employed","1350","0.15861757383084","0.151027006096294","0.166208141565386"
"4 on scale 1-7","2005","66 and older","Not Employed","602","0.171861740524896","0.159427106995698","0.184296374054093"
"4 on scale 1-7","2005","66 and older","Employed","29","","",""
"5 on scale 1-7","2005","16-34 y.","Not Employed","381","0.231102022565968","0.210511309559624","0.251692735572312"
"5 on scale 1-7","2005","16-34 y.","Employed","895","0.235367309549376","0.221701688103224","0.249032930995529"
"5 on scale 1-7","2005","35-65 y.","Not Employed","597","0.208842138011203","0.193467086290154","0.224217189732252"
"5 on scale 1-7","2005","35-65 y.","Employed","1988","0.222058271751535","0.213422345961431","0.230694197541638"
"5 on scale 1-7","2005","66 and older","Not Employed","713","0.19833007235493","0.185187389009574","0.211472755700286"
"5 on scale 1-7","2005","66 and older","Employed","47","0.250273728450562","0.193673807000456","0.306873649900668"
"6 on scale 1-7","2005","16-34 y.","Not Employed","367","0.230651110193349","0.21007446384597","0.251227756540728"
"6 on scale 1-7","2005","16-34 y.","Employed","991","0.267084175650638","0.25283200506389","0.281336346237386"
"6 on scale 1-7","2005","35-65 y.","Not Employed","654","0.248763364907521","0.232411867241225","0.265114862573817"
"6 on scale 1-7","2005","35-65 y.","Employed","2490","0.264415254856269","0.255251752392482","0.273578757320055"
"6 on scale 1-7","2005","66 and older","Not Employed","889","0.235780516171539","0.221789315910664","0.249771716432415"
"6 on scale 1-7","2005","66 and older","Employed","58","0.213688306819417","0.16012781232581","0.267248801313024"
"7 Strongly agree","2005","16-34 y.","Not Employed","303","0.176529947958058","0.157906149881377","0.19515374603474"
"7 Strongly agree","2005","16-34 y.","Employed","776","0.211870768486452","0.198707488390352","0.225034048582553"
"7 Strongly agree","2005","35-65 y.","Not Employed","671","0.263718558990099","0.247051145110093","0.280385972870104"
"7 Strongly agree","2005","35-65 y.","Employed","2183","0.250277785798997","0.241277356350637","0.259278215247357"
"7 Strongly agree","2005","66 and older","Not Employed","937","0.269036058583009","0.254419498180572","0.283652618985446"
"7 Strongly agree","2005","66 and older","Employed","70","0.321865876239413","0.260820594955128","0.382911157523697"
"1 Strongly disagree","2006","16-34 y.","Not Employed","","","",""
"1 Strongly disagree","2006","16-34 y.","Employed","","","",""
"1 Strongly disagree","2006","35-65 y.","Not Employed","","","",""
"1 Strongly disagree","2006","35-65 y.","Employed","","","",""
"1 Strongly disagree","2006","66 and older","Not Employed","","","",""
"1 Strongly disagree","2006","66 and older","Employed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Not Employed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Employed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Not Employed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Employed","","","",""
"2 on scale 1-7 ","2006","66 and older","Not Employed","","","",""
"2 on scale 1-7 ","2006","66 and older","Employed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Not Employed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Employed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Not Employed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Employed","","","",""
"3 on scale 1-7 ","2006","66 and older","Not Employed","","","",""
"3 on scale 1-7 ","2006","66 and older","Employed","","","",""
"4 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"4 on scale 1-7","2006","16-34 y.","Employed","","","",""
"4 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"4 on scale 1-7","2006","35-65 y.","Employed","","","",""
"4 on scale 1-7","2006","66 and older","Not Employed","","","",""
"4 on scale 1-7","2006","66 and older","Employed","","","",""
"5 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"5 on scale 1-7","2006","16-34 y.","Employed","","","",""
"5 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"5 on scale 1-7","2006","35-65 y.","Employed","","","",""
"5 on scale 1-7","2006","66 and older","Not Employed","","","",""
"5 on scale 1-7","2006","66 and older","Employed","","","",""
"6 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"6 on scale 1-7","2006","16-34 y.","Employed","","","",""
"6 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"6 on scale 1-7","2006","35-65 y.","Employed","","","",""
"6 on scale 1-7","2006","66 and older","Not Employed","","","",""
"6 on scale 1-7","2006","66 and older","Employed","","","",""
"7 Strongly agree","2006","16-34 y.","Not Employed","","","",""
"7 Strongly agree","2006","16-34 y.","Employed","","","",""
"7 Strongly agree","2006","35-65 y.","Not Employed","","","",""
"7 Strongly agree","2006","35-65 y.","Employed","","","",""
"7 Strongly agree","2006","66 and older","Not Employed","","","",""
"7 Strongly agree","2006","66 and older","Employed","","","",""
"1 Strongly disagree","2007","16-34 y.","Not Employed","","","",""
"1 Strongly disagree","2007","16-34 y.","Employed","","","",""
"1 Strongly disagree","2007","35-65 y.","Not Employed","","","",""
"1 Strongly disagree","2007","35-65 y.","Employed","","","",""
"1 Strongly disagree","2007","66 and older","Not Employed","","","",""
"1 Strongly disagree","2007","66 and older","Employed","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Not Employed","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Employed","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Not Employed","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Employed","","","",""
"2 on scale 1-7 ","2007","66 and older","Not Employed","","","",""
"2 on scale 1-7 ","2007","66 and older","Employed","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Not Employed","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Employed","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Not Employed","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Employed","","","",""
"3 on scale 1-7 ","2007","66 and older","Not Employed","","","",""
"3 on scale 1-7 ","2007","66 and older","Employed","","","",""
"4 on scale 1-7","2007","16-34 y.","Not Employed","","","",""
"4 on scale 1-7","2007","16-34 y.","Employed","","","",""
"4 on scale 1-7","2007","35-65 y.","Not Employed","","","",""
