"plh0206i06","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","in school","22","","","","1"
"1 Strongly disagree","2005","Not Employed","inadequately","16","","","","1"
"1 Strongly disagree","2005","Not Employed","general elemantary","66","0.0645147765312688","0.0513562922159137","0.0776732608466239","1"
"1 Strongly disagree","2005","Not Employed","middle vocational","127","0.0412891778795379","0.0350640894607125","0.0475142662983633","1"
"1 Strongly disagree","2005","Not Employed","vocational + Abi","6","","","","1"
"1 Strongly disagree","2005","Not Employed","higher vocational","15","","","","1"
"1 Strongly disagree","2005","Not Employed","higher education","11","","","","1"
"1 Strongly disagree","2005","Employed","in school","","","","","1"
"1 Strongly disagree","2005","Employed","inadequately","6","","","","1"
"1 Strongly disagree","2005","Employed","general elemantary","35","0.0421217643691459","0.0299547735558234","0.0542887551824684","1"
"1 Strongly disagree","2005","Employed","middle vocational","136","0.0237441476633518","0.0199899390857396","0.0274983562409641","1"
"1 Strongly disagree","2005","Employed","vocational + Abi","14","","","","1"
"1 Strongly disagree","2005","Employed","higher vocational","24","","","","1"
"1 Strongly disagree","2005","Employed","higher education","12","","","","1"
"2 on scale 1-7 ","2005","Not Employed","higher vocational","15","","","","2"
"2 on scale 1-7 ","2005","Not Employed","higher education","19","","","","2"
"2 on scale 1-7 ","2005","Employed","in school","3","","","","2"
"2 on scale 1-7 ","2005","Employed","inadequately","3","","","","2"
"2 on scale 1-7 ","2005","Employed","middle vocational","220","0.032193997538445","0.0278414864203377","0.0365465086565524","2"
"2 on scale 1-7 ","2005","Employed","vocational + Abi","22","","","","2"
"2 on scale 1-7 ","2005","Employed","higher vocational","24","","","","2"
"2 on scale 1-7 ","2005","Employed","higher education","62","0.0209384427405538","0.015947939444701","0.0259289460364067","2"
"2 on scale 1-7 ","2005","Not Employed","in school","21","","","","2"
"2 on scale 1-7 ","2005","Not Employed","inadequately","5","","","","2"
"2 on scale 1-7 ","2005","Not Employed","general elemantary","58","0.0401493798945874","0.0296346275434184","0.0506641322457563","2"
"2 on scale 1-7 ","2005","Not Employed","middle vocational","120","0.0289856560192235","0.0237365181298326","0.0342347939086143","2"
"2 on scale 1-7 ","2005","Not Employed","vocational + Abi","6","","","","2"
"2 on scale 1-7 ","2005","Employed","general elemantary","42","0.0384576730325239","0.0268096973621343","0.0501056487029134","2"
"3 on scale 1-7 ","2005","Not Employed","vocational + Abi","14","","","","3"
"3 on scale 1-7 ","2005","Not Employed","higher vocational","23","","","","3"
"3 on scale 1-7 ","2005","Not Employed","higher education","43","0.0370382281484766","0.0253389066158998","0.0487375496810534","3"
"3 on scale 1-7 ","2005","Not Employed","in school","44","0.0740201878074234","0.0520604262458533","0.0959799493689934","3"
"3 on scale 1-7 ","2005","Not Employed","inadequately","8","","","","3"
"3 on scale 1-7 ","2005","Not Employed","general elemantary","87","0.0695460840263385","0.0559209250897819","0.0831712429628952","3"
"3 on scale 1-7 ","2005","Not Employed","middle vocational","224","0.059110318332257","0.0517315377930476","0.0664890988714663","3"
"3 on scale 1-7 ","2005","Employed","in school","7","","","","3"
"3 on scale 1-7 ","2005","Employed","inadequately","4","","","","3"
"3 on scale 1-7 ","2005","Employed","general elemantary","71","0.0570435240347572","0.0429952248531322","0.0710918232163823","3"
"3 on scale 1-7 ","2005","Employed","middle vocational","376","0.0601034719190441","0.0542427909218639","0.0659641529162243","3"
"3 on scale 1-7 ","2005","Employed","vocational + Abi","44","0.0478764645032755","0.0335064286685194","0.0622465003380316","3"
"3 on scale 1-7 ","2005","Employed","higher vocational","56","0.0502122170392395","0.0373127306173147","0.0631117034611644","3"
"3 on scale 1-7 ","2005","Employed","higher education","131","0.0413633134968284","0.0344226363754175","0.0483039906182393","3"
"4 on scale 1-7","2005","Not Employed","higher education","156","0.16757712989718","0.144439949749193","0.190714310045167","4"
"4 on scale 1-7","2005","Not Employed","higher vocational","70","0.161463043531377","0.127690533381287","0.195235553681468","4"
"4 on scale 1-7","2005","Employed","higher education","411","0.132482639160773","0.120666224274789","0.144299054046757","4"
"4 on scale 1-7","2005","Employed","in school","23","","","","4"
"4 on scale 1-7","2005","Employed","inadequately","15","","","","4"
"4 on scale 1-7","2005","Not Employed","in school","104","0.179840192058762","0.147626211673112","0.212054172444413","4"
"4 on scale 1-7","2005","Not Employed","inadequately","34","0.152251921200417","0.0939763604719755","0.210527481928858","4"
"4 on scale 1-7","2005","Employed","general elemantary","174","0.169298266692874","0.146582700596275","0.192013832789474","4"
"4 on scale 1-7","2005","Employed","middle vocational","1029","0.165971542334232","0.156797398816967","0.175145685851497","4"
"4 on scale 1-7","2005","Employed","vocational + Abi","152","0.192863530623715","0.166308383817639","0.21941867742979","4"
"4 on scale 1-7","2005","Employed","higher vocational","180","0.17767009736379","0.155092140281428","0.200248054446152","4"
"4 on scale 1-7","2005","Not Employed","general elemantary","258","0.188869171483095","0.167904705996043","0.209833636970147","4"
"4 on scale 1-7","2005","Not Employed","middle vocational","656","0.163170421625246","0.151608691690601","0.174732151559891","4"
"4 on scale 1-7","2005","Not Employed","vocational + Abi","37","0.11624014970608","0.0787652788315866","0.153715020580574","4"
"5 on scale 1-7","2005","Employed","middle vocational","1395","0.225502480422798","0.215197576251583","0.235807384594014","5"
"5 on scale 1-7","2005","Employed","vocational + Abi","210","0.237850397215524","0.209193958378743","0.266506836052306","5"
"5 on scale 1-7","2005","Employed","higher vocational","272","0.251776480123735","0.226138861176604","0.277414099070865","5"
"5 on scale 1-7","2005","Employed","higher education","751","0.23232775550998","0.217607829534217","0.247047681485743","5"
"5 on scale 1-7","2005","Not Employed","in school","134","0.239592707119449","0.203790343121187","0.275395071117711","5"
"5 on scale 1-7","2005","Not Employed","inadequately","24","","","","5"
"5 on scale 1-7","2005","Not Employed","general elemantary","284","0.212921155059215","0.190994300847379","0.234848009271052","5"
"5 on scale 1-7","2005","Not Employed","middle vocational","841","0.198740268446931","0.186254560092229","0.211225976801633","5"
"5 on scale 1-7","2005","Not Employed","vocational + Abi","65","0.23196623570469","0.182615063233168","0.281317408176211","5"
"5 on scale 1-7","2005","Not Employed","higher vocational","98","0.218628066759917","0.180692416686284","0.256563716833549","5"
"5 on scale 1-7","2005","Not Employed","higher education","218","0.212229427007391","0.186899512152095","0.237559341862686","5"
"5 on scale 1-7","2005","Employed","in school","23","","","","5"
"5 on scale 1-7","2005","Employed","inadequately","16","","","","5"
