"plh0206i06","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","no migration background","75","0.0332778274083309","0.0264463061683822","0.0401093486482797"
"1 Strongly disagree","2005","1-pers.-HH","direct migration background","8","","",""
"1 Strongly disagree","2005","1-pers.-HH","indirect migration background","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","no migration background","149","0.030361261196624","0.0260890051855427","0.0346335172077053"
"1 Strongly disagree","2005","(Married) couple without C. ","direct migration background","14","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","indirect migration background","2","","",""
"1 Strongly disagree","2005","Single parent ","no migration background","28","","",""
"1 Strongly disagree","2005","Single parent ","direct migration background","3","","",""
"1 Strongly disagree","2005","Single parent ","indirect migration background","4","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","no migration background","68","0.0324055203186644","0.0260712158065243","0.0387398248308045"
"1 Strongly disagree","2005","Couple + C. LE 16 ","direct migration background","16","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","indirect migration background","3","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","no migration background","58","0.0250688360238796","0.0195032719862505","0.0306344000615087"
"1 Strongly disagree","2005","Couple + C. GT 16 ","direct migration background","5","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","indirect migration background","8","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","no migration background","34","0.0363963375355833","0.0261926061827977","0.0466000688883689"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","direct migration background","6","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","indirect migration background","3","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","no migration background","75","0.0258090788702295","0.0197696288446582","0.0318485288958007"
"2 on scale 1-7 ","2005","1-pers.-HH","direct migration background","8","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","indirect migration background","1","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","no migration background","147","0.026998307759473","0.0229626209429255","0.0310339945760205"
"2 on scale 1-7 ","2005","(Married) couple without C. ","direct migration background","25","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","indirect migration background","5","","",""
