"plh0206i06","year","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","252","0.0457778639950783","0.0409032891813526","0.050652438808804"
"1 Strongly disagree","2005","secondary school degree","123","0.0199306939619996","0.0163995810603631","0.0234618068636362"
"1 Strongly disagree","2005","college entrance qualification","41","0.00884520752917496","0.00629638057814547","0.0113940344802045"
"1 Strongly disagree","2005","Other degree","38","0.0434168017416728","0.0314441376688221","0.0553894658145236"
"1 Strongly disagree","2005","no degree/no degree yet","35","0.0510984653511288","0.0366480554367962","0.0655488752654613"
"2 on scale 1-7 ","2005","lower secondary degree","232","0.0298161445673479","0.0258493747613942","0.0337829143733016"
"2 on scale 1-7 ","2005","secondary school degree","213","0.034829087880719","0.0301968040441523","0.0394613717172858"
"2 on scale 1-7 ","2005","college entrance qualification","104","0.0218901866515565","0.0179069681085881","0.0258734051945249"
"2 on scale 1-7 ","2005","Other degree","33","0.0269371522282951","0.0174257007935986","0.0364486036629916"
"2 on scale 1-7 ","2005","no degree/no degree yet","32","0.0358726762562146","0.023668323601368","0.0480770289110612"
"3 on scale 1-7 ","2005","lower secondary degree","425","0.0616962768316826","0.0560846932939821","0.0673078603693831"
"3 on scale 1-7 ","2005","secondary school degree","356","0.0596333684130684","0.0536504197691267","0.0656163170570101"
"3 on scale 1-7 ","2005","college entrance qualification","233","0.0433207469537249","0.0377789993696146","0.0488624945378353"
"3 on scale 1-7 ","2005","Other degree","48","0.0368640464402675","0.025794092631112","0.0479340002494229"
"3 on scale 1-7 ","2005","no degree/no degree yet","68","0.0722971668328294","0.0553017921097298","0.089292541555929"
"4 on scale 1-7","2005","lower secondary degree","1178","0.16677836956425","0.158084074717773","0.175472664410728"
"4 on scale 1-7","2005","secondary school degree","1012","0.169238487766773","0.159765003211122","0.178711972322424"
"4 on scale 1-7","2005","college entrance qualification","737","0.145234919778618","0.135643685375635","0.1548261541816"
"4 on scale 1-7","2005","Other degree","179","0.183228365719382","0.160501100178187","0.205955631260577"
"4 on scale 1-7","2005","no degree/no degree yet","181","0.19376401782276","0.167826207033918","0.219701828611603"
"5 on scale 1-7","2005","lower secondary degree","1503","0.214709793430382","0.205132886825771","0.224286700034993"
"5 on scale 1-7","2005","secondary school degree","1292","0.206414566228756","0.196188961198933","0.216640171258578"
"5 on scale 1-7","2005","college entrance qualification","1310","0.249043268039686","0.237270991502133","0.260815544577239"
"5 on scale 1-7","2005","Other degree","228","0.209191446007591","0.185296384707824","0.233086507307359"
"5 on scale 1-7","2005","no degree/no degree yet","198","0.200991289846444","0.174692846697522","0.227289732995365"
"6 on scale 1-7","2005","lower secondary degree","1718","0.2316898066967","0.221849559792629","0.241530053600772"
"6 on scale 1-7","2005","secondary school degree","1591","0.26606821962856","0.254903537879029","0.277232901378091"
"6 on scale 1-7","2005","college entrance qualification","1591","0.296461435243697","0.284029359363443","0.30889351112395"
"6 on scale 1-7","2005","Other degree","250","0.214826934852997","0.190698587778918","0.238955281927076"
"6 on scale 1-7","2005","no degree/no degree yet","209","0.240217121236004","0.212181357317208","0.268252885154799"
"7 Strongly agree","2005","lower secondary degree","1754","0.249531744914559","0.239438906988036","0.259624582841082"
"7 Strongly agree","2005","secondary school degree","1431","0.243885576120125","0.233036098738181","0.254735053502069"
"7 Strongly agree","2005","college entrance qualification","1168","0.235204235803543","0.22365878484392","0.246749686763166"
"7 Strongly agree","2005","Other degree","337","0.285535253009794","0.259000149945007","0.312070356074582"
"7 Strongly agree","2005","no degree/no degree yet","169","0.20575926265462","0.179230228391897","0.232288296917343"
"1 Strongly disagree","2006","lower secondary degree","","","",""
"1 Strongly disagree","2006","secondary school degree","","","",""
"1 Strongly disagree","2006","college entrance qualification","","","",""
"1 Strongly disagree","2006","Other degree","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","","","",""
