"plh0206i06","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","no migration background","230","0.0466917427635325","0.0415843593413531","0.0517991261857118","1"
"1 Strongly disagree","2005","Not Employed","direct migration background","29","","","","1"
"1 Strongly disagree","2005","Not Employed","indirect migration background","12","","","","1"
"1 Strongly disagree","2005","Employed","no migration background","195","0.0213155440440741","0.018606560742254","0.0240245273458941","1"
"1 Strongly disagree","2005","Employed","direct migration background","26","","","","1"
"1 Strongly disagree","2005","Employed","indirect migration background","10","","","","1"
"2 on scale 1-7 ","2005","Not Employed","indirect migration background","3","","","","2"
"2 on scale 1-7 ","2005","Not Employed","no migration background","201","0.0303457980745187","0.0261932041262093","0.0344983920228282","2"
"2 on scale 1-7 ","2005","Employed","indirect migration background","12","","","","2"
"2 on scale 1-7 ","2005","Not Employed","direct migration background","47","0.0469572039801038","0.0338060998969662","0.0601083080632413","2"
"2 on scale 1-7 ","2005","Employed","no migration background","344","0.0312960017873643","0.0280302983233204","0.0345617052514083","2"
"2 on scale 1-7 ","2005","Employed","direct migration background","29","","","","2"
"3 on scale 1-7 ","2005","Employed","direct migration background","68","0.0469400554054066","0.0356906358699529","0.0581894749408602","3"
"3 on scale 1-7 ","2005","Not Employed","no migration background","374","0.0599658954568265","0.0542183063935431","0.0657134845201099","3"
"3 on scale 1-7 ","2005","Employed","no migration background","610","0.0559068410874858","0.0515978393010527","0.060215842873919","3"
"3 on scale 1-7 ","2005","Not Employed","indirect migration background","18","","","","3"
"3 on scale 1-7 ","2005","Not Employed","direct migration background","61","0.0483509788536131","0.0350158892943997","0.0616860684128264","3"
"3 on scale 1-7 ","2005","Employed","indirect migration background","23","","","","3"
"4 on scale 1-7","2005","Employed","indirect migration background","96","0.178919976246307","0.146799898569122","0.211040053923493","4"
"4 on scale 1-7","2005","Not Employed","direct migration background","168","0.182171598014141","0.158176290101345","0.206166905926937","4"
"4 on scale 1-7","2005","Not Employed","indirect migration background","64","0.215422043821169","0.167439125440824","0.263404962201514","4"
"4 on scale 1-7","2005","Employed","direct migration background","194","0.167187511986813","0.147341477675398","0.187033546298229","4"
"4 on scale 1-7","2005","Not Employed","no migration background","1112","0.163183322852102","0.154237613318894","0.172129032385311","4"
"4 on scale 1-7","2005","Employed","no migration background","1720","0.162724365952135","0.155801318757317","0.169647413146952","4"
"5 on scale 1-7","2005","Employed","indirect migration background","119","0.205278782398701","0.171430716067989","0.239126848729412","5"
"5 on scale 1-7","2005","Employed","no migration background","2530","0.231368686406221","0.22345920336935","0.239278169443093","5"
"5 on scale 1-7","2005","Employed","direct migration background","281","0.204537646848112","0.183084320023183","0.22599097367304","5"
"5 on scale 1-7","2005","Not Employed","no migration background","1440","0.209713710161696","0.199858466218163","0.219568954105228","5"
"5 on scale 1-7","2005","Not Employed","direct migration background","189","0.178469359858231","0.154665432590445","0.202273287126018","5"
"5 on scale 1-7","2005","Not Employed","indirect migration background","62","0.269360316311081","0.217582709664294","0.321137922957868","5"
"6 on scale 1-7","2005","Employed","indirect migration background","140","0.269093436675088","0.231928199270676","0.3062586740795","6"
"6 on scale 1-7","2005","Not Employed","indirect migration background","51","0.169799784931977","0.125978659655861","0.213620910208092","6"
"6 on scale 1-7","2005","Employed","direct migration background","349","0.224290754952911","0.202106064353876","0.246475445551946","6"
"6 on scale 1-7","2005","Not Employed","no migration background","1640","0.244621105533468","0.234214930453514","0.255027280613422","6"
"6 on scale 1-7","2005","Employed","no migration background","3050","0.270134569870577","0.261806425376952","0.278462714364202","6"
"6 on scale 1-7","2005","Not Employed","direct migration background","219","0.219879701740365","0.194132605434295","0.245626798046434","6"
"7 Strongly agree","2005","Employed","indirect migration background","147","0.261806023219657","0.22496518580244","0.298646860636874","7"
"7 Strongly agree","2005","Employed","direct migration background","411","0.313100536794101","0.288435219838007","0.337765853750195","7"
"7 Strongly agree","2005","Not Employed","indirect migration background","72","0.243395654351566","0.193309883464739","0.293481425238393","7"
"7 Strongly agree","2005","Employed","no migration background","2471","0.227253990852143","0.219394201322738","0.235113780381549","7"
"7 Strongly agree","2005","Not Employed","no migration background","1558","0.245478425157857","0.235059948129312","0.255896902186402","7"
"7 Strongly agree","2005","Not Employed","direct migration background","281","0.290711244387818","0.262482123640118","0.318940365135517","7"
"1 Strongly disagree","2006","Not Employed","direct migration background","","","","","1"
"1 Strongly disagree","2006","Not Employed","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Employed","no migration background","","","","","1"
"1 Strongly disagree","2006","Employed","direct migration background","","","","","1"
"1 Strongly disagree","2006","Employed","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Not Employed","no migration background","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","Employed","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Employed","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","Employed","direct migration background","","","","","2"
"3 on scale 1-7 ","2006","Employed","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","Employed","direct migration background","","","","","3"
