"plh0206i06","year","education","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","Male","108","0.0400652977112163","0.0335203447904606","0.0466102506319721"
"1 Strongly disagree","2005","lower secondary degree","Female","144","0.0510981914468036","0.0439181407289432","0.058278242164664"
"1 Strongly disagree","2005","secondary school degree","Male","39","0.0173786117492674","0.0123283573477206","0.0224288661508143"
"1 Strongly disagree","2005","secondary school degree","Female","84","0.0220328473128068","0.0171318112179789","0.0269338834076346"
"1 Strongly disagree","2005","college entrance qualification","Male","13","","",""
"1 Strongly disagree","2005","college entrance qualification","Female","28","","",""
"1 Strongly disagree","2005","Other degree","Male","18","","",""
"1 Strongly disagree","2005","Other degree","Female","20","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Male","16","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Female","19","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Male","96","0.0239019374739877","0.0188043489995249","0.0289995259484505"
"2 on scale 1-7 ","2005","lower secondary degree","Female","136","0.0353242676753254","0.0293050316871225","0.0413435036635284"
"2 on scale 1-7 ","2005","secondary school degree","Male","82","0.0321308642172669","0.0253156088607768","0.038946119573757"
"2 on scale 1-7 ","2005","secondary school degree","Female","131","0.0370516181295705","0.0307450143316679","0.0433582219274731"
"2 on scale 1-7 ","2005","college entrance qualification","Male","42","0.0150852967226219","0.0104986062520753","0.0196719871931685"
"2 on scale 1-7 ","2005","college entrance qualification","Female","62","0.0296512901130951","0.0229632721369043","0.0363393080892858"
"2 on scale 1-7 ","2005","Other degree","Male","12","","",""
"2 on scale 1-7 ","2005","Other degree","Female","21","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Male","16","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Female","16","","",""
"3 on scale 1-7 ","2005","lower secondary degree","Male","213","0.060497500576233","0.0525410534707689","0.0684539476816971"
"3 on scale 1-7 ","2005","lower secondary degree","Female","212","0.0628127421650237","0.0549013816659531","0.0707241026640943"
"3 on scale 1-7 ","2005","secondary school degree","Male","133","0.0504327536292667","0.0419754521445674","0.0588900551139661"
"3 on scale 1-7 ","2005","secondary school degree","Female","223","0.0672119264629473","0.0588519487709042","0.0755719041549905"
"3 on scale 1-7 ","2005","college entrance qualification","Male","104","0.0408798717562563","0.0334288735452502","0.0483308699672624"
"3 on scale 1-7 ","2005","college entrance qualification","Female","129","0.0461046104904013","0.0378359669151426","0.05437325406566"
"3 on scale 1-7 ","2005","Other degree","Male","25","","",""
"3 on scale 1-7 ","2005","Other degree","Female","23","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Male","38","0.0774206540405875","0.0517692970195393","0.103072011061636"
"3 on scale 1-7 ","2005","no degree/no degree yet","Female","30","0.0673853897839907","0.0448411670782553","0.0899296124897261"
"4 on scale 1-7","2005","lower secondary degree","Male","556","0.156229349194577","0.144112351836777","0.168346346552377"
"4 on scale 1-7","2005","lower secondary degree","Female","622","0.176603068285057","0.164168868108287","0.189037268461827"
"4 on scale 1-7","2005","secondary school degree","Male","434","0.169570145793829","0.155067782423625","0.184072509164033"
"4 on scale 1-7","2005","secondary school degree","Female","578","0.168965300629846","0.156454105543117","0.181476495716574"
"4 on scale 1-7","2005","college entrance qualification","Male","378","0.14908586454987","0.135683411413235","0.162488317686505"
"4 on scale 1-7","2005","college entrance qualification","Female","359","0.140842845680949","0.127127226464763","0.154558464897135"
"4 on scale 1-7","2005","Other degree","Male","86","0.212892596848469","0.178042223536455","0.247742970160482"
"4 on scale 1-7","2005","Other degree","Female","93","0.156045162612191","0.126587480441255","0.185502844783127"
"4 on scale 1-7","2005","no degree/no degree yet","Male","77","0.161855046976035","0.126503961491332","0.197206132460737"
"4 on scale 1-7","2005","no degree/no degree yet","Female","104","0.224354462241102","0.186839864735464","0.26186905974674"
"5 on scale 1-7","2005","lower secondary degree","Male","759","0.225925869904769","0.211969394578991","0.239882345230546"
"5 on scale 1-7","2005","lower secondary degree","Female","744","0.204263840315421","0.191117816842221","0.21740986378862"
"5 on scale 1-7","2005","secondary school degree","Male","586","0.212939303087454","0.197117913092532","0.228760693082376"
"5 on scale 1-7","2005","secondary school degree","Female","706","0.201040132214749","0.187658955147591","0.214421309281908"
"5 on scale 1-7","2005","college entrance qualification","Male","730","0.266159736852377","0.249529626100963","0.282789847603791"
"5 on scale 1-7","2005","college entrance qualification","Female","580","0.229521617177026","0.212940883444716","0.246102350909337"
"5 on scale 1-7","2005","Other degree","Male","111","0.217042962404897","0.181947418574571","0.252138506235222"
"5 on scale 1-7","2005","Other degree","Female","117","0.201996607078558","0.169406317458581","0.234586896698535"
"5 on scale 1-7","2005","no degree/no degree yet","Male","95","0.191223187401247","0.153477730582433","0.228968644220062"
"5 on scale 1-7","2005","no degree/no degree yet","Female","103","0.210355759680265","0.173704050992216","0.247007468368314"
"6 on scale 1-7","2005","lower secondary degree","Male","844","0.237567217274542","0.223363712226259","0.251770722322825"
"6 on scale 1-7","2005","lower secondary degree","Female","874","0.226215953565107","0.212573715914439","0.239858191215774"
"6 on scale 1-7","2005","secondary school degree","Male","679","0.27388383819867","0.256649331257338","0.291118345140003"
"6 on scale 1-7","2005","secondary school degree","Female","912","0.259630484713978","0.244992120089472","0.274268849338485"
"6 on scale 1-7","2005","college entrance qualification","Male","848","0.307104927069241","0.289746901539368","0.324462952599114"
"6 on scale 1-7","2005","college entrance qualification","Female","743","0.284322334962464","0.266536431169766","0.302108238755161"
"6 on scale 1-7","2005","Other degree","Male","117","0.20366704145757","0.16938095792491","0.23795312499023"
"6 on scale 1-7","2005","Other degree","Female","133","0.225053447972531","0.19115400794602","0.258952887999043"
"6 on scale 1-7","2005","no degree/no degree yet","Male","97","0.231488898688387","0.191006128734039","0.271971668642734"
"6 on scale 1-7","2005","no degree/no degree yet","Female","112","0.248584680565834","0.209717907087844","0.287451454043823"
"7 Strongly agree","2005","lower secondary degree","Male","873","0.255812827864675","0.241251407381776","0.270374248347574"
"7 Strongly agree","2005","lower secondary degree","Female","881","0.243681936547263","0.229683548917978","0.257680324176549"
"7 Strongly agree","2005","secondary school degree","Male","619","0.243664483324245","0.227073735136155","0.260255231512335"
"7 Strongly agree","2005","secondary school degree","Female","812","0.244067690536102","0.229726438959988","0.258408942112215"
"7 Strongly agree","2005","college entrance qualification","Male","598","0.218243638546957","0.202700822648676","0.233786454445237"
"7 Strongly agree","2005","college entrance qualification","Female","570","0.254548112258936","0.237372727766303","0.271723496751568"
"7 Strongly agree","2005","Other degree","Male","161","0.264185403958885","0.22664933699437","0.3017214709234"
"7 Strongly agree","2005","Other degree","Female","176","0.305099464215312","0.267723202734036","0.342475725696587"
"7 Strongly agree","2005","no degree/no degree yet","Male","78","0.229171215406879","0.188830921363848","0.269511509449911"
"7 Strongly agree","2005","no degree/no degree yet","Female","91","0.183314726826968","0.148518886734851","0.218110566919084"
"1 Strongly disagree","2006","lower secondary degree","Male","","","",""
"1 Strongly disagree","2006","lower secondary degree","Female","","","",""
"1 Strongly disagree","2006","secondary school degree","Male","","","",""
"1 Strongly disagree","2006","secondary school degree","Female","","","",""
"1 Strongly disagree","2006","college entrance qualification","Male","","","",""
"1 Strongly disagree","2006","college entrance qualification","Female","","","",""
"1 Strongly disagree","2006","Other degree","Male","","","",""
"1 Strongly disagree","2006","Other degree","Female","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","Male","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","Female","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","Male","","","",""
