"plh0206i06","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","in school","","","",""
"1 Strongly disagree","2005","Full Time","inadequately","3","","",""
"1 Strongly disagree","2005","Full Time","general elemantary","15","","",""
"1 Strongly disagree","2005","Full Time","middle vocational","75","0.0230971711056499","0.0183287266909162","0.0278656155203836"
"1 Strongly disagree","2005","Full Time","vocational + Abi","8","","",""
"1 Strongly disagree","2005","Full Time","higher vocational","18","","",""
"1 Strongly disagree","2005","Full Time","higher education","5","","",""
"1 Strongly disagree","2005","Part Time","in school","","","",""
"1 Strongly disagree","2005","Part Time","inadequately","3","","",""
"1 Strongly disagree","2005","Part Time","general elemantary","20","","",""
"1 Strongly disagree","2005","Part Time","middle vocational","61","0.0248172188903241","0.0187263798121478","0.0309080579685003"
"1 Strongly disagree","2005","Part Time","vocational + Abi","6","","",""
"1 Strongly disagree","2005","Part Time","higher vocational","6","","",""
"1 Strongly disagree","2005","Part Time","higher education","7","","",""
"1 Strongly disagree","2005","Not Working","in school","22","","",""
"1 Strongly disagree","2005","Not Working","inadequately","16","","",""
"1 Strongly disagree","2005","Not Working","general elemantary","66","0.0645147765312688","0.0513562922159137","0.0776732608466239"
"1 Strongly disagree","2005","Not Working","middle vocational","127","0.0412891778795379","0.0350640894607125","0.0475142662983633"
"1 Strongly disagree","2005","Not Working","vocational + Abi","6","","",""
"1 Strongly disagree","2005","Not Working","higher vocational","15","","",""
"1 Strongly disagree","2005","Not Working","higher education","11","","",""
"2 on scale 1-7 ","2005","Full Time","in school","","","",""
"2 on scale 1-7 ","2005","Full Time","inadequately","2","","",""
"2 on scale 1-7 ","2005","Full Time","general elemantary","22","","",""
"2 on scale 1-7 ","2005","Full Time","middle vocational","136","0.0320230461670715","0.0264340286019225","0.0376120637322205"
"2 on scale 1-7 ","2005","Full Time","vocational + Abi","13","","",""
"2 on scale 1-7 ","2005","Full Time","higher vocational","19","","",""
"2 on scale 1-7 ","2005","Full Time","higher education","41","0.0180327980667012","0.0125110275080795","0.0235545686253228"
"2 on scale 1-7 ","2005","Part Time","in school","3","","",""
"2 on scale 1-7 ","2005","Part Time","inadequately","1","","",""
"2 on scale 1-7 ","2005","Part Time","general elemantary","20","","",""
"2 on scale 1-7 ","2005","Part Time","middle vocational","84","0.0324775364018684","0.0255372143203463","0.0394178584833905"
"2 on scale 1-7 ","2005","Part Time","vocational + Abi","9","","",""
"2 on scale 1-7 ","2005","Part Time","higher vocational","5","","",""
"2 on scale 1-7 ","2005","Part Time","higher education","21","","",""
"2 on scale 1-7 ","2005","Not Working","in school","21","","",""
"2 on scale 1-7 ","2005","Not Working","inadequately","5","","",""
"2 on scale 1-7 ","2005","Not Working","general elemantary","58","0.0401493798945874","0.0296346275434184","0.0506641322457563"
"2 on scale 1-7 ","2005","Not Working","middle vocational","120","0.0289856560192235","0.0237365181298326","0.0342347939086143"
"2 on scale 1-7 ","2005","Not Working","vocational + Abi","6","","",""
"2 on scale 1-7 ","2005","Not Working","higher vocational","15","","",""
"2 on scale 1-7 ","2005","Not Working","higher education","19","","",""
"3 on scale 1-7 ","2005","Full Time","in school","","","",""
"3 on scale 1-7 ","2005","Full Time","inadequately","1","","",""
"3 on scale 1-7 ","2005","Full Time","general elemantary","38","0.0657442872885454","0.0450882305775397","0.0864003439995511"
"3 on scale 1-7 ","2005","Full Time","middle vocational","236","0.057782379255639","0.0503753345443841","0.0651894239668939"
"3 on scale 1-7 ","2005","Full Time","vocational + Abi","24","","",""
"3 on scale 1-7 ","2005","Full Time","higher vocational","34","0.0403441206141982","0.0264280901131333","0.0542601511152631"
"3 on scale 1-7 ","2005","Full Time","higher education","92","0.0444275585444994","0.0358777510190004","0.0529773660699985"
"3 on scale 1-7 ","2005","Part Time","in school","7","","",""
"3 on scale 1-7 ","2005","Part Time","inadequately","3","","",""
"3 on scale 1-7 ","2005","Part Time","general elemantary","33","0.0481414510682007","0.0292645624970495","0.0670183396393519"
"3 on scale 1-7 ","2005","Part Time","middle vocational","140","0.0639532215314311","0.0543738383149791","0.0735326047478831"
"3 on scale 1-7 ","2005","Part Time","vocational + Abi","20","","",""
"3 on scale 1-7 ","2005","Part Time","higher vocational","22","","",""
"3 on scale 1-7 ","2005","Part Time","higher education","39","0.0348339624971406","0.0230558497801081","0.0466120752141731"
"3 on scale 1-7 ","2005","Not Working","in school","44","0.0740201878074234","0.0520604262458533","0.0959799493689934"
"3 on scale 1-7 ","2005","Not Working","inadequately","8","","",""
"3 on scale 1-7 ","2005","Not Working","general elemantary","87","0.0695460840263385","0.0559209250897819","0.0831712429628952"
"3 on scale 1-7 ","2005","Not Working","middle vocational","224","0.059110318332257","0.0517315377930476","0.0664890988714663"
"3 on scale 1-7 ","2005","Not Working","vocational + Abi","14","","",""
"3 on scale 1-7 ","2005","Not Working","higher vocational","23","","",""
"3 on scale 1-7 ","2005","Not Working","higher education","43","0.0370382281484766","0.0253389066158998","0.0487375496810534"
"4 on scale 1-7","2005","Full Time","in school","","","",""
"4 on scale 1-7","2005","Full Time","inadequately","9","","",""
"4 on scale 1-7","2005","Full Time","general elemantary","96","0.151808559322707","0.121901025844901","0.181716092800513"
"4 on scale 1-7","2005","Full Time","middle vocational","594","0.163915807308925","0.152163934840512","0.175667679777338"
"4 on scale 1-7","2005","Full Time","vocational + Abi","95","0.192984466130432","0.159322982520869","0.226645949739994"
"4 on scale 1-7","2005","Full Time","higher vocational","124","0.182423221659977","0.155110070045495","0.209736373274459"
"4 on scale 1-7","2005","Full Time","higher education","285","0.133570720523511","0.119454432847295","0.147687008199727"
"4 on scale 1-7","2005","Part Time","in school","23","","",""
"4 on scale 1-7","2005","Part Time","inadequately","6","","",""
"4 on scale 1-7","2005","Part Time","general elemantary","78","0.187192633730751","0.152795456085325","0.221589811376177"
"4 on scale 1-7","2005","Part Time","middle vocational","435","0.169381171446254","0.154695594622581","0.184066748269926"
"4 on scale 1-7","2005","Part Time","vocational + Abi","57","0.192680398648974","0.149467378662132","0.235893418635816"
"4 on scale 1-7","2005","Part Time","higher vocational","56","0.165362310722951","0.125460441908741","0.205264179537162"
"4 on scale 1-7","2005","Part Time","higher education","126","0.130164134921391","0.108550014141434","0.151778255701347"
"4 on scale 1-7","2005","Not Working","in school","104","0.179840192058762","0.147626211673112","0.212054172444413"
"4 on scale 1-7","2005","Not Working","inadequately","34","0.152251921200417","0.0939763604719755","0.210527481928858"
"4 on scale 1-7","2005","Not Working","general elemantary","258","0.188869171483095","0.167904705996043","0.209833636970147"
"4 on scale 1-7","2005","Not Working","middle vocational","656","0.163170421625246","0.151608691690601","0.174732151559891"
"4 on scale 1-7","2005","Not Working","vocational + Abi","37","0.11624014970608","0.0787652788315866","0.153715020580574"
"4 on scale 1-7","2005","Not Working","higher vocational","70","0.161463043531377","0.127690533381287","0.195235553681468"
"4 on scale 1-7","2005","Not Working","higher education","156","0.16757712989718","0.144439949749193","0.190714310045167"
"5 on scale 1-7","2005","Full Time","in school","1","","",""
"5 on scale 1-7","2005","Full Time","inadequately","6","","",""
"5 on scale 1-7","2005","Full Time","general elemantary","123","0.217069796554675","0.182710303413198","0.251429289696151"
"5 on scale 1-7","2005","Full Time","middle vocational","829","0.220590610167012","0.207427819553763","0.23375340078026"
"5 on scale 1-7","2005","Full Time","vocational + Abi","135","0.269472282467602","0.231627455017183","0.307317109918021"
"5 on scale 1-7","2005","Full Time","higher vocational","197","0.280570209504254","0.248795435679712","0.312344983328797"
"5 on scale 1-7","2005","Full Time","higher education","533","0.226083430466183","0.208726227355538","0.243440633576829"
"5 on scale 1-7","2005","Part Time","in school","22","","",""
"5 on scale 1-7","2005","Part Time","inadequately","10","","",""
"5 on scale 1-7","2005","Part Time","general elemantary","99","0.186561856993513","0.152209359935951","0.220914354051075"
"5 on scale 1-7","2005","Part Time","middle vocational","566","0.233649277365222","0.217081907635002","0.250216647095443"
"5 on scale 1-7","2005","Part Time","vocational + Abi","75","0.189965549758863","0.146985959484363","0.232945140033363"
"5 on scale 1-7","2005","Part Time","higher vocational","75","0.177217715040779","0.136204670767109","0.21823075931445"
"5 on scale 1-7","2005","Part Time","higher education","218","0.245633280796896","0.217982454430439","0.273284107163353"
"5 on scale 1-7","2005","Not Working","in school","134","0.239592707119449","0.203790343121187","0.275395071117711"
"5 on scale 1-7","2005","Not Working","inadequately","24","","",""
"5 on scale 1-7","2005","Not Working","general elemantary","284","0.212921155059215","0.190994300847379","0.234848009271052"
"5 on scale 1-7","2005","Not Working","middle vocational","841","0.198740268446931","0.186254560092229","0.211225976801633"
"5 on scale 1-7","2005","Not Working","vocational + Abi","65","0.23196623570469","0.182615063233168","0.281317408176211"
"5 on scale 1-7","2005","Not Working","higher vocational","98","0.218628066759917","0.180692416686284","0.256563716833549"
"5 on scale 1-7","2005","Not Working","higher education","218","0.212229427007391","0.186899512152095","0.237559341862686"
"6 on scale 1-7","2005","Full Time","in school","2","","",""
"6 on scale 1-7","2005","Full Time","inadequately","18","","",""
"6 on scale 1-7","2005","Full Time","general elemantary","123","0.214185037341973","0.17999179876314","0.248378275920806"
"6 on scale 1-7","2005","Full Time","middle vocational","977","0.252866385911136","0.239068379773246","0.266664392049026"
"6 on scale 1-7","2005","Full Time","vocational + Abi","142","0.273089196594357","0.23508566546134","0.311092727727373"
"6 on scale 1-7","2005","Full Time","higher vocational","199","0.248661561552403","0.218091971604208","0.279231151500599"
"6 on scale 1-7","2005","Full Time","higher education","773","0.348050999638689","0.328284646025515","0.367817353251864"
"6 on scale 1-7","2005","Part Time","in school","29","","",""
"6 on scale 1-7","2005","Part Time","inadequately","5","","",""
"6 on scale 1-7","2005","Part Time","general elemantary","116","0.246452909130555","0.208450879713901","0.284454938547208"
"6 on scale 1-7","2005","Part Time","middle vocational","647","0.234199279899369","0.217618375298006","0.250780184500732"
"6 on scale 1-7","2005","Part Time","vocational + Abi","94","0.259206158103622","0.211194750246558","0.307217565960686"
"6 on scale 1-7","2005","Part Time","higher vocational","87","0.267117253445679","0.219595309971231","0.314639196920127"
"6 on scale 1-7","2005","Part Time","higher education","285","0.305656644173395","0.276064440126737","0.335248848220053"
"6 on scale 1-7","2005","Not Working","in school","130","0.258132108949966","0.221426192492151","0.29483802540778"
"6 on scale 1-7","2005","Not Working","inadequately","16","","",""
"6 on scale 1-7","2005","Not Working","general elemantary","274","0.19489706662463","0.17367996002753","0.216114173221729"
"6 on scale 1-7","2005","Not Working","middle vocational","996","0.25233595724563","0.238745739679165","0.265926174812096"
"6 on scale 1-7","2005","Not Working","vocational + Abi","82","0.268042775372614","0.216253499940749","0.31983205080448"
"6 on scale 1-7","2005","Not Working","higher vocational","120","0.253541202188891","0.213611794970101","0.293470609407682"
"6 on scale 1-7","2005","Not Working","higher education","266","0.249731510682584","0.222916617094946","0.276546404270222"
"7 Strongly agree","2005","Full Time","in school","","","",""
"7 Strongly agree","2005","Full Time","inadequately","11","","",""
"7 Strongly agree","2005","Full Time","general elemantary","136","0.261513176226758","0.224885978866832","0.298140373586685"
"7 Strongly agree","2005","Full Time","middle vocational","965","0.249724600084567","0.235983779731754","0.26346542043738"
"7 Strongly agree","2005","Full Time","vocational + Abi","111","0.190679958272873","0.157172321307283","0.224187595238463"
"7 Strongly agree","2005","Full Time","higher vocational","177","0.207216164720726","0.178550851616731","0.235881477824722"
"7 Strongly agree","2005","Full Time","higher education","502","0.226533735242202","0.209164310428574","0.24390316005583"
"7 Strongly agree","2005","Part Time","in school","12","","",""
"7 Strongly agree","2005","Part Time","inadequately","8","","",""
"7 Strongly agree","2005","Part Time","general elemantary","128","0.260381957593948","0.221683486347066","0.29908042884083"
"7 Strongly agree","2005","Part Time","middle vocational","573","0.241522294465531","0.22476485803748","0.258279730893582"
"7 Strongly agree","2005","Part Time","vocational + Abi","59","0.238765884691957","0.192054971199824","0.28547679818409"
"7 Strongly agree","2005","Part Time","higher vocational","82","0.285550516716472","0.237038066207862","0.334062967225082"
"7 Strongly agree","2005","Part Time","higher education","235","0.25208246706478","0.224190995533305","0.279973938596254"
"7 Strongly agree","2005","Not Working","in school","91","0.165098878591925","0.133957247652567","0.196240509531283"
"7 Strongly agree","2005","Not Working","inadequately","43","0.350901199890492","0.273487202602804","0.428315197178181"
"7 Strongly agree","2005","Not Working","general elemantary","312","0.229102366380865","0.206592602144729","0.251612130617002"
"7 Strongly agree","2005","Not Working","middle vocational","960","0.256368200451174","0.242706818125054","0.270029582777294"
"7 Strongly agree","2005","Not Working","vocational + Abi","71","0.283841384212143","0.231125997151207","0.336556771273079"
"7 Strongly agree","2005","Not Working","higher vocational","115","0.241374919572635","0.202099092518891","0.280650746626379"
"7 Strongly agree","2005","Not Working","higher education","288","0.298717252919504","0.270363680686674","0.327070825152333"
"1 Strongly disagree","2006","Full Time","in school","","","",""
"1 Strongly disagree","2006","Full Time","inadequately","","","",""
"1 Strongly disagree","2006","Full Time","general elemantary","","","",""
"1 Strongly disagree","2006","Full Time","middle vocational","","","",""
"1 Strongly disagree","2006","Full Time","vocational + Abi","","","",""
"1 Strongly disagree","2006","Full Time","higher vocational","","","",""
"1 Strongly disagree","2006","Full Time","higher education","","","",""
"1 Strongly disagree","2006","Part Time","in school","","","",""
"1 Strongly disagree","2006","Part Time","inadequately","","","",""
"1 Strongly disagree","2006","Part Time","general elemantary","","","",""
"1 Strongly disagree","2006","Part Time","middle vocational","","","",""
"1 Strongly disagree","2006","Part Time","vocational + Abi","","","",""
"1 Strongly disagree","2006","Part Time","higher vocational","","","",""
"1 Strongly disagree","2006","Part Time","higher education","","","",""
"1 Strongly disagree","2006","Not Working","in school","","","",""
"1 Strongly disagree","2006","Not Working","inadequately","","","",""
"1 Strongly disagree","2006","Not Working","general elemantary","","","",""
"1 Strongly disagree","2006","Not Working","middle vocational","","","",""
"1 Strongly disagree","2006","Not Working","vocational + Abi","","","",""
"1 Strongly disagree","2006","Not Working","higher vocational","","","",""
"1 Strongly disagree","2006","Not Working","higher education","","","",""
"2 on scale 1-7 ","2006","Full Time","in school","","","",""
"2 on scale 1-7 ","2006","Full Time","inadequately","","","",""
"2 on scale 1-7 ","2006","Full Time","general elemantary","","","",""
"2 on scale 1-7 ","2006","Full Time","middle vocational","","","",""
"2 on scale 1-7 ","2006","Full Time","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","Full Time","higher vocational","","","",""
"2 on scale 1-7 ","2006","Full Time","higher education","","","",""
"2 on scale 1-7 ","2006","Part Time","in school","","","",""
"2 on scale 1-7 ","2006","Part Time","inadequately","","","",""
"2 on scale 1-7 ","2006","Part Time","general elemantary","","","",""
"2 on scale 1-7 ","2006","Part Time","middle vocational","","","",""
"2 on scale 1-7 ","2006","Part Time","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","Part Time","higher vocational","","","",""
"2 on scale 1-7 ","2006","Part Time","higher education","","","",""
"2 on scale 1-7 ","2006","Not Working","in school","","","",""
"2 on scale 1-7 ","2006","Not Working","inadequately","","","",""
"2 on scale 1-7 ","2006","Not Working","general elemantary","","","",""
"2 on scale 1-7 ","2006","Not Working","middle vocational","","","",""
"2 on scale 1-7 ","2006","Not Working","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","Not Working","higher vocational","","","",""
"2 on scale 1-7 ","2006","Not Working","higher education","","","",""
"3 on scale 1-7 ","2006","Full Time","in school","","","",""
"3 on scale 1-7 ","2006","Full Time","inadequately","","","",""
"3 on scale 1-7 ","2006","Full Time","general elemantary","","","",""
"3 on scale 1-7 ","2006","Full Time","middle vocational","","","",""
"3 on scale 1-7 ","2006","Full Time","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","Full Time","higher vocational","","","",""
"3 on scale 1-7 ","2006","Full Time","higher education","","","",""
"3 on scale 1-7 ","2006","Part Time","in school","","","",""
"3 on scale 1-7 ","2006","Part Time","inadequately","","","",""
"3 on scale 1-7 ","2006","Part Time","general elemantary","","","",""
"3 on scale 1-7 ","2006","Part Time","middle vocational","","","",""
"3 on scale 1-7 ","2006","Part Time","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","Part Time","higher vocational","","","",""
"3 on scale 1-7 ","2006","Part Time","higher education","","","",""
"3 on scale 1-7 ","2006","Not Working","in school","","","",""
"3 on scale 1-7 ","2006","Not Working","inadequately","","","",""
"3 on scale 1-7 ","2006","Not Working","general elemantary","","","",""
"3 on scale 1-7 ","2006","Not Working","middle vocational","","","",""
"3 on scale 1-7 ","2006","Not Working","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","Not Working","higher vocational","","","",""
"3 on scale 1-7 ","2006","Not Working","higher education","","","",""
"4 on scale 1-7","2006","Full Time","in school","","","",""
"4 on scale 1-7","2006","Full Time","inadequately","","","",""
"4 on scale 1-7","2006","Full Time","general elemantary","","","",""
"4 on scale 1-7","2006","Full Time","middle vocational","","","",""
"4 on scale 1-7","2006","Full Time","vocational + Abi","","","",""
"4 on scale 1-7","2006","Full Time","higher vocational","","","",""
"4 on scale 1-7","2006","Full Time","higher education","","","",""
"4 on scale 1-7","2006","Part Time","in school","","","",""
"4 on scale 1-7","2006","Part Time","inadequately","","","",""
"4 on scale 1-7","2006","Part Time","general elemantary","","","",""
"4 on scale 1-7","2006","Part Time","middle vocational","","","",""
"4 on scale 1-7","2006","Part Time","vocational + Abi","","","",""
"4 on scale 1-7","2006","Part Time","higher vocational","","","",""
"4 on scale 1-7","2006","Part Time","higher education","","","",""
"4 on scale 1-7","2006","Not Working","in school","","","",""
"4 on scale 1-7","2006","Not Working","inadequately","","","",""
"4 on scale 1-7","2006","Not Working","general elemantary","","","",""
"4 on scale 1-7","2006","Not Working","middle vocational","","","",""
"4 on scale 1-7","2006","Not Working","vocational + Abi","","","",""
"4 on scale 1-7","2006","Not Working","higher vocational","","","",""
"4 on scale 1-7","2006","Not Working","higher education","","","",""
"5 on scale 1-7","2006","Full Time","in school","","","",""
"5 on scale 1-7","2006","Full Time","inadequately","","","",""
"5 on scale 1-7","2006","Full Time","general elemantary","","","",""
"5 on scale 1-7","2006","Full Time","middle vocational","","","",""
"5 on scale 1-7","2006","Full Time","vocational + Abi","","","",""
"5 on scale 1-7","2006","Full Time","higher vocational","","","",""
"5 on scale 1-7","2006","Full Time","higher education","","","",""
"5 on scale 1-7","2006","Part Time","in school","","","",""
"5 on scale 1-7","2006","Part Time","inadequately","","","",""
"5 on scale 1-7","2006","Part Time","general elemantary","","","",""
"5 on scale 1-7","2006","Part Time","middle vocational","","","",""
"5 on scale 1-7","2006","Part Time","vocational + Abi","","","",""
"5 on scale 1-7","2006","Part Time","higher vocational","","","",""
"5 on scale 1-7","2006","Part Time","higher education","","","",""
"5 on scale 1-7","2006","Not Working","in school","","","",""
"5 on scale 1-7","2006","Not Working","inadequately","","","",""
"5 on scale 1-7","2006","Not Working","general elemantary","","","",""
"5 on scale 1-7","2006","Not Working","middle vocational","","","",""
"5 on scale 1-7","2006","Not Working","vocational + Abi","","","",""
"5 on scale 1-7","2006","Not Working","higher vocational","","","",""
"5 on scale 1-7","2006","Not Working","higher education","","","",""
"6 on scale 1-7","2006","Full Time","in school","","","",""
"6 on scale 1-7","2006","Full Time","inadequately","","","",""
"6 on scale 1-7","2006","Full Time","general elemantary","","","",""
"6 on scale 1-7","2006","Full Time","middle vocational","","","",""
"6 on scale 1-7","2006","Full Time","vocational + Abi","","","",""
"6 on scale 1-7","2006","Full Time","higher vocational","","","",""
"6 on scale 1-7","2006","Full Time","higher education","","","",""
"6 on scale 1-7","2006","Part Time","in school","","","",""
"6 on scale 1-7","2006","Part Time","inadequately","","","",""
"6 on scale 1-7","2006","Part Time","general elemantary","","","",""
"6 on scale 1-7","2006","Part Time","middle vocational","","","",""
"6 on scale 1-7","2006","Part Time","vocational + Abi","","","",""
"6 on scale 1-7","2006","Part Time","higher vocational","","","",""
"6 on scale 1-7","2006","Part Time","higher education","","","",""
"6 on scale 1-7","2006","Not Working","in school","","","",""
"6 on scale 1-7","2006","Not Working","inadequately","","","",""
"6 on scale 1-7","2006","Not Working","general elemantary","","","",""
"6 on scale 1-7","2006","Not Working","middle vocational","","","",""
"6 on scale 1-7","2006","Not Working","vocational + Abi","","","",""
"6 on scale 1-7","2006","Not Working","higher vocational","","","",""
"6 on scale 1-7","2006","Not Working","higher education","","","",""
"7 Strongly agree","2006","Full Time","in school","","","",""
"7 Strongly agree","2006","Full Time","inadequately","","","",""
"7 Strongly agree","2006","Full Time","general elemantary","","","",""
"7 Strongly agree","2006","Full Time","middle vocational","","","",""
"7 Strongly agree","2006","Full Time","vocational + Abi","","","",""
"7 Strongly agree","2006","Full Time","higher vocational","","","",""
"7 Strongly agree","2006","Full Time","higher education","","","",""
"7 Strongly agree","2006","Part Time","in school","","","",""
"7 Strongly agree","2006","Part Time","inadequately","","","",""
"7 Strongly agree","2006","Part Time","general elemantary","","","",""
"7 Strongly agree","2006","Part Time","middle vocational","","","",""
"7 Strongly agree","2006","Part Time","vocational + Abi","","","",""
"7 Strongly agree","2006","Part Time","higher vocational","","","",""
"7 Strongly agree","2006","Part Time","higher education","","","",""
"7 Strongly agree","2006","Not Working","in school","","","",""
"7 Strongly agree","2006","Not Working","inadequately","","","",""
"7 Strongly agree","2006","Not Working","general elemantary","","","",""
"7 Strongly agree","2006","Not Working","middle vocational","","","",""
"7 Strongly agree","2006","Not Working","vocational + Abi","","","",""
"7 Strongly agree","2006","Not Working","higher vocational","","","",""
"7 Strongly agree","2006","Not Working","higher education","","","",""
"1 Strongly disagree","2007","Full Time","in school","","","",""
"1 Strongly disagree","2007","Full Time","inadequately","","","",""
"1 Strongly disagree","2007","Full Time","general elemantary","","","",""
"1 Strongly disagree","2007","Full Time","middle vocational","","","",""
"1 Strongly disagree","2007","Full Time","vocational + Abi","","","",""
"1 Strongly disagree","2007","Full Time","higher vocational","","","",""
"1 Strongly disagree","2007","Full Time","higher education","","","",""
"1 Strongly disagree","2007","Part Time","in school","","","",""
"1 Strongly disagree","2007","Part Time","inadequately","","","",""
"1 Strongly disagree","2007","Part Time","general elemantary","","","",""
"1 Strongly disagree","2007","Part Time","middle vocational","","","",""
"1 Strongly disagree","2007","Part Time","vocational + Abi","","","",""
"1 Strongly disagree","2007","Part Time","higher vocational","","","",""
"1 Strongly disagree","2007","Part Time","higher education","","","",""
"1 Strongly disagree","2007","Not Working","in school","","","",""
"1 Strongly disagree","2007","Not Working","inadequately","","","",""
"1 Strongly disagree","2007","Not Working","general elemantary","","","",""
"1 Strongly disagree","2007","Not Working","middle vocational","","","",""
"1 Strongly disagree","2007","Not Working","vocational + Abi","","","",""
"1 Strongly disagree","2007","Not Working","higher vocational","","","",""
"1 Strongly disagree","2007","Not Working","higher education","","","",""
"2 on scale 1-7 ","2007","Full Time","in school","","","",""
"2 on scale 1-7 ","2007","Full Time","inadequately","","","",""
"2 on scale 1-7 ","2007","Full Time","general elemantary","","","",""
"2 on scale 1-7 ","2007","Full Time","middle vocational","","","",""
"2 on scale 1-7 ","2007","Full Time","vocational + Abi","","","",""
"2 on scale 1-7 ","2007","Full Time","higher vocational","","","",""
"2 on scale 1-7 ","2007","Full Time","higher education","","","",""
"2 on scale 1-7 ","2007","Part Time","in school","","","",""
"2 on scale 1-7 ","2007","Part Time","inadequately","","","",""
"2 on scale 1-7 ","2007","Part Time","general elemantary","","","",""
"2 on scale 1-7 ","2007","Part Time","middle vocational","","","",""
"2 on scale 1-7 ","2007","Part Time","vocational + Abi","","","",""
"2 on scale 1-7 ","2007","Part Time","higher vocational","","","",""
"2 on scale 1-7 ","2007","Part Time","higher education","","","",""
"2 on scale 1-7 ","2007","Not Working","in school","","","",""
"2 on scale 1-7 ","2007","Not Working","inadequately","","","",""
"2 on scale 1-7 ","2007","Not Working","general elemantary","","","",""
"2 on scale 1-7 ","2007","Not Working","middle vocational","","","",""
"2 on scale 1-7 ","2007","Not Working","vocational + Abi","","","",""
"2 on scale 1-7 ","2007","Not Working","higher vocational","","","",""
"2 on scale 1-7 ","2007","Not Working","higher education","","","",""
"3 on scale 1-7 ","2007","Full Time","in school","","","",""
"3 on scale 1-7 ","2007","Full Time","inadequately","","","",""
"3 on scale 1-7 ","2007","Full Time","general elemantary","","","",""
"3 on scale 1-7 ","2007","Full Time","middle vocational","","","",""
"3 on scale 1-7 ","2007","Full Time","vocational + Abi","","","",""
"3 on scale 1-7 ","2007","Full Time","higher vocational","","","",""
"3 on scale 1-7 ","2007","Full Time","higher education","","","",""
"3 on scale 1-7 ","2007","Part Time","in school","","","",""
"3 on scale 1-7 ","2007","Part Time","inadequately","","","",""
"3 on scale 1-7 ","2007","Part Time","general elemantary","","","",""
"3 on scale 1-7 ","2007","Part Time","middle vocational","","","",""
"3 on scale 1-7 ","2007","Part Time","vocational + Abi","","","",""
"3 on scale 1-7 ","2007","Part Time","higher vocational","","","",""
"3 on scale 1-7 ","2007","Part Time","higher education","","","",""
"3 on scale 1-7 ","2007","Not Working","in school","","","",""
"3 on scale 1-7 ","2007","Not Working","inadequately","","","",""
"3 on scale 1-7 ","2007","Not Working","general elemantary","","","",""
"3 on scale 1-7 ","2007","Not Working","middle vocational","","","",""
"3 on scale 1-7 ","2007","Not Working","vocational + Abi","","","",""
"3 on scale 1-7 ","2007","Not Working","higher vocational","","","",""
"3 on scale 1-7 ","2007","Not Working","higher education","","","",""
"4 on scale 1-7","2007","Full Time","in school","","","",""
"4 on scale 1-7","2007","Full Time","inadequately","","","",""
"4 on scale 1-7","2007","Full Time","general elemantary","","","",""
"4 on scale 1-7","2007","Full Time","middle vocational","","","",""
"4 on scale 1-7","2007","Full Time","vocational + Abi","","","",""
"4 on scale 1-7","2007","Full Time","higher vocational","","","",""
"4 on scale 1-7","2007","Full Time","higher education","","","",""
"4 on scale 1-7","2007","Part Time","in school","","","",""
"4 on scale 1-7","2007","Part Time","inadequately","","","",""
"4 on scale 1-7","2007","Part Time","general elemantary","","","",""
"4 on scale 1-7","2007","Part Time","middle vocational","","","",""
