"plh0206i06","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","(0) in school","","","",""
"1 Strongly disagree","2005","lower secondary degree","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","lower secondary degree","(1b) general elementary school","74","0.0634568825862386","0.0510452976405114","0.0758684675319657"
"1 Strongly disagree","2005","lower secondary degree","(1c) basic vocational qualification","170","0.0408873762319485","0.0355769965425779","0.046197755921319"
"1 Strongly disagree","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","lower secondary degree","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","secondary school degree","(0) in school","","","",""
"1 Strongly disagree","2005","secondary school degree","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","secondary school degree","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","secondary school degree","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","secondary school degree","(2a) intermediate vocational","99","0.0212140028863593","0.0171277460896804","0.0253002596830381"
"1 Strongly disagree","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","secondary school degree","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","secondary school degree","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","college entrance qualification","(0) in school","","","",""
"1 Strongly disagree","2005","college entrance qualification","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","college entrance qualification","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","college entrance qualification","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","college entrance qualification","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","Other degree","(0) in school","","","",""
"1 Strongly disagree","2005","Other degree","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","Other degree","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","Other degree","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","Other degree","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","Other degree","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","Other degree","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","Other degree","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","Other degree","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","Other degree","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(0) in school","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(0) in school","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(1b) general elementary school","55","0.0342635717981096","0.0250023216881185","0.0435248219081007"
"2 on scale 1-7 ","2005","lower secondary degree","(1c) basic vocational qualification","167","0.0279199829316085","0.0235021963562051","0.0323377695070119"
"2 on scale 1-7 ","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(3a) lower tertiary education","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(0) in school","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(1b) general elementary school","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(2b) intermediate general qualification","33","0.0565309136736523","0.0376708267935139","0.0753910005537908"
"2 on scale 1-7 ","2005","secondary school degree","(2a) intermediate vocational","165","0.0327517015609142","0.0277044332583746","0.0377989698634539"
"2 on scale 1-7 ","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
