"plh0206i06","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","Full Time","","","","","1"
"1 Strongly disagree","2005","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2005","Not Employed","Not Working","271","0.0447547419270959","0.0401752589092038","0.0493342249449879","1"
"1 Strongly disagree","2005","Employed","Full Time","127","0.0205573723614987","0.0174508847235731","0.0236638599994243","1"
"1 Strongly disagree","2005","Employed","Part Time","104","0.0227932852523853","0.0185756187451751","0.0270109517595955","1"
"1 Strongly disagree","2005","Employed","Not Working","","","","","1"
"2 on scale 1-7 ","2005","Not Employed","Not Working","251","0.0318038944727115","0.0279173709852646","0.0356904179601583","2"
"2 on scale 1-7 ","2005","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2005","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2005","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2005","Employed","Full Time","241","0.0293348633511079","0.0256406406042832","0.0330290860979325","2"
"2 on scale 1-7 ","2005","Employed","Part Time","144","0.0288376624122094","0.024108311977922","0.0335670128464969","2"
"3 on scale 1-7 ","2005","Employed","Part Time","272","0.0592835015897724","0.0526097220380948","0.06595728114145","3"
"3 on scale 1-7 ","2005","Not Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2005","Employed","Full Time","429","0.0518824614401728","0.0470269195658675","0.0567380033144781","3"
"3 on scale 1-7 ","2005","Not Employed","Not Working","453","0.0582804454059721","0.0530917078551205","0.0634691829568237","3"
"3 on scale 1-7 ","2005","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2005","Employed","Not Working","","","","","3"
"4 on scale 1-7","2005","Employed","Not Working","","","","","4"
"4 on scale 1-7","2005","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2005","Not Employed","Not Working","1344","0.16732251796007","0.159055381907328","0.175589654012812","4"
"4 on scale 1-7","2005","Employed","Part Time","795","0.169133687502703","0.158539779747904","0.179727595257502","4"
"4 on scale 1-7","2005","Not Employed","Full Time","","","","","4"
"4 on scale 1-7","2005","Employed","Full Time","1215","0.160908884491541","0.152864535545464","0.168953233437617","4"
"5 on scale 1-7","2005","Employed","Not Working","","","","","5"
"5 on scale 1-7","2005","Employed","Full Time","1842","0.23004701698015","0.220833260414215","0.239260773546085","5"
"5 on scale 1-7","2005","Employed","Part Time","1088","0.221378438569084","0.209645510023923","0.233111367114244","5"
"5 on scale 1-7","2005","Not Employed","Full Time","","","","","5"
"5 on scale 1-7","2005","Not Employed","Part Time","","","","","5"
"5 on scale 1-7","2005","Not Employed","Not Working","1691","0.207263967503806","0.198286255241257","0.216241679766356","5"
"6 on scale 1-7","2005","Employed","Not Working","","","","","6"
"6 on scale 1-7","2005","Not Employed","Not Working","1910","0.239025473102742","0.229579501580709","0.248471444624774","6"
"6 on scale 1-7","2005","Employed","Part Time","1291","0.252814873798725","0.240532255027009","0.26509749257044","6"
"6 on scale 1-7","2005","Not Employed","Full Time","","","","","6"
"6 on scale 1-7","2005","Employed","Full Time","2248","0.271095287936147","0.261363498783191","0.280827077089104","6"
"6 on scale 1-7","2005","Not Employed","Part Time","","","","","6"
"7 Strongly agree","2005","Employed","Not Working","","","","","7"
"7 Strongly agree","2005","Employed","Part Time","1116","0.245758550875122","0.233591507137989","0.257925594612255","7"
"7 Strongly agree","2005","Not Employed","Not Working","1911","0.251548959627603","0.241938759317365","0.261159159937841","7"
"7 Strongly agree","2005","Employed","Full Time","1913","0.236174113439383","0.226875682690544","0.245472544188222","7"
"7 Strongly agree","2005","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2005","Not Employed","Part Time","","","","","7"
"1 Strongly disagree","2006","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2006","Not Employed","Not Working","","","","","1"
"1 Strongly disagree","2006","Employed","Full Time","","","","","1"
"1 Strongly disagree","2006","Employed","Part Time","","","","","1"
"1 Strongly disagree","2006","Employed","Not Working","","","","","1"
"1 Strongly disagree","2006","Not Employed","Full Time","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2006","Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2006","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2006","Employed","Part Time","","","","","2"
"3 on scale 1-7 ","2006","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2006","Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2006","Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Full Time","","","","","3"
"4 on scale 1-7","2006","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2006","Not Employed","Full Time","","","","","4"
"4 on scale 1-7","2006","Employed","Not Working","","","","","4"
"4 on scale 1-7","2006","Employed","Part Time","","","","","4"
"4 on scale 1-7","2006","Employed","Full Time","","","","","4"
"4 on scale 1-7","2006","Not Employed","Not Working","","","","","4"
"5 on scale 1-7","2006","Employed","Not Working","","","","","5"
"5 on scale 1-7","2006","Employed","Part Time","","","","","5"
"5 on scale 1-7","2006","Not Employed","Not Working","","","","","5"
"5 on scale 1-7","2006","Employed","Full Time","","","","","5"
