"plh0206i06","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","in school","Urban Area","15","","","","1"
"1 Strongly disagree","2005","in school","Rural Area","7","","","","1"
"1 Strongly disagree","2005","inadequately","Urban Area","15","","","","1"
"1 Strongly disagree","2005","inadequately","Rural Area","7","","","","1"
"1 Strongly disagree","2005","general elemantary","Urban Area","69","0.0523977971877681","0.0415737310728165","0.0632218633027197","1"
"1 Strongly disagree","2005","general elemantary","Rural Area","32","0.0595837103496668","0.0427322581925843","0.0764351625067494","1"
"1 Strongly disagree","2005","middle vocational","Urban Area","167","0.0299808413272233","0.0258477854116762","0.0341138972427704","1"
"1 Strongly disagree","2005","middle vocational","Rural Area","96","0.0322495229474581","0.0265587241875744","0.0379403217073418","1"
"1 Strongly disagree","2005","vocational + Abi","Urban Area","16","","","","1"
"1 Strongly disagree","2005","vocational + Abi","Rural Area","4","","","","1"
"1 Strongly disagree","2005","higher vocational","Urban Area","22","","","","1"
"1 Strongly disagree","2005","higher vocational","Rural Area","17","","","","1"
"1 Strongly disagree","2005","higher education","Urban Area","16","","","","1"
"1 Strongly disagree","2005","higher education","Rural Area","7","","","","1"
"2 on scale 1-7 ","2005","general elemantary","Rural Area","37","0.0490840617059485","0.0337041161447353","0.0644640072671616","2"
"2 on scale 1-7 ","2005","middle vocational","Urban Area","206","0.0289248942543472","0.0248630663651771","0.0329867221435173","2"
"2 on scale 1-7 ","2005","middle vocational","Rural Area","134","0.0347810253847067","0.0288788243228263","0.0406832264465871","2"
"2 on scale 1-7 ","2005","vocational + Abi","Urban Area","18","","","","2"
"2 on scale 1-7 ","2005","higher vocational","Urban Area","26","","","","2"
"2 on scale 1-7 ","2005","higher vocational","Rural Area","13","","","","2"
"2 on scale 1-7 ","2005","higher education","Urban Area","58","0.019550008128609","0.0145649702794828","0.0245350459777352","2"
"2 on scale 1-7 ","2005","higher education","Rural Area","23","","","","2"
"2 on scale 1-7 ","2005","in school","Urban Area","15","","","","2"
"2 on scale 1-7 ","2005","in school","Rural Area","9","","","","2"
"2 on scale 1-7 ","2005","inadequately","Urban Area","5","","","","2"
"2 on scale 1-7 ","2005","inadequately","Rural Area","3","","","","2"
"2 on scale 1-7 ","2005","general elemantary","Urban Area","63","0.0349543150594491","0.0260326641585353","0.0438759659603629","2"
"2 on scale 1-7 ","2005","vocational + Abi","Rural Area","10","","","","2"
"3 on scale 1-7 ","2005","general elemantary","Urban Area","106","0.0631553711088724","0.0513396611414632","0.0749710810762815","3"
"3 on scale 1-7 ","2005","general elemantary","Rural Area","52","0.065978530660955","0.0483062240641145","0.0836508372577954","3"
"3 on scale 1-7 ","2005","middle vocational","Urban Area","380","0.0577267193790256","0.0520742776540369","0.0633791611040143","3"
"3 on scale 1-7 ","2005","in school","Urban Area","33","0.0742238774220208","0.0499231577175298","0.0985245971265117","3"
"3 on scale 1-7 ","2005","in school","Rural Area","18","","","","3"
"3 on scale 1-7 ","2005","inadequately","Urban Area","10","","","","3"
"3 on scale 1-7 ","2005","inadequately","Rural Area","2","","","","3"
"3 on scale 1-7 ","2005","middle vocational","Rural Area","220","0.0635601851385009","0.0557012736812575","0.0714190965957444","3"
"3 on scale 1-7 ","2005","vocational + Abi","Urban Area","49","0.0551005678233471","0.0399122605940236","0.0702888750526706","3"
"3 on scale 1-7 ","2005","vocational + Abi","Rural Area","9","","","","3"
"3 on scale 1-7 ","2005","higher vocational","Urban Area","49","0.046065017154472","0.0330725060275277","0.0590575282814162","3"
"3 on scale 1-7 ","2005","higher vocational","Rural Area","30","0.0483623402867327","0.0305463503862789","0.0661783301871865","3"
"3 on scale 1-7 ","2005","higher education","Urban Area","118","0.0363096503800122","0.0295742711419243","0.0430450296181002","3"
"3 on scale 1-7 ","2005","higher education","Rural Area","56","0.0509937565217427","0.0385471630244908","0.0634403500189946","3"
"4 on scale 1-7","2005","middle vocational","Urban Area","1053","0.166396914774304","0.15737057851483","0.175423251033777","4"
"4 on scale 1-7","2005","general elemantary","Rural Area","139","0.189871107440837","0.161950813219226","0.217791401662449","4"
"4 on scale 1-7","2005","higher education","Rural Area","164","0.145688416721207","0.125727608263429","0.165649225178985","4"
"4 on scale 1-7","2005","middle vocational","Rural Area","632","0.161848200006472","0.149983816903012","0.173712583109931","4"
"4 on scale 1-7","2005","vocational + Abi","Urban Area","144","0.174730071807902","0.149453371452066","0.200006772163739","4"
"4 on scale 1-7","2005","in school","Urban Area","85","0.197274185765973","0.160383810432013","0.234164561099934","4"
"4 on scale 1-7","2005","in school","Rural Area","42","0.202823653667737","0.146815404236753","0.258831903098722","4"
