"plh0206i06","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","22","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","13","","",""
"1 Strongly disagree","2005","(1b) general elementary school","95","0.0672492824541139","0.0558180184209548","0.0786805464872731"
"1 Strongly disagree","2005","(1c) basic vocational qualification","181","0.0406931980562126","0.0355648893827279","0.0458215067296972"
"1 Strongly disagree","2005","(2b) intermediate general qualification","16","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","101","0.0216645869249015","0.0175451575394002","0.0257840163104028"
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","13","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","25","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","17","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","6","","",""
"2 on scale 1-7 ","2005","(0) in school","24","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","8","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","68","0.0350627959773336","0.0266674145802906","0.0434581773743765"
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","179","0.0276847322199847","0.023426217029276","0.0319432474106935"
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","33","0.0560009789764741","0.0372729362847662","0.074729021668182"
"2 on scale 1-7 ","2005","(2a) intermediate vocational","168","0.0335073890289391","0.028415399144433","0.0385993789134452"
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","17","","",""
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","36","0.0245287025491702","0.0167267347543232","0.0323306703440173"
"2 on scale 1-7 ","2005","(3a) lower tertiary education","39","0.0272706069606073","0.0193999939066736","0.0351412200145409"
"2 on scale 1-7 ","2005","(3b) higher tertiary education","42","0.0171418177689307","0.0120719796337414","0.0222116559041201"
"3 on scale 1-7 ","2005","(0) in school","52","0.0737395223868124","0.053632745001317","0.0938462997723078"
"3 on scale 1-7 ","2005","(1a) inadequately completed","16","","",""
"3 on scale 1-7 ","2005","(1b) general elementary school","113","0.0590020112398877","0.0482473833537707","0.0697566391260047"
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","332","0.0595835657160596","0.0534394719582113","0.0657276594739079"
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","46","0.0801162801069169","0.0580038912167841","0.10222866899705"
"3 on scale 1-7 ","2005","(2a) intermediate vocational","278","0.0581965254771661","0.0515721240558972","0.064820926898435"
