"plh0206i06","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","Male","","","",""
"1 Strongly disagree","2005","in school","Female","","","",""
"1 Strongly disagree","2005","inadequately","Male","","","",""
"1 Strongly disagree","2005","inadequately","Female","","","",""
"1 Strongly disagree","2005","general elemantary","Male","","","",""
"1 Strongly disagree","2005","general elemantary","Female","75","0.0636068817449617","0.0516894827407245","0.0755242807491989"
"1 Strongly disagree","2005","middle vocational","Male","118","0.0313743436009939","0.0264817738987981","0.0362669133031898"
"1 Strongly disagree","2005","middle vocational","Female","145","0.0301506952319981","0.0255749269593718","0.0347264635046244"
"1 Strongly disagree","2005","vocational + Abi","Male","","","",""
"1 Strongly disagree","2005","vocational + Abi","Female","","","",""
"1 Strongly disagree","2005","higher vocational","Male","","","",""
"1 Strongly disagree","2005","higher vocational","Female","","","",""
"1 Strongly disagree","2005","higher education","Male","","","",""
"1 Strongly disagree","2005","higher education","Female","","","",""
"2 on scale 1-7 ","2005","in school","Male","","","",""
"2 on scale 1-7 ","2005","in school","Female","","","",""
"2 on scale 1-7 ","2005","inadequately","Male","","","",""
"2 on scale 1-7 ","2005","inadequately","Female","","","",""
"2 on scale 1-7 ","2005","general elemantary","Male","30","0.03207304993739","0.0196682815158347","0.0444778183589453"
"2 on scale 1-7 ","2005","general elemantary","Female","70","0.0429004361592493","0.0330055743387487","0.0527952979797499"
"2 on scale 1-7 ","2005","middle vocational","Male","139","0.0267362316709863","0.0222089544445152","0.0312635088974574"
"2 on scale 1-7 ","2005","middle vocational","Female","201","0.0349338948412128","0.0300206855607","0.0398471041217257"
"2 on scale 1-7 ","2005","vocational + Abi","Male","","","",""
"2 on scale 1-7 ","2005","vocational + Abi","Female","","","",""
"2 on scale 1-7 ","2005","higher vocational","Male","","","",""
"2 on scale 1-7 ","2005","higher vocational","Female","","","",""
"2 on scale 1-7 ","2005","higher education","Male","37","0.0176823665459639","0.012303204789907","0.0230615283020208"
"2 on scale 1-7 ","2005","higher education","Female","44","0.026136083676405","0.0188798454502113","0.0333923219025986"
"3 on scale 1-7 ","2005","in school","Male","","","",""
"3 on scale 1-7 ","2005","in school","Female","","","",""
"3 on scale 1-7 ","2005","inadequately","Male","","","",""
"3 on scale 1-7 ","2005","inadequately","Female","","","",""
"3 on scale 1-7 ","2005","general elemantary","Male","58","0.0646211552175843","0.0473119004482316","0.081930409986937"
"3 on scale 1-7 ","2005","general elemantary","Female","100","0.0637697696649534","0.0518381589618045","0.0757013803681024"
"3 on scale 1-7 ","2005","middle vocational","Male","273","0.0550262633543856","0.0486264605314211","0.0614260661773501"
"3 on scale 1-7 ","2005","middle vocational","Female","327","0.0642133812232945","0.0576539767358798","0.0707727857107091"
"3 on scale 1-7 ","2005","vocational + Abi","Male","","","",""
"3 on scale 1-7 ","2005","vocational + Abi","Female","38","0.0553715582450269","0.0379760175244637","0.0727670989655901"
"3 on scale 1-7 ","2005","higher vocational","Male","38","0.0457684015562635","0.0320463512102815","0.0594904519022455"
"3 on scale 1-7 ","2005","higher vocational","Female","41","0.0483273581410395","0.0320399756244634","0.0646147406576157"
"3 on scale 1-7 ","2005","higher education","Male","90","0.0434521859226636","0.0351311461873316","0.0517732256579957"
"3 on scale 1-7 ","2005","higher education","Female","84","0.0358962117929676","0.0274350822700997","0.0443573413158355"
"4 on scale 1-7","2005","in school","Male","61","0.191219238877659","0.147228616961286","0.235209860794032"
"4 on scale 1-7","2005","in school","Female","66","0.205991542289926","0.162876680350269","0.249106404229583"
"4 on scale 1-7","2005","inadequately","Male","","","",""
"4 on scale 1-7","2005","inadequately","Female","34","0.224039548902602","0.152366058743558","0.295713039061647"
"4 on scale 1-7","2005","general elemantary","Male","143","0.184674327587678","0.157355248109399","0.211993407065958"
"4 on scale 1-7","2005","general elemantary","Female","289","0.1781517388513","0.159466821811527","0.196836655891073"
"4 on scale 1-7","2005","middle vocational","Male","780","0.159832762433512","0.149548160496836","0.170117364370187"
"4 on scale 1-7","2005","middle vocational","Female","905","0.169686338072843","0.159642313685917","0.17973036245977"
"4 on scale 1-7","2005","vocational + Abi","Male","85","0.206774964624482","0.169964711951444","0.24358521729752"
"4 on scale 1-7","2005","vocational + Abi","Female","104","0.145778057154987","0.118937254937278","0.172618859372696"
"4 on scale 1-7","2005","higher vocational","Male","136","0.157698310459138","0.133767544736849","0.181629076181427"
"4 on scale 1-7","2005","higher vocational","Female","114","0.194484952417363","0.164424825645378","0.224545079189347"
"4 on scale 1-7","2005","higher education","Male","316","0.149380001684598","0.134831024461289","0.163928978907907"
"4 on scale 1-7","2005","higher education","Female","251","0.132937868464191","0.117496293143444","0.148379443784937"
"5 on scale 1-7","2005","in school","Male","80","0.23567019699386","0.188194469022547","0.283145924965173"
"5 on scale 1-7","2005","in school","Female","77","0.230979594671148","0.186048657198369","0.275910532143927"
"5 on scale 1-7","2005","inadequately","Male","","","",""
"5 on scale 1-7","2005","inadequately","Female","","","",""
"5 on scale 1-7","2005","general elemantary","Male","161","0.204589194025368","0.176188148442309","0.232990239608427"
"5 on scale 1-7","2005","general elemantary","Female","345","0.209790408378201","0.189908215461904","0.229672601294499"
"5 on scale 1-7","2005","middle vocational","Male","1116","0.226331996262476","0.214587834937576","0.238076157587377"
"5 on scale 1-7","2005","middle vocational","Female","1120","0.203725728610311","0.192948241567451","0.214503215653171"
"5 on scale 1-7","2005","vocational + Abi","Male","128","0.257087736806726","0.217365741225009","0.296809732388444"
"5 on scale 1-7","2005","vocational + Abi","Female","147","0.220040393259577","0.188530182110363","0.25155060440879"
"5 on scale 1-7","2005","higher vocational","Male","226","0.263601243089351","0.234671838897145","0.292530647281558"
"5 on scale 1-7","2005","higher vocational","Female","144","0.207945460614149","0.177123288430444","0.238767632797854"
"5 on scale 1-7","2005","higher education","Male","569","0.23312412248649","0.215866753490675","0.250381491482304"
"5 on scale 1-7","2005","higher education","Female","400","0.218481125020102","0.19968714172161","0.237275108318594"
"6 on scale 1-7","2005","in school","Male","71","0.215518216166641","0.169523035732842","0.26151339660044"
"6 on scale 1-7","2005","in school","Female","90","0.293074331041617","0.244549335093081","0.341599326990153"
"6 on scale 1-7","2005","inadequately","Male","","","",""
"6 on scale 1-7","2005","inadequately","Female","","","",""
"6 on scale 1-7","2005","general elemantary","Male","162","0.220290379096162","0.191111980587194","0.24946877760513"
"6 on scale 1-7","2005","general elemantary","Female","351","0.205688450992194","0.185950561499376","0.225426340485013"
"6 on scale 1-7","2005","middle vocational","Male","1243","0.251181428539687","0.239009657351221","0.263353199728153"
"6 on scale 1-7","2005","middle vocational","Female","1377","0.245795028808079","0.234273914893424","0.257316142722735"
"6 on scale 1-7","2005","vocational + Abi","Male","116","0.25222987678654","0.212756531547547","0.291703222025533"
"6 on scale 1-7","2005","vocational + Abi","Female","202","0.279774395022772","0.245631345143699","0.313917444901845"
"6 on scale 1-7","2005","higher vocational","Male","242","0.268129792251368","0.239042800404212","0.297216784098523"
"6 on scale 1-7","2005","higher vocational","Female","164","0.232319913371625","0.200246562699775","0.264393264043475"
"6 on scale 1-7","2005","higher education","Male","742","0.315208732279613","0.296246185440265","0.334171279118961"
"6 on scale 1-7","2005","higher education","Female","582","0.305497334607337","0.2845473933142","0.326447275900474"
"7 Strongly agree","2005","in school","Male","48","0.211731238347324","0.16603204542858","0.257430431266069"
"7 Strongly agree","2005","in school","Female","55","0.125330274259924","0.0900331126532979","0.160627435866551"
"7 Strongly agree","2005","inadequately","Male","30","0.275224649163617","0.188549743838499","0.361899554488735"
"7 Strongly agree","2005","inadequately","Female","32","0.290085879608215","0.212077255721052","0.368094503495378"
"7 Strongly agree","2005","general elemantary","Male","195","0.257854654809975","0.227056179894516","0.288653129725435"
"7 Strongly agree","2005","general elemantary","Female","381","0.23609231420914","0.215354561794259","0.256830066624021"
"7 Strongly agree","2005","middle vocational","Male","1208","0.249516974137959","0.237372122948118","0.261661825327801"
"7 Strongly agree","2005","middle vocational","Female","1290","0.251494933212261","0.239885120332901","0.263104746091622"
"7 Strongly agree","2005","vocational + Abi","Male","102","0.214927808949824","0.17759224486584","0.252263373033809"
"7 Strongly agree","2005","vocational + Abi","Female","139","0.240797569057439","0.208276194339378","0.2733189437755"
