"plh0206i06","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","West Germany","200","0.0458119816341541","0.0403728018248409","0.0512511614434672"
"1 Strongly disagree","2005","lower secondary degree","East Germany","52","0.045579714570159","0.0345992148008486","0.0565602143394694"
"1 Strongly disagree","2005","secondary school degree","West Germany","68","0.0166468699267972","0.0125756883454588","0.0207180515081357"
"1 Strongly disagree","2005","secondary school degree","East Germany","55","0.0275234855268819","0.0207240638393404","0.0343229072144235"
"1 Strongly disagree","2005","college entrance qualification","West Germany","","","",""
"1 Strongly disagree","2005","college entrance qualification","East Germany","","","",""
"1 Strongly disagree","2005","Other degree","West Germany","37","0.0451261825601446","0.0326650711391473","0.0575872939811419"
"1 Strongly disagree","2005","Other degree","East Germany","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","West Germany","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","East Germany","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","West Germany","182","0.0282916566979296","0.0239782137990469","0.0326050995968122"
"2 on scale 1-7 ","2005","lower secondary degree","East Germany","50","0.0386701099296821","0.0285195405935961","0.048820679265768"
"2 on scale 1-7 ","2005","secondary school degree","West Germany","132","0.0331529274193463","0.0274560186791528","0.0388498361595398"
"2 on scale 1-7 ","2005","secondary school degree","East Germany","81","0.038704672222654","0.0306880611862534","0.0467212832590547"
"2 on scale 1-7 ","2005","college entrance qualification","West Germany","72","0.0195270766795542","0.0152708819222803","0.023783271436828"
"2 on scale 1-7 ","2005","college entrance qualification","East Germany","32","0.0338842198109548","0.0233068358771849","0.0444616037447247"
"2 on scale 1-7 ","2005","Other degree","West Germany","","","",""
"2 on scale 1-7 ","2005","Other degree","East Germany","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","West Germany","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","East Germany","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","West Germany","349","0.0622580493941876","0.0559721659344053","0.0685439328539699"
"3 on scale 1-7 ","2005","lower secondary degree","East Germany","76","0.0584335976659724","0.046084840071911","0.0707823552600337"
"3 on scale 1-7 ","2005","secondary school degree","West Germany","229","0.0581558993352658","0.050708822636365","0.0656029760341666"
"3 on scale 1-7 ","2005","secondary school degree","East Germany","127","0.0630495425536607","0.0529481794315686","0.0731509056757527"
"3 on scale 1-7 ","2005","college entrance qualification","West Germany","184","0.0424753848735092","0.0362720002500824","0.0486787694969359"
"3 on scale 1-7 ","2005","college entrance qualification","East Germany","49","0.0476114066953086","0.0351626054098856","0.0600602079807317"
"3 on scale 1-7 ","2005","Other degree","West Germany","46","0.0373671268394729","0.0259818214043602","0.0487524322745856"
"3 on scale 1-7 ","2005","Other degree","East Germany","","","",""
