"plh0206i06","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","Male","73","0.0173136747165046","0.0138165030630556","0.0208108463699537"
"1 Strongly disagree","2005","Full Time","Female","54","0.0274288625556996","0.021234797895415","0.0336229272159842"
"1 Strongly disagree","2005","Part Time","Male","21","","",""
"1 Strongly disagree","2005","Part Time","Female","83","0.0256156543432028","0.0203239071373475","0.0309074015490581"
"1 Strongly disagree","2005","Not Working","Male","111","0.0471038049851782","0.0397053062198671","0.0545023037504892"
"1 Strongly disagree","2005","Not Working","Female","160","0.0432138766838216","0.0373888513492529","0.0490389020183902"
"2 on scale 1-7 ","2005","Full Time","Male","151","0.0258676565654825","0.0216116490023851","0.0301236641285799"
"2 on scale 1-7 ","2005","Full Time","Female","90","0.0366798381410548","0.029551140787488","0.0438085354946217"
"2 on scale 1-7 ","2005","Part Time","Male","28","","",""
"2 on scale 1-7 ","2005","Part Time","Female","116","0.0316494459735839","0.0257856267661016","0.0375132651810663"
"2 on scale 1-7 ","2005","Not Working","Male","81","0.0262375966476089","0.0206557057825714","0.0318194875126464"
"2 on scale 1-7 ","2005","Not Working","Female","170","0.0354551012050739","0.0301574988142551","0.0407527035958926"
"3 on scale 1-7 ","2005","Full Time","Male","281","0.0516608569715829","0.0457264475202654","0.0575952664229003"
"3 on scale 1-7 ","2005","Full Time","Female","148","0.052351911154531","0.0439049409385281","0.0607988813705339"
"3 on scale 1-7 ","2005","Part Time","Male","70","0.055807898153326","0.0437229583720302","0.0678928379346219"
"3 on scale 1-7 ","2005","Part Time","Female","202","0.0609609470864547","0.0529469553020753","0.0689749388708341"
"3 on scale 1-7 ","2005","Not Working","Male","176","0.0532439411278373","0.0454033833781299","0.0610844988775448"
"3 on scale 1-7 ","2005","Not Working","Female","277","0.0615841346633033","0.0546974394461027","0.068470829880504"
"4 on scale 1-7","2005","Full Time","Male","826","0.161534461580432","0.151667349321226","0.171401573839638"
"4 on scale 1-7","2005","Full Time","Female","389","0.159583654059331","0.14569524194556","0.173472066173102"
"4 on scale 1-7","2005","Part Time","Male","201","0.167550828427711","0.147889238755675","0.187212418099748"
"4 on scale 1-7","2005","Part Time","Female","594","0.169897629613988","0.157318786519499","0.182476472708476"
"4 on scale 1-7","2005","Not Working","Male","534","0.161274713674039","0.148431141748464","0.174118285599614"
"4 on scale 1-7","2005","Not Working","Female","810","0.171289568308253","0.160496482477905","0.182082654138601"
"5 on scale 1-7","2005","Full Time","Male","1284","0.241071474249839","0.229603460192467","0.252539488307211"
"5 on scale 1-7","2005","Full Time","Female","558","0.206692667001826","0.191336090206192","0.222049243797459"
"5 on scale 1-7","2005","Part Time","Male","348","0.225310398227869","0.203315550643973","0.247305245811765"
"5 on scale 1-7","2005","Part Time","Female","740","0.21948073989794","0.20561729269183","0.23334418710405"
"5 on scale 1-7","2005","Not Working","Male","700","0.213827698857123","0.199509655787394","0.228145741926852"
"5 on scale 1-7","2005","Not Working","Female","991","0.20295849538218","0.191436628419369","0.21448036234499"
"6 on scale 1-7","2005","Full Time","Male","1468","0.269506943874393","0.257610753873353","0.281403133875432"
"6 on scale 1-7","2005","Full Time","Female","780","0.27446005612353","0.257536899086797","0.291383213160263"
"6 on scale 1-7","2005","Part Time","Male","376","0.266087713575744","0.242822825587901","0.289352601563588"
"6 on scale 1-7","2005","Part Time","Female","915","0.246408945815493","0.231975257740943","0.260842633890043"
