"plh0206i06","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","no migration background","103","0.0281924221714406","0.0231412467620367","0.0332435975808445","1"
"1 Strongly disagree","2005","16-34 y.","direct migration background","8","","","","1"
"1 Strongly disagree","2005","16-34 y.","indirect migration background","16","","","","1"
"1 Strongly disagree","2005","35-65 y.","no migration background","209","0.0286015415278847","0.0253287024128208","0.0318743806429486","1"
"1 Strongly disagree","2005","35-65 y.","direct migration background","38","0.028072601712369","0.0196113269687298","0.0365338764560083","1"
"1 Strongly disagree","2005","35-65 y.","indirect migration background","5","","","","1"
"1 Strongly disagree","2005","66 and older","no migration background","113","0.0415972196674406","0.0348719330401611","0.0483225062947202","1"
"1 Strongly disagree","2005","66 and older","direct migration background","9","","","","1"
"1 Strongly disagree","2005","66 and older","indirect migration background","1","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","indirect migration background","6","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","no migration background","162","0.0370919645333299","0.0313247190451415","0.0428592100215183","2"
"2 on scale 1-7 ","2005","16-34 y.","indirect migration background","9","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","no migration background","306","0.0315561110769592","0.0281236138018429","0.0349886083520755","2"
"2 on scale 1-7 ","2005","35-65 y.","direct migration background","38","0.0282246503451298","0.0197411559528028","0.0367081447374569","2"
"2 on scale 1-7 ","2005","66 and older","no migration background","77","0.0234476652921405","0.0183508114665163","0.0285445191177647","2"
"2 on scale 1-7 ","2005","66 and older","direct migration background","20","","","","2"
"2 on scale 1-7 ","2005","66 and older","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","direct migration background","18","","","","2"
"3 on scale 1-7 ","2005","16-34 y.","direct migration background","37","0.0456487154038509","0.0277946611220544","0.0635027696856473","3"
"3 on scale 1-7 ","2005","16-34 y.","no migration background","273","0.0701072114955697","0.0623154813835541","0.0778989416075854","3"
"3 on scale 1-7 ","2005","35-65 y.","indirect migration background","5","","","","3"
"3 on scale 1-7 ","2005","66 and older","no migration background","179","0.0567770158397379","0.0489823395660103","0.0645716921134655","3"
"3 on scale 1-7 ","2005","16-34 y.","indirect migration background","36","0.061371149799201","0.0430881196398202","0.0796541799585818","3"
"3 on scale 1-7 ","2005","35-65 y.","no migration background","532","0.0525041026856897","0.0481246834562208","0.0568835219151585","3"
"3 on scale 1-7 ","2005","35-65 y.","direct migration background","75","0.0471146946790658","0.0362610385478507","0.0579683508102809","3"
"3 on scale 1-7 ","2005","66 and older","direct migration background","17","","","","3"
"3 on scale 1-7 ","2005","66 and older","indirect migration background","","","","","3"
"4 on scale 1-7","2005","16-34 y.","direct migration background","94","0.230669999935223","0.194635348030851","0.266704651839595","4"
"4 on scale 1-7","2005","16-34 y.","indirect migration background","133","0.20343576225567","0.17277074955781","0.234100774953529","4"
"4 on scale 1-7","2005","35-65 y.","indirect migration background","26","","","","4"
"4 on scale 1-7","2005","66 and older","no migration background","563","0.166120375039503","0.153584122081523","0.178656627997482","4"
"4 on scale 1-7","2005","66 and older","direct migration background","67","0.196942879007013","0.156032063338408","0.237853694675617","4"
"4 on scale 1-7","2005","35-65 y.","direct migration background","201","0.142106857761506","0.124221333735235","0.159992381787776","4"
"4 on scale 1-7","2005","35-65 y.","no migration background","1559","0.15899628669023","0.151816299340348","0.166176274040113","4"
"4 on scale 1-7","2005","66 and older","indirect migration background","1","","","","4"
"4 on scale 1-7","2005","16-34 y.","no migration background","710","0.168735161423758","0.157306151346859","0.180164171500657","4"
"5 on scale 1-7","2005","35-65 y.","no migration background","2257","0.221912279040386","0.213753293202654","0.230071264878117","5"
"5 on scale 1-7","2005","35-65 y.","indirect migration background","32","0.197809802386825","0.135098644167821","0.260520960605828","5"
"5 on scale 1-7","2005","66 and older","no migration background","685","0.203588738591489","0.190025912717481","0.217151564465496","5"
"5 on scale 1-7","2005","16-34 y.","direct migration background","103","0.186621492276048","0.153294538850163","0.219948445701933","5"
"5 on scale 1-7","2005","16-34 y.","indirect migration background","145","0.226058064483898","0.194195312113299","0.257920816854498","5"
"5 on scale 1-7","2005","35-65 y.","direct migration background","296","0.202861595110616","0.182262680499798","0.223460509721434","5"
"5 on scale 1-7","2005","66 and older","direct migration background","71","0.171908115183209","0.133094666549985","0.210721563816433","5"
"5 on scale 1-7","2005","66 and older","indirect migration background","4","","","","5"
"5 on scale 1-7","2005","16-34 y.","no migration background","1028","0.243835368886082","0.23073170800619","0.256939029765975","5"
"6 on scale 1-7","2005","66 and older","no migration background","871","0.242942321219161","0.228497216756088","0.257387425682234","6"
"6 on scale 1-7","2005","66 and older","direct migration background","73","0.161747500069459","0.123868282848151","0.199626717290767","6"
"6 on scale 1-7","2005","16-34 y.","no migration background","1075","0.264958205810238","0.251490897008138","0.278425514612339","6"
"6 on scale 1-7","2005","16-34 y.","direct migration background","129","0.229427885598183","0.193461384976368","0.265394386219999","6"
"6 on scale 1-7","2005","35-65 y.","no migration background","2744","0.265065006051093","0.256398742487542","0.273731269614643","6"
"6 on scale 1-7","2005","35-65 y.","indirect migration background","34","0.241442311159274","0.174069721792056","0.308814900526492","6"
"6 on scale 1-7","2005","66 and older","indirect migration background","3","","","","6"
"6 on scale 1-7","2005","16-34 y.","indirect migration background","154","0.239881853900496","0.207353780236178","0.272409927564813","6"
"6 on scale 1-7","2005","35-65 y.","direct migration background","366","0.236447430054271","0.214682146808352","0.258212713300189","6"
"7 Strongly agree","2005","35-65 y.","indirect migration background","47","0.362484104882824","0.286805653875959","0.438162555889688","7"
"7 Strongly agree","2005","66 and older","direct migration background","106","0.3282504437704","0.279944437483173","0.376556450057628","7"
"7 Strongly agree","2005","66 and older","indirect migration background","3","","","","7"
"7 Strongly agree","2005","66 and older","no migration background","898","0.265526664350529","0.25065201622423","0.280401312476828","7"
"7 Strongly agree","2005","16-34 y.","no migration background","774","0.187079665679581","0.175178941200608","0.198980390158555","7"
"7 Strongly agree","2005","16-34 y.","direct migration background","136","0.261581146562538","0.223986756153301","0.299175536971775","7"
"7 Strongly agree","2005","16-34 y.","indirect migration background","169","0.23248375969989","0.200305748882363","0.264661770517417","7"
"7 Strongly agree","2005","35-65 y.","no migration background","2357","0.241364672927758","0.232962635428579","0.249766710426937","7"
"7 Strongly agree","2005","35-65 y.","direct migration background","450","0.315172170337043","0.291374075868185","0.338970264805901","7"
"1 Strongly disagree","2006","16-34 y.","no migration background","","","","","1"
"1 Strongly disagree","2006","16-34 y.","direct migration background","","","","","1"
"1 Strongly disagree","2006","16-34 y.","indirect migration background","","","","","1"
"1 Strongly disagree","2006","35-65 y.","no migration background","","","","","1"
"1 Strongly disagree","2006","35-65 y.","direct migration background","","","","","1"
"1 Strongly disagree","2006","35-65 y.","indirect migration background","","","","","1"
"1 Strongly disagree","2006","66 and older","no migration background","","","","","1"
"1 Strongly disagree","2006","66 and older","direct migration background","","","","","1"
"1 Strongly disagree","2006","66 and older","indirect migration background","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","no migration background","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","66 and older","no migration background","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","no migration background","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","66 and older","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","66 and older","indirect migration background","","","","","2"
"3 on scale 1-7 ","2006","16-34 y.","no migration background","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","66 and older","no migration background","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","no migration background","","","","","3"
"3 on scale 1-7 ","2006","66 and older","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","66 and older","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","direct migration background","","","","","3"
"4 on scale 1-7","2006","66 and older","indirect migration background","","","","","4"
"4 on scale 1-7","2006","16-34 y.","no migration background","","","","","4"
"4 on scale 1-7","2006","16-34 y.","direct migration background","","","","","4"
"4 on scale 1-7","2006","16-34 y.","indirect migration background","","","","","4"
"4 on scale 1-7","2006","35-65 y.","indirect migration background","","","","","4"
"4 on scale 1-7","2006","66 and older","no migration background","","","","","4"
"4 on scale 1-7","2006","66 and older","direct migration background","","","","","4"
"4 on scale 1-7","2006","35-65 y.","no migration background","","","","","4"
"4 on scale 1-7","2006","35-65 y.","direct migration background","","","","","4"
"5 on scale 1-7","2006","35-65 y.","indirect migration background","","","","","5"
"5 on scale 1-7","2006","16-34 y.","no migration background","","","","","5"
"5 on scale 1-7","2006","16-34 y.","direct migration background","","","","","5"
"5 on scale 1-7","2006","35-65 y.","direct migration background","","","","","5"
"5 on scale 1-7","2006","66 and older","no migration background","","","","","5"
"5 on scale 1-7","2006","66 and older","direct migration background","","","","","5"
"5 on scale 1-7","2006","66 and older","indirect migration background","","","","","5"
"5 on scale 1-7","2006","16-34 y.","indirect migration background","","","","","5"
"5 on scale 1-7","2006","35-65 y.","no migration background","","","","","5"
"6 on scale 1-7","2006","16-34 y.","direct migration background","","","","","6"
"6 on scale 1-7","2006","35-65 y.","indirect migration background","","","","","6"
"6 on scale 1-7","2006","66 and older","no migration background","","","","","6"
"6 on scale 1-7","2006","66 and older","direct migration background","","","","","6"
"6 on scale 1-7","2006","66 and older","indirect migration background","","","","","6"
"6 on scale 1-7","2006","35-65 y.","direct migration background","","","","","6"
"6 on scale 1-7","2006","16-34 y.","no migration background","","","","","6"
"6 on scale 1-7","2006","16-34 y.","indirect migration background","","","","","6"
"6 on scale 1-7","2006","35-65 y.","no migration background","","","","","6"
"7 Strongly agree","2006","66 and older","indirect migration background","","","","","7"
"7 Strongly agree","2006","35-65 y.","indirect migration background","","","","","7"
"7 Strongly agree","2006","66 and older","no migration background","","","","","7"
"7 Strongly agree","2006","66 and older","direct migration background","","","","","7"
"7 Strongly agree","2006","16-34 y.","no migration background","","","","","7"
"7 Strongly agree","2006","16-34 y.","direct migration background","","","","","7"
"7 Strongly agree","2006","16-34 y.","indirect migration background","","","","","7"
"7 Strongly agree","2006","35-65 y.","no migration background","","","","","7"
"7 Strongly agree","2006","35-65 y.","direct migration background","","","","","7"
"1 Strongly disagree","2007","35-65 y.","direct migration background","","","","","1"
"1 Strongly disagree","2007","35-65 y.","indirect migration background","","","","","1"
"1 Strongly disagree","2007","66 and older","no migration background","","","","","1"
"1 Strongly disagree","2007","66 and older","direct migration background","","","","","1"
"1 Strongly disagree","2007","66 and older","indirect migration background","","","","","1"
"1 Strongly disagree","2007","16-34 y.","no migration background","","","","","1"
"1 Strongly disagree","2007","16-34 y.","direct migration background","","","","","1"
"1 Strongly disagree","2007","16-34 y.","indirect migration background","","","","","1"
"1 Strongly disagree","2007","35-65 y.","no migration background","","","","","1"
"2 on scale 1-7 ","2007","35-65 y.","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","no migration background","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","66 and older","no migration background","","","","","2"
"2 on scale 1-7 ","2007","66 and older","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","66 and older","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","no migration background","","","","","2"
"3 on scale 1-7 ","2007","66 and older","no migration background","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","66 and older","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","66 and older","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","no migration background","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","no migration background","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","indirect migration background","","","","","3"
"4 on scale 1-7","2007","66 and older","indirect migration background","","","","","4"
"4 on scale 1-7","2007","35-65 y.","indirect migration background","","","","","4"
"4 on scale 1-7","2007","66 and older","no migration background","","","","","4"
"4 on scale 1-7","2007","66 and older","direct migration background","","","","","4"
"4 on scale 1-7","2007","35-65 y.","direct migration background","","","","","4"
"4 on scale 1-7","2007","16-34 y.","no migration background","","","","","4"
"4 on scale 1-7","2007","16-34 y.","direct migration background","","","","","4"
"4 on scale 1-7","2007","16-34 y.","indirect migration background","","","","","4"
"4 on scale 1-7","2007","35-65 y.","no migration background","","","","","4"
"5 on scale 1-7","2007","35-65 y.","indirect migration background","","","","","5"
"5 on scale 1-7","2007","66 and older","no migration background","","","","","5"
"5 on scale 1-7","2007","35-65 y.","direct migration background","","","","","5"
"5 on scale 1-7","2007","66 and older","direct migration background","","","","","5"
"5 on scale 1-7","2007","16-34 y.","no migration background","","","","","5"
"5 on scale 1-7","2007","35-65 y.","no migration background","","","","","5"
"5 on scale 1-7","2007","66 and older","indirect migration background","","","","","5"
"5 on scale 1-7","2007","16-34 y.","direct migration background","","","","","5"
"5 on scale 1-7","2007","16-34 y.","indirect migration background","","","","","5"
"6 on scale 1-7","2007","35-65 y.","indirect migration background","","","","","6"
"6 on scale 1-7","2007","66 and older","no migration background","","","","","6"
"6 on scale 1-7","2007","66 and older","direct migration background","","","","","6"
"6 on scale 1-7","2007","66 and older","indirect migration background","","","","","6"
"6 on scale 1-7","2007","16-34 y.","no migration background","","","","","6"
"6 on scale 1-7","2007","16-34 y.","direct migration background","","","","","6"
"6 on scale 1-7","2007","35-65 y.","direct migration background","","","","","6"
"6 on scale 1-7","2007","16-34 y.","indirect migration background","","","","","6"
"6 on scale 1-7","2007","35-65 y.","no migration background","","","","","6"
"7 Strongly agree","2007","35-65 y.","indirect migration background","","","","","7"
"7 Strongly agree","2007","66 and older","direct migration background","","","","","7"
"7 Strongly agree","2007","66 and older","indirect migration background","","","","","7"
"7 Strongly agree","2007","66 and older","no migration background","","","","","7"
"7 Strongly agree","2007","16-34 y.","no migration background","","","","","7"
"7 Strongly agree","2007","16-34 y.","direct migration background","","","","","7"
