"plh0206i06","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","Urban Area","83","0.0189211103110154","0.0152817853202206","0.0225604353018102"
"1 Strongly disagree","2005","Full Time","Rural Area","44","0.0242168972131081","0.0183430375956001","0.0300907568306161"
"1 Strongly disagree","2005","Part Time","Urban Area","69","0.0206776612805715","0.0157912941948436","0.0255640283662995"
"1 Strongly disagree","2005","Part Time","Rural Area","35","0.0274426241855097","0.0193148305643946","0.0355704178066247"
"1 Strongly disagree","2005","Not Working","Urban Area","173","0.0444435034052423","0.0388358593991596","0.050051147411325"
"1 Strongly disagree","2005","Not Working","Rural Area","98","0.0454437530152704","0.0375034446833162","0.0533840613472246"
"2 on scale 1-7 ","2005","Full Time","Urban Area","150","0.0271739803913724","0.0228309808529478","0.0315169799297971"
"2 on scale 1-7 ","2005","Full Time","Rural Area","91","0.0341677108098846","0.0272263204470614","0.0411091011727078"
"2 on scale 1-7 ","2005","Part Time","Urban Area","99","0.0284042006515979","0.0226998442589069","0.0341085570442889"
"2 on scale 1-7 ","2005","Part Time","Rural Area","45","0.0297902469293456","0.0213321608225511","0.0382483330361401"
"2 on scale 1-7 ","2005","Not Working","Urban Area","150","0.0279604777282793","0.0234744457748241","0.0324465096817344"
"2 on scale 1-7 ","2005","Not Working","Rural Area","101","0.0403123423911071","0.0328136855218613","0.047810999260353"
"3 on scale 1-7 ","2005","Full Time","Urban Area","286","0.04894320647937","0.0431802545009625","0.0547061584577775"
"3 on scale 1-7 ","2005","Full Time","Rural Area","143","0.0584561496651712","0.0494917121237427","0.0674205872065997"
"3 on scale 1-7 ","2005","Part Time","Urban Area","180","0.0616319915730829","0.0533742317280217","0.0698897514181441"
"3 on scale 1-7 ","2005","Part Time","Rural Area","92","0.054122411500546","0.0428657846496823","0.0653790383514096"
"3 on scale 1-7 ","2005","Not Working","Urban Area","294","0.0559732945558935","0.0497182460423183","0.0622283430694687"
"3 on scale 1-7 ","2005","Not Working","Rural Area","159","0.0633879510846663","0.0540986564753895","0.0726772456939432"
"4 on scale 1-7","2005","Full Time","Urban Area","828","0.165967017833178","0.156029038864965","0.175904996801391"
"4 on scale 1-7","2005","Full Time","Rural Area","387","0.149596292684495","0.135967397395879","0.163225187973111"
"4 on scale 1-7","2005","Part Time","Urban Area","516","0.16251145495973","0.149843573870204","0.175179336049257"
"4 on scale 1-7","2005","Part Time","Rural Area","279","0.183686842503991","0.164421814027333","0.202951870980649"
"4 on scale 1-7","2005","Not Working","Urban Area","889","0.168497690650271","0.158312320565452","0.178683060735089"
"4 on scale 1-7","2005","Not Working","Rural Area","455","0.164720953702386","0.150579640962439","0.178862266442333"
"5 on scale 1-7","2005","Full Time","Urban Area","1237","0.229449615907375","0.218218064388241","0.24068116742651"
"5 on scale 1-7","2005","Full Time","Rural Area","605","0.231383113525046","0.215268924336811","0.247497302713281"
"5 on scale 1-7","2005","Part Time","Urban Area","746","0.223449947425538","0.209146279921969","0.237753614929107"
"5 on scale 1-7","2005","Part Time","Rural Area","342","0.216826047924556","0.196324479977647","0.237327615871464"
"5 on scale 1-7","2005","Not Working","Urban Area","1150","0.212762464152524","0.201625969580423","0.223898958724624"
"5 on scale 1-7","2005","Not Working","Rural Area","541","0.195091550231373","0.179984071810332","0.210199028652415"
"6 on scale 1-7","2005","Full Time","Urban Area","1518","0.272793998342204","0.260896882281561","0.284691114402847"
"6 on scale 1-7","2005","Full Time","Rural Area","730","0.267296096391726","0.250385916494892","0.28420627628856"
"6 on scale 1-7","2005","Part Time","Urban Area","873","0.249398848037121","0.234542078519951","0.264255617554291"
"6 on scale 1-7","2005","Part Time","Rural Area","418","0.26032200256148","0.238490731550826","0.282153273572134"
"6 on scale 1-7","2005","Not Working","Urban Area","1229","0.233428243465083","0.221917557241937","0.24493892968823"
"6 on scale 1-7","2005","Not Working","Rural Area","681","0.251416462689886","0.234877186432459","0.267955738947312"
"7 Strongly agree","2005","Full Time","Urban Area","1282","0.236751070735484","0.225396397432945","0.248105744038023"
"7 Strongly agree","2005","Full Time","Rural Area","631","0.234883739710568","0.218685125611773","0.251082353809364"
"7 Strongly agree","2005","Part Time","Urban Area","775","0.253925896072358","0.238980169562982","0.268871622581735"
"7 Strongly agree","2005","Part Time","Rural Area","341","0.227809824394572","0.206943277141568","0.248676371647576"
"7 Strongly agree","2005","Not Working","Urban Area","1303","0.256934326042707","0.245044574710842","0.268824077374572"
"7 Strongly agree","2005","Not Working","Rural Area","608","0.239626986885311","0.223353496179458","0.255900477591164"
"1 Strongly disagree","2006","Full Time","Urban Area","","","",""
"1 Strongly disagree","2006","Full Time","Rural Area","","","",""
"1 Strongly disagree","2006","Part Time","Urban Area","","","",""
"1 Strongly disagree","2006","Part Time","Rural Area","","","",""
"1 Strongly disagree","2006","Not Working","Urban Area","","","",""
"1 Strongly disagree","2006","Not Working","Rural Area","","","",""
"2 on scale 1-7 ","2006","Full Time","Urban Area","","","",""
"2 on scale 1-7 ","2006","Full Time","Rural Area","","","",""
"2 on scale 1-7 ","2006","Part Time","Urban Area","","","",""
"2 on scale 1-7 ","2006","Part Time","Rural Area","","","",""
"2 on scale 1-7 ","2006","Not Working","Urban Area","","","",""
"2 on scale 1-7 ","2006","Not Working","Rural Area","","","",""
"3 on scale 1-7 ","2006","Full Time","Urban Area","","","",""
"3 on scale 1-7 ","2006","Full Time","Rural Area","","","",""
"3 on scale 1-7 ","2006","Part Time","Urban Area","","","",""
"3 on scale 1-7 ","2006","Part Time","Rural Area","","","",""
"3 on scale 1-7 ","2006","Not Working","Urban Area","","","",""
"3 on scale 1-7 ","2006","Not Working","Rural Area","","","",""
"4 on scale 1-7","2006","Full Time","Urban Area","","","",""
"4 on scale 1-7","2006","Full Time","Rural Area","","","",""
"4 on scale 1-7","2006","Part Time","Urban Area","","","",""
"4 on scale 1-7","2006","Part Time","Rural Area","","","",""
"4 on scale 1-7","2006","Not Working","Urban Area","","","",""
"4 on scale 1-7","2006","Not Working","Rural Area","","","",""
"5 on scale 1-7","2006","Full Time","Urban Area","","","",""
"5 on scale 1-7","2006","Full Time","Rural Area","","","",""
"5 on scale 1-7","2006","Part Time","Urban Area","","","",""
"5 on scale 1-7","2006","Part Time","Rural Area","","","",""
"5 on scale 1-7","2006","Not Working","Urban Area","","","",""
"5 on scale 1-7","2006","Not Working","Rural Area","","","",""
"6 on scale 1-7","2006","Full Time","Urban Area","","","",""
"6 on scale 1-7","2006","Full Time","Rural Area","","","",""
"6 on scale 1-7","2006","Part Time","Urban Area","","","",""
"6 on scale 1-7","2006","Part Time","Rural Area","","","",""
"6 on scale 1-7","2006","Not Working","Urban Area","","","",""
"6 on scale 1-7","2006","Not Working","Rural Area","","","",""
"7 Strongly agree","2006","Full Time","Urban Area","","","",""
"7 Strongly agree","2006","Full Time","Rural Area","","","",""
"7 Strongly agree","2006","Part Time","Urban Area","","","",""
"7 Strongly agree","2006","Part Time","Rural Area","","","",""
"7 Strongly agree","2006","Not Working","Urban Area","","","",""
"7 Strongly agree","2006","Not Working","Rural Area","","","",""
"1 Strongly disagree","2007","Full Time","Urban Area","","","",""
"1 Strongly disagree","2007","Full Time","Rural Area","","","",""
"1 Strongly disagree","2007","Part Time","Urban Area","","","",""
"1 Strongly disagree","2007","Part Time","Rural Area","","","",""
"1 Strongly disagree","2007","Not Working","Urban Area","","","",""
"1 Strongly disagree","2007","Not Working","Rural Area","","","",""
"2 on scale 1-7 ","2007","Full Time","Urban Area","","","",""
"2 on scale 1-7 ","2007","Full Time","Rural Area","","","",""
"2 on scale 1-7 ","2007","Part Time","Urban Area","","","",""
"2 on scale 1-7 ","2007","Part Time","Rural Area","","","",""
"2 on scale 1-7 ","2007","Not Working","Urban Area","","","",""
"2 on scale 1-7 ","2007","Not Working","Rural Area","","","",""
"3 on scale 1-7 ","2007","Full Time","Urban Area","","","",""
"3 on scale 1-7 ","2007","Full Time","Rural Area","","","",""
"3 on scale 1-7 ","2007","Part Time","Urban Area","","","",""
"3 on scale 1-7 ","2007","Part Time","Rural Area","","","",""
"3 on scale 1-7 ","2007","Not Working","Urban Area","","","",""
"3 on scale 1-7 ","2007","Not Working","Rural Area","","","",""
"4 on scale 1-7","2007","Full Time","Urban Area","","","",""
"4 on scale 1-7","2007","Full Time","Rural Area","","","",""
"4 on scale 1-7","2007","Part Time","Urban Area","","","",""
"4 on scale 1-7","2007","Part Time","Rural Area","","","",""
"4 on scale 1-7","2007","Not Working","Urban Area","","","",""
"4 on scale 1-7","2007","Not Working","Rural Area","","","",""
"5 on scale 1-7","2007","Full Time","Urban Area","","","",""
"5 on scale 1-7","2007","Full Time","Rural Area","","","",""
"5 on scale 1-7","2007","Part Time","Urban Area","","","",""
"5 on scale 1-7","2007","Part Time","Rural Area","","","",""
"5 on scale 1-7","2007","Not Working","Urban Area","","","",""
"5 on scale 1-7","2007","Not Working","Rural Area","","","",""
"6 on scale 1-7","2007","Full Time","Urban Area","","","",""
"6 on scale 1-7","2007","Full Time","Rural Area","","","",""
"6 on scale 1-7","2007","Part Time","Urban Area","","","",""
"6 on scale 1-7","2007","Part Time","Rural Area","","","",""
"6 on scale 1-7","2007","Not Working","Urban Area","","","",""
"6 on scale 1-7","2007","Not Working","Rural Area","","","",""
"7 Strongly agree","2007","Full Time","Urban Area","","","",""
"7 Strongly agree","2007","Full Time","Rural Area","","","",""
"7 Strongly agree","2007","Part Time","Urban Area","","","",""
