"plh0206i06","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","Urban Area","257","0.0302303154683097","0.0270526521445229","0.0334079787920964","1"
"1 Strongly disagree","2005","no migration background","Rural Area","168","0.0341716495171865","0.0296934463619166","0.0386498526724564","1"
"1 Strongly disagree","2005","direct migration background","Urban Area","48","0.0278272083215718","0.0205325740931902","0.0351218425499535","1"
"1 Strongly disagree","2005","direct migration background","Rural Area","7","","","","1"
"1 Strongly disagree","2005","indirect migration background","Urban Area","20","","","","1"
"1 Strongly disagree","2005","indirect migration background","Rural Area","2","","","","1"
"2 on scale 1-7 ","2005","direct migration background","Urban Area","56","0.0291776204805849","0.021713273928425","0.0366419670327447","2"
"2 on scale 1-7 ","2005","no migration background","Urban Area","329","0.0286489499914745","0.0255529945492997","0.0317449054336493","2"
"2 on scale 1-7 ","2005","indirect migration background","Rural Area","1","","","","2"
"2 on scale 1-7 ","2005","no migration background","Rural Area","216","0.0352852310954597","0.0307372694660083","0.0398331927249112","2"
"2 on scale 1-7 ","2005","direct migration background","Rural Area","20","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","Urban Area","14","","","","2"
"3 on scale 1-7 ","2005","indirect migration background","Urban Area","35","0.0557631463068874","0.0390486645198882","0.0724776280938866","3"
"3 on scale 1-7 ","2005","no migration background","Urban Area","612","0.0555067152158381","0.0512573462594964","0.0597560841721799","3"
"3 on scale 1-7 ","2005","direct migration background","Rural Area","16","","","","3"
"3 on scale 1-7 ","2005","direct migration background","Urban Area","113","0.0498142107805526","0.0401653095271362","0.0594631120339691","3"
"3 on scale 1-7 ","2005","no migration background","Rural Area","372","0.0614923841736788","0.0555706294963322","0.0674141388510253","3"
"3 on scale 1-7 ","2005","indirect migration background","Rural Area","6","","","","3"
"4 on scale 1-7","2005","indirect migration background","Rural Area","24","","","","4"
"4 on scale 1-7","2005","no migration background","Rural Area","1033","0.162722725342768","0.153624019979081","0.171821430706455","4"
"4 on scale 1-7","2005","direct migration background","Urban Area","298","0.173592327687396","0.156794257059424","0.190390398315368","4"
"4 on scale 1-7","2005","indirect migration background","Urban Area","136","0.194896322275636","0.166042288543726","0.223750356007547","4"
"4 on scale 1-7","2005","no migration background","Urban Area","1799","0.163006760105247","0.156151624931858","0.169861895278637","4"
"4 on scale 1-7","2005","direct migration background","Rural Area","64","0.172552443634694","0.135476480722778","0.209628406546611","4"
"5 on scale 1-7","2005","indirect migration background","Rural Area","28","","","","5"
"5 on scale 1-7","2005","direct migration background","Rural Area","90","0.197535589445862","0.158469745602956","0.236601433288768","5"
"5 on scale 1-7","2005","indirect migration background","Urban Area","153","0.206295800980151","0.176820833065361","0.235770768894942","5"
"5 on scale 1-7","2005","no migration background","Urban Area","2600","0.227974291432963","0.220188351327497","0.23576023153843","5"
"5 on scale 1-7","2005","no migration background","Rural Area","1370","0.212255506952343","0.202175913480919","0.222335100423767","5"
"5 on scale 1-7","2005","direct migration background","Urban Area","380","0.192918870638105","0.175418674292715","0.210419066983494","5"
"6 on scale 1-7","2005","indirect migration background","Rural Area","26","","","","6"
"6 on scale 1-7","2005","direct migration background","Urban Area","468","0.216596851710276","0.198327813021169","0.234865890399384","6"
"6 on scale 1-7","2005","indirect migration background","Urban Area","165","0.235099904399295","0.204210652396978","0.265989156401612","6"
"6 on scale 1-7","2005","no migration background","Urban Area","2987","0.259708378713588","0.251570773111761","0.267845984315415","6"
"6 on scale 1-7","2005","direct migration background","Rural Area","100","0.25115461770691","0.208601801760071","0.29370743365375","6"
"6 on scale 1-7","2005","no migration background","Rural Area","1703","0.260036731928342","0.249223804808337","0.270849659048346","6"
"7 Strongly agree","2005","indirect migration background","Rural Area","18","","","","7"
"7 Strongly agree","2005","indirect migration background","Urban Area","201","0.274926242333685","0.24240418586124","0.30744829880613","7"
"7 Strongly agree","2005","direct migration background","Urban Area","590","0.310072910381513","0.289559848932739","0.330585971830287","7"
