"plh0206i06","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","(0) in school","","","",""
"1 Strongly disagree","2005","1-pers.-HH","(1a) inadequately completed","2","","",""
"1 Strongly disagree","2005","1-pers.-HH","(1b) general elementary school","23","","",""
"1 Strongly disagree","2005","1-pers.-HH","(1c) basic vocational qualification","30","0.0439014287581144","0.0303498000287193","0.0574530574875095"
"1 Strongly disagree","2005","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"1 Strongly disagree","2005","1-pers.-HH","(2a) intermediate vocational","13","","",""
"1 Strongly disagree","2005","1-pers.-HH","(2c_gen) general maturity certificate","6","","",""
"1 Strongly disagree","2005","1-pers.-HH","(2c_voc) vocational maturity certificate","6","","",""
"1 Strongly disagree","2005","1-pers.-HH","(3a) lower tertiary education","1","","",""
"1 Strongly disagree","2005","1-pers.-HH","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(0) in school","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(1a) inadequately completed","4","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(1b) general elementary school","29","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(1c) basic vocational qualification","82","0.0372714462134556","0.0298416163554692","0.044701276071442"
"1 Strongly disagree","2005","(Married) couple without C. ","(2b) intermediate general qualification","4","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(2a) intermediate vocational","28","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(2c_voc) vocational maturity certificate","5","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(3a) lower tertiary education","8","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","(3b) higher tertiary education","3","","",""
"1 Strongly disagree","2005","Single parent ","(0) in school","5","","",""
"1 Strongly disagree","2005","Single parent ","(1a) inadequately completed","1","","",""
"1 Strongly disagree","2005","Single parent ","(1b) general elementary school","8","","",""
"1 Strongly disagree","2005","Single parent ","(1c) basic vocational qualification","10","","",""
"1 Strongly disagree","2005","Single parent ","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","Single parent ","(2a) intermediate vocational","5","","",""
"1 Strongly disagree","2005","Single parent ","(2c_gen) general maturity certificate","1","","",""
"1 Strongly disagree","2005","Single parent ","(2c_voc) vocational maturity certificate","2","","",""
"1 Strongly disagree","2005","Single parent ","(3a) lower tertiary education","1","","",""
"1 Strongly disagree","2005","Single parent ","(3b) higher tertiary education","1","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","(0) in school","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","(1a) inadequately completed","3","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","(1b) general elementary school","11","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","(1c) basic vocational qualification","30","0.0575769253569435","0.0414953807244493","0.0736584699894377"
"1 Strongly disagree","2005","Couple + C. LE 16 ","(2b) intermediate general qualification","5","","",""
